year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698998,RATIO_TTM,PHR,2018,135499198,2967432436200.0,0.0,8.2866150935,0.7267213715,1.9659166652,19.9673402885,14.6465569512,0.2717437723,0.9488783105,1.2555999361,0.1172914156,0.2429308229,0.6793235974,0.1474460576,0.0832817942,17.1584388837,71.8926098172,10.7111444942,0.1795898561,0.1140097934,0.291155506,0.2373749458,0.3557482248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172090895280.0,231071840790.0,0.0551133558,132.4369875946,1.6271516362,0.6793235974,0.0,,,,,,,0.0,
2018,2,2713400,RATIO_TTM,PHR,2018,135499198,3902376902400.0,0.0,9.4938693631,1.5553380916,2.5525000496,17.4439953122,18.0391233644,0.4115712097,0.9858686598,1.3446701585,0.1237153052,0.2054518939,0.7476757892,0.1639496346,0.0939847259,16.4623807526,71.755247513,10.9508457959,0.1709822333,0.1041792228,0.3329381445,0.2692227881,0.3548137498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159273882355.0,227287029173.0,0.0513405912,133.7459084013,1.5358389607,0.7476757892,0.0,,,,,,,0.0,
2018,3,2715221,RATIO_TTM,PHR,2018,135499198,4728922010200.0,0.0429799427,9.9452457856,1.7678705012,3.3371870469,10.8986183698,18.6270182497,0.644913085,1.6446720632,2.2935562573,0.1332459135,0.1715580975,0.7202159986,0.1840780546,0.1062993838,16.7628457417,90.3442943946,12.1470032303,0.216062116,0.1401157822,0.416896858,0.3387937806,0.3198169784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198549436061.0,265577089140.0,0.0618535298,156.2768256385,1.3325630144,0.7202159986,0.0,,,,,,,0.0,
2018,4,2717273,RATIO_TTM,PHR,2018,135499198,6639460702000.0,0.0306122449,10.5670340515,2.5386024543,4.2620825232,14.1734612734,28.3319064803,0.470262576,1.355800038,1.7492364849,0.1404496887,0.187811308,0.8934297004,0.2464971061,0.1339361771,27.0349825983,80.469840844,18.6613372465,0.1761285116,0.1099901686,0.4942930053,0.4131186654,0.3320696248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171342389111.0,242039764697.0,0.0536879263,159.4925107364,1.4592286561,0.8934297004,0.0,,,,,,,0.0,
2018,5,12237919,RATIO_YEAR,PHR,2018,135499198,6639460702000.0,0.0381679389,13.0537218261,2.7147919006,4.5578188615,15.1569259332,29.9221312018,0.470262576,0.849775352,1.7492364849,0.1404496887,0.187811308,0.8934297004,0.2464971061,0.1339361771,27.0349825983,80.469840844,18.6613372465,0.1761285116,0.1099901686,0.4942930053,0.4131186654,0.3320696248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171342389111.0,242039764697.0,0.0536879263,159.4925107364,1.4592286561,0.8934297004,0.0,,,,,,,0.0,12237919.0
2019,1,2723094,RATIO_TTM,PHR,2019,135499198,9349444662000.0,0.0,14.7578732328,3.4321870129,5.9122098052,15.0001893503,39.3683508441,0.584510868,1.8727221379,2.4225126712,0.1438933013,0.177810708,0.866430803,0.2351190195,0.1299472843,15.6148406528,87.0377438299,10.8036230448,0.1773947847,0.1086520279,0.4945401231,0.4144161611,0.3240442692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171820039579.0,248557913423.0,0.0521303217,148.0363051448,1.3100540283,0.866430803,0.0,,,,,,,0.0,
2019,2,2725815,RATIO_TTM,PHR,2019,135499198,8251901158200.0,0.0,14.5151818737,3.0639110683,5.1744118462,20.7068777799,41.9093471558,0.393286348,1.8876384607,2.3722513315,0.1450790798,0.2121356735,0.906955518,0.2076801771,0.1123557713,14.0976391443,83.7561316128,13.0575497961,0.1532275591,0.0886078068,0.4437165427,0.3726827476,0.314084663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141307434670.0,207299140323.0,0.0420476313,144.307867441,1.2607138957,0.906955518,0.0,,,,,,,0.0,
2019,3,2731517,RATIO_TTM,PHR,2019,135499198,5277693762100.0,0.0770218228,6.2930364235,1.7119704556,2.8793509787,7.1880511419,15.8422351395,0.7580330874,2.5202633918,3.0848555978,0.1426154052,0.1851074267,0.8087433284,0.2943222539,0.1575547859,12.3524408638,80.7855452502,13.9840241272,0.1998891082,0.1436743254,0.5832106798,0.4852943291,0.3431524421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263347225238.0,345007600118.0,0.0696652574,136.6952442331,1.3690252356,0.8087433284,0.0,,,,,,,0.0,
2019,4,2733999,RATIO_TTM,PHR,2019,135499198,5690966316000.0,0.0714285714,12.6496625332,2.2505807456,3.4725515036,8.8766168184,18.3521600544,0.5423983539,1.5859271294,1.8486583164,0.1611520827,0.1993026836,1.2507315065,0.1701555566,0.0822330808,25.0827702555,92.984870929,19.7048016894,0.2154934868,0.143523435,0.3703828163,0.297653609,0.2995551601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235212359954.0,320341805132.0,0.0753987592,168.2158452407,1.2418764806,1.2507315065,0.0,,,,,,,0.0,
2019,5,12245163,RATIO_YEAR,PHR,2019,135499198,5690966316000.0,0.0572519084,20.4868925883,2.8080012833,4.3324213997,11.074636221,21.6919148354,0.5423983539,0.724834348,1.8486583164,0.1611520827,0.1993026836,1.2507315065,0.1701555566,0.0822330808,25.0827702555,92.984870929,19.7048016894,0.2154934868,0.143523435,0.3703828163,0.297653609,0.2995551601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235212359954.0,320341805132.0,0.0753987592,168.2158452407,1.2418764806,1.2507315065,0.0,,,,,,,0.0,12245163.0
2020,1,2748631,RATIO_TTM,PHR,2020,135499198,7357606451400.0,0.0,12.8004140532,2.7390657908,4.7091833115,17.5214559664,21.7260361349,0.3265706495,2.4590876403,2.8699244434,0.1584010683,0.188027277,1.0174730006,0.2027854925,0.1022849621,12.9855375478,106.1193749423,19.9074385001,0.2397805009,0.16721803,0.4890171479,0.397908044,0.277063978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261260684660.0,355526576643.0,0.0792906765,170.9557732384,1.0650231332,1.0174730006,0.0,,,,,,,0.0,
2020,2,2752095,RATIO_TTM,PHR,2020,135499198,7587955088000.0,0.0,9.0033379302,2.5351084906,4.8679699252,9.915222347,18.7609685347,0.1418598993,2.4922433772,2.8458622898,0.1394931997,0.1996552168,0.9276787739,0.2891660981,0.1456053501,16.9272213981,113.5807922344,17.9473382081,0.2818028613,0.2100919351,0.712089762,0.5773217736,0.2683631326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327481104528.0,436758778772.0,0.0882313794,181.9396637076,1.0040974335,0.9276787739,0.0,,,,,,,0.0,
2020,3,2754216,RATIO_TTM,PHR,2020,135499198,9132645945200.0,0.0370919881,16.1944905281,2.8959634605,6.7138089934,19.0007464671,31.8881740484,0.2038050355,2.4080887914,2.8152395478,0.131868067,0.1680229883,0.8674128817,0.1921581001,0.0960296345,18.9724398717,117.1895138885,17.1773566135,0.2229469687,0.1449178092,0.5417023453,0.4391050406,0.2308306313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197128492087.0,302338081721.0,0.0516002327,191.4741486547,0.8392354018,0.8674128817,0.0,,,,,,,0.0,
2020,4,2757671,RATIO_TTM,PHR,2020,135499198,7113707895000.0,0.0476190476,6.5750910527,2.2226836808,4.3598293409,9.0774061523,20.1421928234,0.3764198683,2.4775303897,2.7360984374,0.1594668391,0.1946105744,0.9747357758,0.3659794237,0.1745952555,18.6965123844,95.0060968337,18.8783329113,0.2382441664,0.1688188716,0.8471543951,0.6895171358,0.2633084032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275453015602.0,378413184105.0,0.0696343987,162.4455896652,1.0171954632,0.9747357758,0.0,,,,,,,0.0,
2020,5,12249564,RATIO_YEAR,PHR,2020,135499198,7113707895000.0,0.0631136045,9.5960433797,3.0216919614,5.9210634667,12.3279820697,26.1025297226,0.3764198683,0.5884456115,2.7360984374,0.1594668391,0.1946105744,0.9747357758,0.3659794237,0.1745952555,18.6965123844,95.0060968337,18.8783329113,0.2382441664,0.1688188716,0.8471543951,0.6895171358,0.2633084032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275453015602.0,378413184105.0,0.0696343987,162.4455896652,1.0171954632,0.9747357758,0.0,,,,,,,0.0,12249564.0
2021,1,2761335,RATIO_TTM,PHR,2021,135499198,6517511423800.0,0.0,6.8280135911,2.0354730771,3.8527634466,9.440664106,18.5299951214,0.1016562465,3.0773837728,3.5815395297,0.1215783155,0.1663328599,0.8055036641,0.2949607888,0.1557065703,14.6144943832,92.7514159438,9.828443251,0.233047029,0.1645403232,0.7227881581,0.5915237774,0.2749912187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278343960304.0,383786451840.0,0.071938746,150.9609995764,0.9551111798,0.8055036641,0.0,,,,,,,0.0,
2021,3,2766966,RATIO_TTM,PHR,2021,135499198,10026940652000.0,0.0675675676,14.7005408631,3.1958491596,4.949954631,20.5828393533,20.7927079192,0.1362504213,2.4566558467,2.8473420554,0.0963590978,0.1096961305,0.850265065,0.2101410759,0.1108734976,10.0229429144,86.7923596052,7.9750682804,0.2549685055,0.1910370969,0.44113954,0.3646807529,0.3281328405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386976806033.0,500116574165.0,0.1062237005,137.0463928453,1.1510365673,0.850265065,0.0,,,,,,,0.0,
2021,4,2765139,RATIO_TTM,PHR,2021,135499198,11693580787400.0,0.0579374276,24.5738236188,3.9126345988,6.0107806425,46.0938132803,25.009542458,0.1362504213,2.4566558467,2.8473420554,0.0963590978,0.1096961305,0.850265065,0.2101410759,0.1108734976,10.0229429144,86.7923596052,7.9750682804,0.2549685055,0.1910370969,0.44113954,0.3646807529,0.3281328405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386976806033.0,500116574165.0,0.1062237005,137.0463928453,1.1510365673,0.850265065,0.0,,,,,,,0.0,
2021,5,12263016,RATIO_YEAR,PHR,2021,135499198,11693580787400.0,0.1269035533,12.7871163123,1.786597218,2.7442034451,20.9709410446,11.6434932432,0.1168178501,0.3461231576,2.2978273515,0.0777828697,0.1343593614,0.9384862186,0.1487471552,0.0760006925,12.6182958534,81.5236792063,13.0686810095,0.2655252683,0.1899995024,0.3071201298,0.2638897556,0.3096344412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369631610777.0,482432575800.0,0.1048030412,141.7995681184,1.1039204813,0.9384862186,0.0,,,,,,,0.0,12263016.0
2022,1,2769816,RATIO_TTM,PHR,2022,135499198,8875197469000.0,0.0,11.8244691733,2.7057017196,4.3767179122,14.652041882,18.9465607697,0.1168178501,2.0157504812,2.2978273515,0.0777828697,0.1343593614,0.9384862186,0.1487471552,0.0760006925,12.6182958534,81.5236792063,13.0686810095,0.2655252683,0.1899995024,0.3071201298,0.2638897556,0.3096344412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369631610777.0,482432575800.0,0.1048030412,141.7995681184,1.1039204813,0.9384862186,0.0,,,,,,,0.0,
2022,2,2776987,RATIO_TTM,PHR,2022,135499198,6171988468900.0,0.0,8.5034817902,1.8742498443,3.4408327052,12.4339849122,14.1740718132,0.2402106401,2.676568076,3.0289460425,0.0550650008,0.1254071899,0.7607550691,0.2206007509,0.1200862702,9.9763039121,91.5173591026,11.4213825843,0.2684989528,0.1876313949,0.4986953748,0.4253292663,0.2957443384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336563531282.0,459404311304.0,0.0874099033,155.5580467552,1.0376156943,0.7607550691,0.0,,,,,,,0.0,
2022,3,2779670,RATIO_TTM,PHR,2022,135499198,5419967920000.0,0.1,7.7155096986,1.5745629587,3.0198748249,10.9354141322,13.9977379353,0.131475311,2.9268055292,3.4256197266,0.0461545266,0.096192641,0.6682777222,0.2086627928,0.1166379491,9.4816972534,87.4163843892,13.7855531233,0.246284632,0.1615133086,0.4773363272,0.4083127562,0.2969650974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289878555202.0,415493586166.0,0.07367141,149.9625629343,1.0445857087,0.6682777222,0.0,,,,,,,0.0,
2022,4,2782634,RATIO_TTM,PHR,2022,135499198,5447067759600.0,0.0995024876,6.1732371149,1.6584177324,3.1880682647,7.0069555453,15.8347316913,0.1281638359,2.1135983602,2.3613185357,0.0423924137,0.0769008867,0.8422419584,0.2705954964,0.1433264238,13.5845955979,92.3387392318,17.7288246754,0.2349702322,0.143257722,0.6597358924,0.5418139388,0.2765677052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244767192508.0,369003421494.0,0.0661641251,163.9577946054,0.9732670548,0.8422419584,0.0,,,,,,,0.0,
2022,5,12273404,RATIO_YEAR,PHR,2022,135499198,5447067759600.0,0.1197183099,7.9316695365,2.0505867963,3.9414674815,8.6327577259,18.5165126231,0.1281638359,0.3116313949,2.3613185357,0.0423924137,0.0769008867,0.8422419584,0.2822948772,0.1433264238,13.5845955979,92.3387392318,17.7288246754,0.2349702322,0.143257722,0.6597358924,0.5418139388,0.2765677052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244767192508.0,369003421494.0,0.0661641251,163.9577946054,0.9732670548,0.8422419584,0.0,,,,,,,0.0,12273404.0
2023,1,2795841,RATIO_TTM,PHR,2023,135499198,6924009017800.0,0.0,8.4753775527,1.9716975145,4.1478528157,11.1624978354,19.5281400848,0.1078255832,2.7684662437,3.039491116,0.0373698247,0.0951862347,0.6958493153,0.242326179,0.1335727121,9.8787131496,90.5569233967,17.0293658667,0.2272611508,0.1397574261,0.629135529,0.5161626294,0.2719839744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233297014502.0,375080031891.0,0.0580804447,156.2042703377,0.9643106104,0.6958493153,0.0,,,,,,,0.0,
2023,2,2798652,RATIO_TTM,PHR,2023,135499198,6693660381200.0,0.0,7.5472920869,2.0004317159,4.3565959017,11.2836691926,18.1786903467,0.2003053719,2.7162967168,2.983579747,0.035070258,0.0747202391,0.7087573656,0.2621011141,0.1452148286,10.9421347681,95.8411384499,17.586129672,0.2513409721,0.156310524,0.7411180982,0.6073605356,0.2506944392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240162178310.0,381331905159.0,0.0637563105,167.1952759506,0.8786415731,0.7087573656,0.0,,,,,,,0.0,
2023,3,2801123,RATIO_TTM,PHR,2023,135499198,6517511423800.0,0.0,7.3257644175,1.8478432585,4.4437831013,10.5261142923,18.327197268,0.1776907062,2.9131454984,3.2821628586,0.0296135704,0.0556218372,0.6308212657,0.260429189,0.144801567,12.5435169011,95.1773123684,17.5155311003,0.255166656,0.1577544272,0.778668761,0.6389213557,0.2387115084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231371841998.0,369153947380.0,0.0590866867,171.6589517496,0.8279745722,0.6308212657,0.0,,,,,,,0.0,
2023,4,2804383,RATIO_TTM,PHR,2023,135499198,8129951880000.0,0.0,13.1189397051,2.2297926742,6.0176217909,26.9226577231,25.2872602741,0.1651837569,2.7591503664,3.127939518,0.010949842,0.0835180787,0.6151411874,0.1787295296,0.0992027248,15.9074685325,115.6257316447,22.0969410887,0.2420713974,0.1431348529,0.5861936574,0.4894716661,0.2162705818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193378631441.0,331312984533.0,0.0467912406,195.7516957525,0.7617947696,0.6151411874,0.0,,,,,,,0.0,
