year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2697999,RATIO_TTM,PNJ,2018,162138615,15419382286500.0,0.0105152471,18.6437202506,3.2137582978,1.2865105596,261.8361098497,14.7977516739,0.0583497497,0.1885870868,2.7590951916,0.0244409712,0.2433640637,0.4656259806,0.3064628026,0.1935405065,1.3725764415,119.8737236146,9.680280353,0.1778461985,0.0875512499,0.0849189009,0.0678432303,2.8527607804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049339378680.0,1089083051988.0,0.2638253291,132.2538030394,24.3200698157,0.4656259806,0.0,,,,,,,0.0,
2018,2,2713865,RATIO_TTM,PNJ,2018,162138615,16862415960000.0,0.0096153846,19.4731100659,5.0085708677,1.3114511301,-194.1086227244,15.3686080698,0.0553540641,0.1699316936,2.4221869725,0.0153389384,0.3080917262,0.5367164131,0.282455057,0.1877769147,1.2998605512,121.1462040126,9.9501784311,0.1799953747,0.0869653677,0.0842850948,0.0672447237,2.7924408683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118185932535.0,1158395994454.0,0.2539041799,133.9536972899,22.8762738029,0.5367164131,0.0,,,,,,,0.0,
2018,3,2715261,RATIO_TTM,PNJ,2018,167002273,14896602751600.0,0.0201793722,15.8495271357,4.4043322799,1.0850144177,-109.5225573576,13.0535360677,0.0567289236,0.1769939928,2.1666661157,0.0054621811,0.3858674395,0.6205823335,0.2841424965,0.1847627125,1.3588204377,122.6590276216,9.0254620689,0.1834160395,0.0867141426,0.0835285499,0.0667348752,2.7686080463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190533612777.0,1232165743052.0,0.253987773,134.9427993973,21.7597412498,0.6205823335,0.0,,,,,,,0.0,
2018,4,2716791,RATIO_TTM,PNJ,2018,167002273,16316122072100.0,0.0184237462,16.9973898332,4.3566894979,1.1197563703,-54.002106442,13.4102021027,0.0772120444,0.1632643909,2.0189073667,0.0020827362,0.4182247767,0.7190305292,0.2867744719,0.1756470137,1.2225454407,129.5401487119,9.6198275445,0.1907252537,0.0866882555,0.0827355049,0.0658784163,2.6662300561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263146338093.0,1305247986180.0,0.2378199382,142.1636485514,24.153768362,0.7190305292,0.0,,,,,,,0.0,
2018,5,12237931,RATIO_YEAR,PNJ,2018,167002273,16316122072100.0,0.0214362272,17.0862056822,4.1605000598,1.0693317593,-51.5700770833,12.979096477,0.0772120444,0.1351791107,2.0189073667,0.0020827362,0.4182247767,0.7190305292,0.2867744719,0.1756470137,1.2225454407,129.5401487119,9.6198275445,0.1907252537,0.0866882555,0.0827355049,0.0658784163,2.6662300561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263146338093.0,1305247986180.0,0.2378199382,142.1636485514,24.153768362,0.7190305292,0.0,,,,,,,0.0,12237931.0
2019,1,2723328,RATIO_TTM,PNJ,2019,222667251,16477376574000.0,0.0108108108,15.4262588797,4.0783385651,1.0828462507,237.5953119615,12.0880984154,0.0452925879,0.2013548492,2.4158956421,0.0018315844,0.2749592709,0.5227278211,0.2896965643,0.1821960214,2.0274663925,131.4852371795,8.79256987,0.2009879816,0.0920882018,0.0872933216,0.0691770932,2.6337623191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401281093520.0,1447150671113.0,0.2720346092,144.6908810594,21.6535538437,0.5227278211,0.0,,,,,,,0.0,
2019,2,2725937,RATIO_TTM,PNJ,2019,222562551,18405922967700.0,0.0096735187,17.516026029,4.4974391936,1.2302506238,357.682020543,13.6622734689,0.0502040236,0.1647863543,2.2016071049,0.0018081707,0.355505406,0.5947326288,0.272959901,0.1702753382,2.3662830833,142.5924019833,9.0574568831,0.2079531241,0.0931494526,0.0876172016,0.0696047174,2.446318936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1393619816761.0,1444798002859.0,0.2512180033,156.713301914,20.3704757143,0.5947326288,0.0,,,,,,,0.0,
2019,3,2731224,RATIO_TTM,PNJ,2019,225188176,20424567563200.0,0.0088202867,18.8016228624,4.9570588517,1.2972685822,-36.4869481077,15.0365084647,0.0275725571,0.1442560009,1.8308630761,0.0017959859,0.5518686222,0.8507275156,0.2679448295,0.1611086089,3.0125282492,148.3222855019,10.1589065171,0.2073289398,0.0923004459,0.086236985,0.0680672193,2.3669045194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453204617141.0,1503148223132.0,0.2272704761,164.2126510865,19.9735384945,0.8507275156,0.0,,,,,,,0.0,
2019,4,2733971,RATIO_TTM,PNJ,2019,225188176,13556328195200.0,0.0299003322,11.3597372554,2.9616650538,0.7973991237,-20.5155712906,9.3423694841,0.0237002831,0.0753993548,1.8251912661,0.0008083428,0.5712149414,0.8794985427,0.2869205215,0.158757539,1.1374333146,161.7240468316,13.92994713,0.2035632264,0.0954711304,0.0886265896,0.0702280663,2.2605996073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623074240824.0,1684140371409.0,0.2256818594,178.7121911018,20.6926965231,0.8794985427,0.0,,,,,,,0.0,
2019,5,12245169,RATIO_YEAR,PNJ,2019,225188176,13556328195200.0,0.0192926045,18.5323177885,4.5922374507,1.2364146696,-31.7957275983,13.9770235684,0.0237002831,0.0559782338,1.8251912661,0.0008083428,0.5712149414,0.8794985427,0.2869205215,0.158757539,1.1374333146,161.7240468316,13.92994713,0.2035632264,0.0954711304,0.0886265896,0.0702280663,2.2605996073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623074240824.0,1684140371409.0,0.2256818594,178.7121911018,20.6926965231,0.8794985427,0.0,,,,,,,0.0,12245169.0
