item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,net_profit_loss_before_tax,-326947377738.0,1864810619071.0,1520456231057.0,625753181461.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,depreciation_and_amortization,18989195754.0,18518277954.0,20536795649.0,21021081735.0
Chi phí dự phòng,Provisions,provisions,1231620373450.0,-3949215427.0,5720321082.0,-5126204365.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,35044597.0,-2187343.0,-2039977941.0,1505334971.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,profit_loss_from_liquidating_fixed_assets,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,profit_loss_from_investing_activities,28738115134.0,-42831359789.0,-42463294522.0,-25115163203.0
Chi phí lãi vay,Interest expense,interest_expense,56853927524.0,50571525907.0,33497968561.0,24063535984.0
Thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,operating_profit_loss_before_changes_in_working_capital,1009289278721.0,1887117660373.0,1535708043886.0,642101766583.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,increase_decrease_in_receivables,-48498663068.0,-49803118650.0,96427786102.0,-64205154963.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,increase_decrease_in_inventories,-2098622743491.0,2420198444319.0,-3386317720537.0,1264854560972.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,increase_decrease_in_payables,-237041495357.0,-59653053842.0,130627589253.0,37369383510.0
(Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses,increase_decrease_in_prepaid_expenses,16974250623.0,24972122330.0,47979883852.0,41925326222.0
