date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2023-01-30,0.0036678537726402283,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-01-31,0.0033282062504440546,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-01,0.002985218074172735,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-02,0.002985218074172735,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-03,0.002985218074172735,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-06,0.0038516786880791187,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-07,0.0038516786880791187,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-08,0.0035739520099014044,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-09,0.0038516786880791187,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-10,0.001558993011713028,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-13,0.0038516786880791187,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-14,0.0038516786880791187,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-15,0.0038516786880791187,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-16,0.0035739520099014044,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-17,0.0035739520099014044,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-20,0.0033282062504440546,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-21,0.0033282062504440546,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-22,0.0034797789994627237,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-23,0.0034797789994627237,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-24,0.0041712811216712,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-27,0.005847672000527382,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-28,0.00455530034378171,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-01,0.005392121616750956,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-02,0.0038516786880791187,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-03,0.005008102394640446,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-06,0.004300367087125778,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-07,0.0036678537726402283,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-08,0.0036678537726402283,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-09,0.0036678537726402283,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
