entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2024-02-01,2024-02-07,58.15,57.51,1700,4,-1088000.0,-1579011.0,-0.015941118622600028,fixed_horizon_exit
2024-03-11,2024-03-15,62.96,61.93,1500,4,-1545000.0,-2012565.0,-0.021267978655142065,fixed_horizon_exit
2025-02-27,2025-03-05,61.52,60.87,1500,4,-975000.0,-1433475.0,-0.01550296675829096,fixed_horizon_exit
2025-03-31,2025-04-04,54.11,43.85,1700,4,-17442000.0,-17849609.0,-0.1936575933330161,fixed_horizon_exit
2025-04-08,2025-04-14,40.8,46.45,1800,4,10170000.0,9772290.0,0.13279935227584047,fixed_horizon_exit
2025-04-15,2025-04-21,46.25,43.59,1800,4,-4788000.0,-5189886.0,-0.0622165398931866,fixed_horizon_exit
2025-04-22,2025-04-28,44.82,46.19,1800,4,2466000.0,2055222.0,0.0254241628300739,fixed_horizon_exit
2025-04-29,2025-05-08,46.51,49.63,1700,4,5304000.0,4892753.0,0.061757585667194956,fixed_horizon_exit
2025-07-09,2025-07-15,53.92,57.17,1600,4,5200000.0,4753040.0,0.054983689890249175,fixed_horizon_exit
2025-07-29,2025-08-04,54.7,55.54,1700,4,1428000.0,958766.0,0.010289840793732461,fixed_horizon_exit
