date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,-0.00010366254718974233,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,0.0023078666999936104,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,0.004503693897277117,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,0.006148167420178652,0.0,BUY,1300,False,0,191542.0,0.00191542,1.01888458,1.0208,0.01888457999999993,
2026-02-09,0.006148167420178652,0.0,HOLD,1300,False,1,0.0,0.0,1.01888458,1.0208,0.0,
2026-02-10,0.006148167420178652,0.0,HOLD,1300,True,2,0.0,0.0,1.04488458,1.0468,0.025518101373170232,
2026-02-11,0.005332982167601585,0.0,HOLD,1300,True,3,0.0,0.0,1.06737458,1.06929,0.02152390841101326,
2026-02-12,0.003616834757849574,0.0,SELL,0,True,0,312000.0,0.00312,1.07725458,1.08229,0.00925635684522308,0.08050493285182045
2026-02-13,0.005147816147655249,0.0,BUY,1300,False,0,208520.0,0.0020852,1.07438938,1.08151,-0.0026597241294624707,
2026-02-23,0.004640202037990093,0.0,HOLD,1300,False,1,0.0,0.0,1.07698938,1.08411,0.0024199792443964085,
2026-02-24,0.004640202037990093,0.0,HOLD,1300,True,2,0.0,0.0,1.06827938,1.0754,-0.00808735922725623,
2026-02-25,0.003654174506664276,0.0,HOLD,1300,True,3,0.0,0.0,1.07256938,1.07969,0.004015803431495657,
2026-02-26,0.0026848595589399338,0.0,SELL,0,True,0,316953.0,0.00316953,1.08590985,1.0962,0.012437862061659866,0.008285050845939045
2026-02-27,0.002171995583921671,0.0,HOLD,0,False,0,0.0,0.0,1.08590985,1.0962,0.0,
2026-03-02,0.003920076414942741,0.0,HOLD,0,False,0,0.0,0.0,1.08590985,1.0962,0.0,
2026-03-03,0.004654526244848967,0.0,HOLD,0,False,0,0.0,0.0,1.08590985,1.0962,0.0,
2026-03-04,0.0036852112971246243,0.0,HOLD,0,False,0,0.0,0.0,1.08590985,1.0962,0.0,
2026-03-05,0.0020453825127333403,0.0,HOLD,0,False,0,0.0,0.0,1.08590985,1.0962,0.0,
2026-03-06,0.0007696747197769582,0.0,HOLD,0,False,0,0.0,0.0,1.08590985,1.0962,0.0,
2026-03-09,0.0031504197977483273,0.0,HOLD,0,False,0,0.0,0.0,1.08590985,1.0962,0.0,
2026-03-10,0.004531865939497948,0.0,HOLD,0,False,0,0.0,0.0,1.08590985,1.0962,0.0,
2026-03-11,0.007115750107914209,0.0,BUY,1300,False,0,205582.0,0.00205582,1.07774403,1.09009,-0.007519795496836124,
2026-03-12,0.006608135998249054,0.0,HOLD,1300,False,1,0.0,0.0,1.06916403,1.08151,-0.00796107402237245,
2026-03-13,0.0007696747197769582,0.0,HOLD,1300,True,2,0.0,0.0,1.07865403,1.091,0.008876093596227763,
2026-03-16,0.0024182102642953396,0.0,HOLD,1300,True,3,0.0,0.0,1.07605403,1.0884,-0.00241041142728593,
2026-03-17,0.0024182102642953396,0.0,SELL,0,True,0,299013.0,0.00299013,1.0496639,1.065,-0.024524911634780988,-0.0351914105266134
2026-03-18,0.0021879172418266535,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-19,0.0021879172418266535,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-20,0.002409503562375903,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-23,0.0023284568451344967,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-24,0.002409503562375903,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-25,0.002409503562375903,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-26,0.004878948908299208,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-27,0.004464305937290192,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-30,0.004048752132803202,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-03-31,0.004464305937290192,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-01,0.0025024740025401115,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-02,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-03,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-06,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-07,0.00014503931743092835,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-08,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-09,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-10,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-13,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-14,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-15,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-16,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-17,0.000997574650682509,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-20,0.000997574650682509,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-21,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-22,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-23,0.0019948601257056,0.0,HOLD,0,False,0,0.0,0.0,1.0496639,1.065,0.0,
2026-04-24,0.00653272308409214,0.0,BUY,1400,False,0,196280.0,0.0019628,1.0043011,1.0216,-0.04321650006254385,
2026-04-28,0.00653272308409214,0.0,HOLD,1400,False,1,0.0,0.0,1.0085011,1.0258,0.004182012744982533,
2026-04-29,0.00653272308409214,0.0,HOLD,1400,True,2,0.0,0.0,1.0225011,1.0398,0.013881987833231024,
2026-05-04,0.006725780200213194,0.0,HOLD,1400,True,3,0.0,0.0,1.0099011,1.0272,-0.012322725129586654,
2026-05-05,0.006725780200213194,0.0,SELL,0,True,0,285600.0,0.002856,1.0154451,1.0356,0.005489646461420916,-0.034797736908494
2026-05-06,0.00653272308409214,0.0,BUY,1400,False,0,190960.0,0.0019096,1.0261355,1.0482,0.010527797120691185,
