date,raw_signal,executed_position,asset_return,executed_shares,liquidity_cap_shares,capital_utilization,turnover,transaction_cost,gross_strategy_return,net_strategy_return,transaction_cost_value,gross_pnl,net_pnl,equity_curve,drawdown
2023-12-21,0,0.0,-0.008528784648187626,0,38700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-12-22,0,0.0,0.0,0,37600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-12-25,0,0.0,-0.004282655246252598,0,38400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-12-26,0,0.0,-0.017057569296375252,0,38200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-12-27,0,0.0,0.0,0,39900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-12-28,0,0.0,0.0,0,39200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-12-29,0,0.0,-0.004282655246252598,0,40700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-02,0,0.0,0.012903225806451424,0,39600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-03,0,0.0,0.0,0,40100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-04,0,0.0,-0.01268498942917562,0,42800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-05,0,0.0,0.004264392324093702,0,42400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-08,0,0.0,0.00424628450106157,0,42100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-09,0,0.0,-0.008421052631578996,0,43000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-10,0,0.0,0.022292993630573354,0,43600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-11,0,0.0,-0.025746652935118464,0,47100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-12,0,0.0,-0.013612565445026203,0,49700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-15,0,0.0,0.00849256900212314,0,48300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-16,0,0.0,-0.008421052631578996,0,48000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-17,0,0.0,0.0,0,48900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-18,0,0.0,0.009513742071881603,0,49200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-19,0,0.0,-0.004171011470281427,0,51100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-22,0,0.0,-0.00942408376963344,0,51100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-23,0,0.0,-0.0042283298097252064,0,51200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-24,0,0.0,0.00424628450106157,0,51100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-25,0,0.0,0.0,0,48500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-26,0,0.0,-0.0042283298097252064,0,48200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-29,0,0.0,0.004228329809724984,0,47000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-30,0,0.0,-0.017801047120418856,0,48900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-01-31,0,0.0,0.0,0,49000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-01,0,0.0,-0.00849256900212314,0,46400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-02-02,0,0.0,-0.008528784648187626,0,45500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-02-05,0,0.0,0.004282655246252709,0,44300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-06,0,0.0,0.0,0,44300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-07,0,0.0,0.0,0,43600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-15,0,0.0,0.004228329809724984,0,40000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-16,0,0.0,0.04421052631578948,0,37300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-19,0,0.0,-0.012048192771084487,0,46400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-02-20,0,0.0,-0.004085801838610736,0,48900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-02-21,0,0.0,-0.004102564102564044,0,50100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-02-22,0,0.0,-0.02564102564102566,0,50900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-02-23,0,0.0,0.0052631578947368585,0,52700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-26,0,0.0,0.012513034410844837,0,54100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-27,0,0.0,-0.004085801838610736,0,55300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-02-28,0,0.0,-0.021341463414634054,0,57000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-02-29,0,0.0,0.008307372793354029,0,59400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-01,0,0.0,0.0,0,60600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-04,0,0.0,0.0,0,62500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-05,0,0.0,0.009230769230769154,0,61100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-06,0,0.0,-0.005081300813008172,0,63300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-07,0,0.0,-0.017276422764227584,0,64900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-08,0,0.0,-0.012358393408856916,0,70300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-11,0,0.0,-0.009384775808133461,0,72000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-12,0,0.0,0.0094736842105263,0,73000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-13,0,0.0,0.0,0,73600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-14,0,0.0,-0.013555787278414888,0,75000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-15,0,0.0,-0.01268498942917562,0,78800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-18,0,0.0,-0.004282655246252598,0,74000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-19,0,0.0,0.008565310492505418,0,72200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-20,0,0.0,-0.0042283298097252064,0,71600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-21,0,0.0,0.00849256900212314,0,72100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-22,0,0.0,-0.013612565445026203,0,71800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-25,0,0.0,0.00424628450106157,0,72400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-03-26,0,0.0,-0.004210526315789331,0,71500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-27,0,0.0,-0.004210526315789331,0,70900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-28,0,0.0,-0.008421052631578996,0,69700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-03-29,0,0.0,-0.004246284501061459,0,69700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2024-04-01,0,0.0,0.013800424628450214,0,68800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
