year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2701670,RATIO_TTM,PVPOWER,2018,2341871600,30755799722800.0,0.0,12.7236839768,1.1098093512,1.0048333234,4.7758871502,6.0742459612,0.1763985627,0.8774647404,1.1049355592,0.6543977762,0.8687147408,1.226370973,0.0865269495,0.0382286625,86.635328934,55.6554894109,76.7706534541,0.168778472,0.1421854832,0.0957624451,0.0909699156,0.4840697546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4351993650700.0,8671223067858.0,0.0817357182,221.0886655226,0.688352984,1.226370973,0.0,,,,,,,0.0,
2018,2,2713703,RATIO_TTM,PVPOWER,2018,2341871600,32189025142000.0,0.0,12.1394109555,1.2898927699,1.0047221839,5.232282364,6.1079504975,0.2673767985,0.7309202623,0.9042814666,0.6118695722,0.9570848301,1.4479869697,0.09456171,0.0413157599,89.1581555542,52.5940426756,78.0400909072,0.1609880023,0.132429269,0.0987593874,0.0940724998,0.5074192999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4243461564232.0,8432734233577.0,0.0825941507,222.0770253826,0.7370621628,1.4479869697,0.0,,,,,,,0.0,
2018,3,2715961,RATIO_TTM,PVPOWER,2018,2341871600,39343442880000.0,0.0,19.9151126829,1.6227413166,1.2261820621,5.6013383732,7.5703320919,0.3893256236,0.7441044109,0.9572079229,0.6036885876,0.9213639665,1.3125383406,0.0673946671,0.0294266184,89.4882430344,49.4129203166,78.0640020044,0.1442699904,0.1162010898,0.0730772429,0.069985425,0.5140282797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3728443825609.0,7785336283139.0,0.0730858187,220.0543632287,0.754750215,1.3125383406,0.0,,,,,,,0.0,
2018,4,2717423,RATIO_TTM,PVPOWER,2018,2341871600,34308418940000.0,0.0,17.8565677766,1.3999735961,1.0504017151,6.8671087024,7.0889168147,0.1812866762,0.6297120336,0.8679847519,0.4961273578,0.7405541492,1.167092872,0.0704568655,0.0323743492,77.2742474798,49.9877243461,70.8457434648,0.1370554072,0.1127738292,0.0762901225,0.0700149697,0.5503558808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3683440080251.0,7603779051103.0,0.0789190838,200.5917702387,0.776114713,1.167092872,0.0,,,,,,,0.0,
2018,5,12237950,RATIO_YEAR,PVPOWER,2018,2341871600,34308418940000.0,0.0,14.8703158276,1.1658483189,0.8747372645,5.7186843801,5.9501660788,0.1812866762,0.6098963469,0.8679847519,0.4961273578,0.7405541492,1.167092872,0.0704568655,0.0323743492,77.2742474798,49.9877243461,70.8457434648,0.1370554072,0.1127738292,0.0762901225,0.0700149697,0.5503558808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3683440080251.0,7603779051103.0,0.0789190838,200.5917702387,0.776114713,1.167092872,0.0,,,,,,,0.0,12237950.0
2019,1,2722866,RATIO_TTM,PVPOWER,2019,2341871600,32317828080000.0,0.0,15.9912694632,1.2756114103,0.9870154053,5.9584301483,7.3704220494,0.2034898645,0.7490024073,0.9575893537,0.476365751,0.7585403452,1.1704403161,0.0699980051,0.0308109754,90.3067743136,50.4433442692,77.5810258461,0.1278388448,0.1032232998,0.0725546808,0.0667816372,0.5368875143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3379838692854.0,7043740983691.0,0.069319053,221.1646006896,0.804845576,1.1704403161,0.0,,,,,,,0.0,
2019,2,2725947,RATIO_TTM,PVPOWER,2019,2341871600,30327237220000.0,0.0,15.5377436862,1.1662554878,0.9148428158,5.1483082814,6.5901680979,0.2175842604,0.7052816219,0.9187199891,0.3816221111,0.6633477103,1.0403727129,0.0712348053,0.0328342827,86.229352334,50.609772805,75.1876827711,0.1334406951,0.1115765012,0.0753466364,0.0687949526,0.5576593709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3698785149581.0,7240462205436.0,0.0780941025,214.7479752941,0.8320419909,1.0403727129,0.0,,,,,,,0.0,
2019,3,2731521,RATIO_TTM,PVPOWER,2019,2341871600,25994774760000.0,0.0,10.3783320483,0.9734392853,0.7620313278,5.7364169463,5.6885574654,0.3496521567,0.7848123912,0.9944476592,0.3621428247,0.6681901267,1.0522565281,0.0892122683,0.0423777866,89.4345849986,49.8899253201,78.6844946272,0.135812947,0.1134986837,0.0932461568,0.0847109686,0.5771557218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3871721031788.0,7248377965363.0,0.0793355259,220.458447061,0.8726599888,1.0522565281,0.0,,,,,,,0.0,
2019,4,2734481,RATIO_TTM,PVPOWER,2019,2341871600,24706745380000.0,0.0,9.8445187951,0.9189215388,0.6984383484,4.6418752852,5.6530649598,0.2979001367,0.8584073212,0.9420698133,0.2844554221,0.5947824183,0.8873939918,0.089115277,0.0441043639,83.8909188015,33.9275287437,60.9742740178,0.1452364717,0.1112159974,0.0894728838,0.0807052402,0.6216529215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3934184507996.0,7066040367591.0,0.0835976687,178.6698474924,0.9129219265,0.8873939918,0.0,,,,,,,0.0,
2019,5,12245177,RATIO_YEAR,PVPOWER,2019,2341871600,24706745380000.0,0.0245901639,11.8604346039,1.0626391255,0.807672782,5.36785578,5.8079455231,0.2979001367,0.8085762204,0.9420698133,0.2844554221,0.5947824183,0.8873939918,0.089115277,0.0441043639,83.8909188015,33.9275287437,60.9742740178,0.1452364717,0.1112159974,0.0894728838,0.0807052402,0.6216529215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3934184507996.0,7066040367591.0,0.0835976687,178.6698474924,0.9129219265,0.8873939918,0.0,,,,,,,0.0,12245177.0
