item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,8355616147645.0,9472279664078.0,6961303573152.0,7873814150389.0,8435585047709.0,9879513523830.0,7923656463479.0,9182050212097.0,7975357085644.0,7707696840615.0,6112182265883.0,7914243059029.0,7661011132024.0,7963484313846.0,5342484577946.0,3598433387315.0,7061387615173.0,7462747719747.0,6041683995718.0,7669213819872.0,7424374923419.0,8429298807051.0,5679490829052.0,6411526702329.0,6243103427715.0,9382192018258.0,6061159998320.0,8619178824356.0,8150308985784.0,9398770212474.0,7855188738891.0,8901872534766.0,12327018194772.0,20308045024787.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,-94002229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,8355616147645.0,9472279664078.0,6961303573152.0,7873814150389.0,8435585047709.0,9879513523830.0,7923562461250.0,9182050212097.0,7975357085644.0,7707696840615.0,6112182265883.0,7914243059029.0,7661011132024.0,7963484313846.0,5342484577946.0,3598433387315.0,7061387615173.0,7462747719747.0,6041683995718.0,7669213819872.0,7424374923419.0,8429298807051.0,5679490829052.0,6411526702329.0,6243103427715.0,9382192018258.0,6061159998320.0,8619178824356.0,8150308985784.0,9398770212474.0,7855188738891.0,8901872534766.0,12327018194772.0,20308045024787.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-7010528595450.0,-8344947604247.0,-5978032133321.0,-7111082858191.0,-7123094790471.0,-8514418608646.0,-6730963141044.0,-7929530195089.0,-6955464478284.0,-6381801219923.0,-5564783920381.0,-6188263085801.0,-6785177211885.0,-6813046682758.0,-4499699904302.0,-3924719976825.0,-6034216450099.0,-6533452909107.0,-5339011046901.0,-6561462202507.0,-6745448480992.0,-7959932152981.0,-5372558544762.0,-5683440436386.0,-5866382797488.0,-8647208045255.0,-5764905515076.0,-8029468233671.0,-7334309845541.0,-8230982771383.0,-6564435636945.0,-7697858604308.0,-10522750414875.0,-15587316400435.0
Lợi nhuận gộp,Gross Profit,gross_profit,1345087552195.0,1127332059831.0,983271439831.0,762731292198.0,1312490257238.0,1365094915184.0,1192599320206.0,1252520017008.0,1019892607360.0,1325895620692.0,547398345502.0,1725979973228.0,875833920139.0,1150437631088.0,842784673644.0,-326286589510.0,1027171165074.0,929294810640.0,702672948817.0,1107751617365.0,678926442427.0,469366654070.0,306932284290.0,728086265943.0,376720630227.0,734983973003.0,296254483244.0,589710590685.0,815999140243.0,1167787441091.0,1290753101946.0,1204013930458.0,1804267779897.0,4720728624352.0
Doanh thu hoạt động tài chính,Financial income,financial_income,68132287223.0,204387220048.0,132816454825.0,110603685654.0,101177311065.0,120946076940.0,137583508040.0,87321912177.0,86695784927.0,203637868252.0,145947193023.0,90603548571.0,96994991595.0,373851852317.0,119378557822.0,106923521509.0,65701972549.0,63156976962.0,95553005970.0,210512096481.0,124616001191.0,121707738155.0,138935874946.0,164283973828.0,101231459522.0,104198817970.0,411264584940.0,-50599556513.0,208100324335.0,206378587637.0,222852092391.0,394256906668.0,298813052323.0,366307258830.0
Chi phí tài chính,Financial expenses,financial_expenses,-469050714116.0,-279993150078.0,-795508859969.0,-275617496406.0,-322347397216.0,-392435735189.0,-284149487283.0,-324944731883.0,-410576900499.0,-171941823037.0,-235394953320.0,-216139152315.0,-158190004678.0,-209958505689.0,-136971129567.0,-165895002939.0,-107659599083.0,-226998722990.0,-206594908538.0,-95170740994.0,-140063549091.0,-135620410927.0,-213396986212.0,-191124855723.0,-154488495287.0,-205679294785.0,3286864578.0,-488550060202.0,-175504879735.0,-398689493045.0,-295127875537.0,-164196234556.0,-457938975468.0,-515907969834.0
Chi phí lãi vay,Interest expenses,interest_expenses,-307021709262.0,-340135866380.0,-341467622585.0,-318471644515.0,-289707114675.0,-306919627948.0,-283644084403.0,-271512376708.0,-243868319488.0,-212868070274.0,-191792039694.0,-160704337660.0,-135245537879.0,-133893599523.0,-130735607538.0,-109769646425.0,-53915704054.0,-142667385775.0,-118168254762.0,-122723912997.0,-132064681571.0,-125479208488.0,-133502990648.0,-106946497287.0,-80568089339.0,-87908652669.0,-95632403499.0,-117537490672.0,-119464898488.0,-137817303342.0,-152456160451.0,-245673753524.0,-414177841347.0,-517767647245.0
Chi phí bán hàng,Selling expenses,selling_expenses,-4142088932.0,-5333949819.0,-3871088703.0,-6968478294.0,-5012650213.0,-8206295720.0,-5438579535.0,-8097547246.0,-5752659989.0,-8097660461.0,-6806022911.0,-14502830935.0,-9426420660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-549114673.0,-951315419.0,0.0,0.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-110413687282.0,-305027278467.0,-136887429714.0,-226018141316.0,-116867339718.0,-220971331192.0,-171711937050.0,-669798275906.0,-76550780881.0,-427006533395.0,-264039543174.0,-477084903121.0,-132487094260.0,-239176031070.0,-154315415759.0,396985289538.0,-115716210049.0,-202263865020.0,-386643819018.0,-419752491937.0,-126483398145.0,-207371084396.0,-148741888742.0,-296729649453.0,-116324556180.0,-195274182077.0,-168864458435.0,-397327549083.0,-337713585028.0,-166322714034.0,-211833570897.0,-529876208915.0,-236165101434.0,-421640149964.0
