article_key,symbol,provider,source_name,source_url,title,content_excerpt,published_at,available_at,fetched_at,availability_basis,entity_match_method,entity_confidence,event_type,sentiment_score,sentiment_label,analysis_method
533be37c9686bfe63ae7ffe0c9fa3e74b558e14ccca1142bc03da7cef2dd2f84,PVD,vnstock:VCI,vnstock:VCI,,PVD: Báo cáo tình hình quản trị công ty năm 2025,,2026-01-29 08:39:56+00:00,2026-01-29 08:39:56+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
a4bbc0f61e0f91bf8ee08cb7727e052558420861d035aa0530bc081c7b0e6719,PVD,vnstock:VCI,vnstock:VCI,,PVD: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Đoàn Đắc Tùng,,2026-01-30 02:57:00+00:00,2026-01-30 02:57:00+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
25357b2a4b8e9304d62e89c7b3847e21bea9f4abecf693462aa23c66c2ac635e,PVD,vnstock:VCI,vnstock:VCI,,PVD: Giải trình biến động LNST trên BCTC quý 4/2025 so với cùng kỳ năm trước,,2026-02-02 07:55:56+00:00,2026-02-02 07:55:56+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,earnings,0.0,neutral,keyword_heuristic_v1
ea6bb36e22edc93846845fffdbd07cd954127b927c7651106e2f7903c1dfa3c1,PVD,vnstock:VCI,vnstock:VCI,,PVD: Thông báo thay đổi nhân sự,,2026-02-02 08:57:09+00:00,2026-02-02 08:57:09+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
965cd0e6ddd35a68c36506b79a88fdc0368b1461fddcbd7c94f12bd11ee96c1d,PVD,vnstock:VCI,vnstock:VCI,,PV Drilling (PVD) vượt 98% mục tiêu lợi nhuận năm 2025,,2026-02-02 23:57:00+00:00,2026-02-02 23:57:00+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,earnings,1.0,positive,keyword_heuristic_v1
e69aef2d80f8e5473cacabf66d084eebe3141b055b68f83ad8b44bd0e2f3375e,PVD,vnstock:VCI,vnstock:VCI,,PVD: Đính chính BCTC Hợp nhất quý 4/2025,,2026-02-11 10:40:20+00:00,2026-02-11 10:40:20+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,earnings,0.0,neutral,keyword_heuristic_v1
799a0257114e6b65c1d28cdd0b4ff59f64d993e56791f2dc4fba7dc488b06ac4,PVD,vnstock:VCI,vnstock:VCI,,PVD: Nghị quyết HĐQT ngày 25/02/2026,,2026-02-26 07:25:13+00:00,2026-02-26 07:25:13+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
6cf4e021e9e8490c4d57473522814592a522c5440829153eea75deab72bfe7bd,PVD,vnstock:VCI,vnstock:VCI,,PVD: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền họp ĐHĐCĐ thường niên năm 2026,,2026-02-26 09:59:10+00:00,2026-02-26 09:59:10+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
d8f6e7b7c95985d9e97482749d48fdf19173412a48073a5689946f355cc100e3,PVD,vnstock:VCI,vnstock:VCI,,PVD: Thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2026,,2026-03-04 08:41:58+00:00,2026-03-04 08:41:58+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
09f456a864aa0cc896894acf4d06b1a4eb30332768db20690c98659999a9212d,PVD,vnstock:VCI,vnstock:VCI,,"PVD: Thông báo đề cử, ứng cử thành viên HĐQT nhiệm kỳ 2026-2031",,2026-03-24 09:44:00+00:00,2026-03-24 09:44:00+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
20d553ad50f0f8c8da112eac12c47fa69020f9d401814d67eba6d5f092a6caf9,PVD,vnstock:VCI,vnstock:VCI,,PVD: Nghị quyết HĐQT số 04/3/2026 và 05/3/2026 ngày 25/03/2026,,2026-03-25 10:40:31+00:00,2026-03-25 10:40:31+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
952be139e88053ff08ea87ff2671f7e98950fb3742e7a9c67408e9d38ac528f3,PVD,vnstock:VCI,vnstock:VCI,,PVD: Báo cáo về thay đổi sở hữu của nhóm nhà ĐTN có liên quan là CĐ lớn,,2026-03-27 11:16:00+00:00,2026-03-27 11:16:00+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
b7b95a66468696ed7b3ff8f8b2efc2feec6cfb5d88155baed875803d4ad42b85,PVD,vnstock:VCI,vnstock:VCI,,PVD: Giải trình BCTC HN và Cty mẹ kiểm toán năm 2025 so với cùng kỳ năm trước,,2026-03-31 06:38:51+00:00,2026-03-31 06:38:51+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,earnings,0.0,neutral,keyword_heuristic_v1
620ed717e004ce78be2def0eebb62c0b5dae84ac846a1d6fe8560252716c3ae9,PVD,vnstock:VCI,vnstock:VCI,,PVD: Thư mời tham dự và link tài liệu họp ĐHĐCĐ TN 2026,,2026-04-01 09:21:28+00:00,2026-04-01 09:21:28+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
c1eb42df885fecab7b9e40e234cdb75116260b334ff49dd41710544f45cb5987,PVD,vnstock:VCI,vnstock:VCI,,PVD: Thông báo nhận được Đơn từ nhiệm thành viên BKS,,2026-04-03 09:29:01+00:00,2026-04-03 09:29:01+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
9a497287a478474d0316faddfea1e59fe6321d890d5c61c8ade6fc77d64ebefa,PVD,vnstock:VCI,vnstock:VCI,,PVD: Nghị quyết HĐQT số 01/04/2026 và 02/04/2026 ngày 07/04/2026,,2026-04-08 10:28:00+00:00,2026-04-08 10:28:00+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
2a7069dece0e1bf26552ef6de8aa10e63342c7bc530b0c41a399768af8f0403c,PVD,vnstock:VCI,vnstock:VCI,,PVD: Nghị quyết HĐQT số 01/04/2026 và 01/04/2026 ngày 07/04/2026,,2026-04-08 10:28:44+00:00,2026-04-08 10:28:44+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
8d6895ffd20cdf609e9294f9fb5330e6ed4b91d8f540cdb874fb5aba5e643fd6,PVD,vnstock:VCI,vnstock:VCI,,PVD: Báo cáo về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,,2026-04-15 09:49:00+00:00,2026-04-15 09:49:00+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
295dafc023fce23f649d0ec58449276748330e774347a226382372bc751c02e7,PVD,vnstock:VCI,vnstock:VCI,,PVD: Báo cáo thường niên năm 2025,,2026-04-20 06:45:01+00:00,2026-04-20 06:45:01+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
f5c0536d4cba157bd21d51f44613eb6f0c8450a6a315ca97aa834a413d7c42a5,PVD,vnstock:VCI,vnstock:VCI,,"Thị trường nhiều biến động, PV Drilling chọn kịch bản ‘an toàn’ cho 2026",,2026-04-21 07:51:00+00:00,2026-04-21 07:51:00+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
5ea16c7abda6af4a06da1b6284522179795bf0b07243d8876e04d5bde3d53148,PVD,vnstock:VCI,vnstock:VCI,,PVD: Thông báo thay đổi nhân sự (kèm NQ HĐQT),,2026-04-22 06:52:08+00:00,2026-04-22 06:52:08+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
da2d793a8d33d736d732c776623051d1a174a96b8eedcbb20ac717f0fd5d64b9,PVD,vnstock:VCI,vnstock:VCI,,PVD: Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2026,,2026-04-22 10:24:25+00:00,2026-04-22 10:24:25+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
ad4ee733c0c8299c6f37047540bbbee763ec6fbe37ecce544fa456a85e98419a,PVD,vnstock:VCI,vnstock:VCI,,PVD: Nghị quyết HĐQT số 04/04/2026 ngày 21/04/2026,,2026-04-23 06:34:11+00:00,2026-04-23 06:34:11+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,governance,0.0,neutral,keyword_heuristic_v1
b8c74864eee0bd7116411f9991996f2261057ebac1461a537152821af4a18b91,PVD,vnstock:VCI,vnstock:VCI,,PVD: Báo cáo phát triển bền vững năm 2025,,2026-04-24 09:45:59+00:00,2026-04-24 09:45:59+00:00,2026-08-16 06:11:02.200128+00:00,published_at,provider_symbol_query,0.8,other,0.0,neutral,keyword_heuristic_v1
