item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,10784462968578.0,10817207632647.0,9657061718516.0,8632419217878.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1317336690150.0,1426896842436.0,1821273980243.0,1403165022930.0
Tiền,Cash,cash,1247683206198.0,1279257913635.0,1700983804175.0,1229600273978.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,69653483952.0,147638928801.0,120290176068.0,173564748952.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,1479928953438.0,1702419108078.0,688956087159.0,627133217812.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,5783509647552.0,5790494293584.0,5320195613823.0,4649562756776.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,4724638279920.0,4802524877280.0,4313704304677.0,3242448384822.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,389773565766.0,326557273653.0,208476540204.0,475103799686.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,716803159254.0,726694022262.0,863843391280.0,1009303492084.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-47705357388.0,-65281879611.0,-65828622338.0,-77292919816.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,1752218661648.0,1515775719939.0,1536520885112.0,1644384386958.0
Hàng tồn kho,Inventories,inventories,1891272048510.0,1655676586941.0,1675996953160.0,1781552539720.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-139053386862.0,-139900867002.0,-139476068048.0,-137168152762.0
Tài sản lưu động khác,Other current assets,other_current_assets,451469015790.0,381621668610.0,290115152179.0,308173833402.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,63029149092.0,83290759968.0,27912403568.0,96516960060.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,386875928556.0,297044910630.0,260625324804.0,210066300172.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,1563938142.0,1285998012.0,1577423807.0,1590573170.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,19017229099908.0,18724993714869.0,18652800964234.0,18283678317446.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,224898100518.0,227473562550.0,227517444064.0,237240244988.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,224898100518.0,227473562550.0,227517444064.0,237240244988.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,16654755582270.0,14467983204714.0,14607847812254.0,14813873175712.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,16500149084640.0,14313475094802.0,14452833424755.0,14656004667696.0
Nguyên giá TSCĐ hữu hình,Cost,cost,31897488990354.0,29376002062641.0,29180690172632.0,29228537119394.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-15397339905714.0,-15062526967839.0,-14727856747877.0,-14572532451698.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,154606497630.0,154508109912.0,155014387499.0,157868508016.0
Nguyên giá TSCĐ vô hình,Cost,cost,355339878348.0,353561105898.0,351582370190.0,352951108392.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-200733380718.0,-199052995986.0,-196567982691.0,-195082600376.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0
Nguyên giá tài sản đầu tư,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
Đầu tư dài hạn,Long-term investments,long_term_investments,845221756236.0,812803788771.0,770410778053.0,792033450778.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,845221756236.0,812803788771.0,770410778053.0,792033450778.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,0.0,0.0
