year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2699004,RATIO_TTM,PVT,2018,281440162,4587474640600.0,0.0,10.3719526298,1.2026822165,0.7329525018,4.8305994876,4.5993332597,0.7058282422,1.9933214166,2.0289014532,0.4467424665,0.556529991,0.930088711,0.0976375725,0.0482095143,41.5177979315,5.5906340191,62.5449579304,0.1357744076,0.0974662321,0.1084459733,0.0834662128,0.6822090073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610031164371.0,1277084942617.0,0.0814524281,94.8341874586,1.235168242,0.930088711,0.0,,,,,,,0.0,
2018,2,2713013,RATIO_TTM,PVT,2018,281440162,4742266729700.0,0.0,8.1416852842,1.2854127992,0.6792543733,4.7237795014,4.4156435056,0.4969693505,1.6533730453,1.6858222858,0.4700898625,0.5906611968,1.0985674135,0.1256498002,0.0620347451,43.2817203523,4.9633500889,59.983954285,0.1364689214,0.1039414574,0.1259672522,0.0992087406,0.7435614562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725675291520.0,1414140948249.0,0.0970959591,95.3323622429,1.380608447,1.0985674135,0.0,,,,,,,0.0,
2018,3,2715410,RATIO_TTM,PVT,2018,281440162,4742266729700.0,0.0,8.1530424793,1.2529942593,0.6502707693,5.5088591159,4.4816267419,0.4791041216,1.7342545963,1.7707849926,0.4347645957,0.5985616398,1.0374011601,0.1226742075,0.0610038275,46.7172166868,4.8423931858,58.4066948814,0.1350199355,0.1018564734,0.1217545775,0.0949217701,0.7648610707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742814513149.0,1454534298144.0,0.0966014645,97.4030072316,1.4527596685,1.0374011601,0.0,,,,,,,0.0,
2018,4,2717222,RATIO_TTM,PVT,2018,281440162,4601546648700.0,0.0,7.0565819965,1.1438993332,0.6116559837,4.9431350788,5.2818808624,0.5315643785,1.7040824445,1.7669715066,0.4523231771,0.5813912817,0.9850406973,0.1330630701,0.0672060654,38.9267777096,7.0232466108,56.8491785778,0.1440102212,0.1066242067,0.1296168517,0.1036901213,0.7753461487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802144136939.0,1401670825529.0,0.098693218,94.4907069653,1.4202773047,0.9850406973,0.0,,,,,,,0.0,
2018,5,12237952,RATIO_YEAR,PVT,2018,281440162,4601546648700.0,0.0432900433,9.9698497933,1.6161513515,0.864174509,6.9838789186,5.8580578526,0.5315643785,0.9839857144,1.7669715066,0.4523231771,0.5813912817,0.9850406973,0.1330630701,0.0672060654,38.9267777096,7.0232466108,56.8491785778,0.1440102212,0.1066242067,0.1296168517,0.1036901213,0.7753461487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802144136939.0,1401670825529.0,0.098693218,94.4907069653,1.4202773047,0.9850406973,0.0,,,,,,,0.0,12237952.0
2019,1,2722672,RATIO_TTM,PVT,2019,281440162,4770410745900.0,0.0,7.2105557972,1.2338216016,0.6264957368,4.9985869989,5.0910073923,0.6222991266,1.5682383163,1.6131107323,0.475678517,0.6114372377,1.0683319354,0.1341681075,0.0655020194,46.5496304419,6.0965620701,59.0064686625,0.1444928719,0.1097577073,0.1308507915,0.1047318998,0.7538853631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835742871612.0,1460194007096.0,0.102103771,100.1511386746,1.4046545129,1.0683319354,0.0,,,,,,,0.0,
2019,2,2725642,RATIO_TTM,PVT,2019,281440162,4812626770200.0,0.0,7.1276267665,1.1896623456,0.6216597374,7.3119599147,5.0661096504,0.5385100787,1.5440059369,1.5999801299,0.4857477265,0.6242388899,1.0260543188,0.1330297036,0.06550317,44.7834084065,6.8458067315,55.0368447517,0.1517431643,0.1188365635,0.1299461403,0.1036862688,0.7510252306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919982415382.0,1576592917242.0,0.1073377521,95.7876377173,1.354889572,1.0260543188,0.0,,,,,,,0.0,
2019,3,2731455,RATIO_TTM,PVT,2019,281440162,3700938130300.0,0.0,5.1876875877,0.8843958629,0.4776255405,3.2297031346,4.3082402949,0.5505494061,1.6456974867,1.694977674,0.5054682261,0.6436370335,0.9996311729,0.1363007828,0.0674333946,43.0500788937,7.2831060586,53.1204245731,0.1599180693,0.1260593656,0.1377226514,0.110001157,0.732421854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976785940766.0,1677272847428.0,0.1091614641,92.1542636101,1.2830320618,0.9996311729,0.0,,,,,,,0.0,
2019,4,2734820,RATIO_TTM,PVT,2019,281440162,2814401620000.0,0.0,4.0811471546,0.6423818209,0.3627568571,2.3880973306,3.7789238424,0.4788231597,1.4721252916,1.5224693284,0.4250450983,0.6033193551,0.9324134218,0.1273457209,0.0650590286,38.5721215095,7.7621215928,51.9345917907,0.1535053944,0.1195982221,0.1309759032,0.1057804265,0.7319378377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927887160331.0,1677609346187.0,0.101692554,91.9659150462,1.2504936929,0.9324134218,0.0,,,,,,,0.0,
2019,5,12245178,RATIO_YEAR,PVT,2019,281440162,2814401620000.0,0.0173160173,9.8771922069,1.4839020063,0.8379683399,5.5165048336,5.2019359064,0.4788231597,0.821612325,1.5224693284,0.4250450983,0.6033193551,0.9324134218,0.1273457209,0.0650590286,38.5721215095,7.7621215928,51.9345917907,0.1535053944,0.1195982221,0.1309759032,0.1057804265,0.7319378377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927887160331.0,1677609346187.0,0.101692554,91.9659150462,1.2504936929,0.9324134218,0.0,,,,,,,0.0,12245178.0
