date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2023-04-17,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-18,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-19,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-20,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-21,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-24,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-25,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-26,0.0013531604781746864,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-27,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-28,0.00035286459024064243,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-04,0.0008711854461580515,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-05,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-08,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-09,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-10,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-11,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-12,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-15,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-16,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-17,0.0013927411055192351,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-18,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-19,0.0013927411055192351,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-22,-5.506482921191491e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-23,0.0001222289283759892,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-24,0.0005128143238835037,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-25,0.0018889260245487094,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-26,0.0018889260245487094,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-29,0.0017611905932426453,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-30,0.0007434500148519874,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
