item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,net_profit_loss_before_tax,258760944593.0,243948845704.0,201732436653.0,203371958459.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,depreciation_and_amortization,122850688186.0,139996705575.0,128353697126.0,129418133113.0
Chi phí dự phòng,Provisions,provisions,-3498651862.0,2090281512.0,-68970503762.0,-36518285192.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,43394130180.0,42770099444.0,-25168273090.0,18328734012.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,profit_loss_from_liquidating_fixed_assets,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,profit_loss_from_investing_activities,-357952187769.0,-642612907162.0,-270298710597.0,-148804786031.0
Chi phí lãi vay,Interest expense,interest_expense,469107583545.0,381840136063.0,355995764539.0,338929899324.0
Thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,operating_profit_loss_before_changes_in_working_capital,532662506873.0,168033161136.0,321644410869.0,504725653685.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,increase_decrease_in_receivables,-350349491908.0,-233198090009.0,-751375946004.0,-1345319456364.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,increase_decrease_in_inventories,242875703179.0,-1245116888500.0,95734286681.0,461665407668.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,increase_decrease_in_payables,695355820731.0,1828497341748.0,-29486279435.0,355069468995.0
(Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses,increase_decrease_in_prepaid_expenses,-3305507704.0,-2331191702.0,-5084780146.0,-9557025483.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-384156939541.0,-360762482542.0,-348798601522.0,-320891682218.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate Income Tax paid,corporate_income_tax_paid,-17548978196.0,-6034618678.0,5810670540.0,-98455929720.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,other_receipts_from_operating_activities,0.0,0.0,0.0,0.0
Tiền chi khác cho hoạt động kinh doanh,Other payments on operating activities,other_payments_on_operating_activities,49772842719.0,-32074815563.0,-24135060326.0,-26653974151.0
Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh,Net cash inflows/(outflows) from operating activities,net_cash_inflows_outflows_from_operating_activities,786288127908.0,95991325761.0,-735691299343.0,-479417537588.0
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",Purchases of fixed assets and other long term assets,purchases_of_fixed_assets_and_other_long_term_assets,-240661163029.0,-268171975888.0,-305853745316.0,-159485471145.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",Proceeds from disposal of fixed assets,proceeds_from_disposal_of_fixed_assets,123988570298.0,11483836363.0,95772779383.0,2956807534.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Loans granted, purchases of debt instruments",loans_granted_purchases_of_debt_instruments,-1505253115036.0,-184420480911.0,-1635550116698.0,-91419191853.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Collection of loans, proceeds from sales of debts instruments",collection_of_loans_proceeds_from_sales_of_debts_instruments,-121606054797.0,22709564657.0,98896490140.0,0.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Investments in other entities,investments_in_other_entities,-1397583291954.0,-95670461132.0,11132767248.0,-694336800000.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Proceeds from divestment in other entities,proceeds_from_divestment_in_other_entities,1662217805266.0,120001155750.0,79357719000.0,559506913858.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Dividends and interest received,dividends_and_interest_received,718803384263.0,61451088736.0,126193461714.0,16953338095.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash inflows/(outflows) from investing activities,net_cash_inflows_outflows_from_investing_activities,-760093864989.0,-332617272425.0,-1530050644529.0,-365824403511.0
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Proceeds from issue of shares,proceeds_from_issue_of_shares,12263476973.0,0.0,-245324490000.0,651000000000.0
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",Payments for share returns and repurchases,payments_for_share_returns_and_repurchases,0.0,0.0,651000000000.0,0.0
Tiền thu được các khoản đi vay,Proceeds from loans,proceeds_from_loans,6345166001143.0,8760644296683.0,9475655644703.0,9737186992132.0
Tiền trả nợ gốc vay,Repayment of loans,repayment_of_loans,-7813169647047.0,-7978193673343.0,-8267323765916.0,-9323236250813.0
Tiền trả nợ gốc thuê tài chính,Finance lease principal payments,finance_lease_principal_payments,-17418143113.0,-23916460471.0,-26543435057.0,-20758072077.0
