date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_open,market_close,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d,news_count_lookback,news_sentiment_mean_lookback,news_positive_count_lookback,news_negative_count_lookback,news_earnings_count_lookback,news_corporate_action_count_lookback,news_legal_count_lookback,news_source_count_lookback
2019-06-13,5.45,5.45,5.45,5.45,100,,,,,,,,,,5.45,5.45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,3.0,6.0,0.0,0.0,951.26,950.08,-0.004286447907605462,0.0019721369738769923,-0.026248091094507542,0.10634464742947217,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-14,6.27,6.27,6.27,6.27,100,0.15045871559633017,,,,,,,,,5.576153846153846,5.510740740740741,0.0654131054131053,0.01308262108262106,0.05233048433048424,0.010432712187098134,0.008346169749678507,,,,,,,,,,,,,,,100.0,,,,,,,,0.0,,,4.0,6.0,0.0,0.0,948.65,953.61,0.0037154765914448884,-0.004873314688817465,-0.02342085859413401,0.10760474823614828,0.14674323900488528,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-17,7.2,7.2,7.2,7.2,100,0.14832535885167464,0.32110091743119273,,,,,,,,5.8259763313609465,5.6358710562414265,0.19010527511952002,0.04848715189000086,0.14161812322951917,0.02640351043326667,0.019669183781877663,,,,,,,,,,,,,,,200.0,,,,,,,,0.0,,,0.0,6.0,0.0,0.0,953.97,946.95,-0.006983987164564054,-0.01656454460483947,-0.040703858660966596,0.09941892446019752,0.1553093460162387,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-18,8.27,8.27,8.27,8.27,100,0.14861111111111103,0.31897926634768736,0.5174311926605504,,,,,,,6.201979972690031,5.8309917187420615,0.37098825394796986,0.11298737230159467,0.2580008816463752,0.044859522847396596,0.03119720455216145,,,,,,,,,,,,,,,300.0,,,,,,,,0.0,,,1.0,6.0,0.0,0.0,945.73,944.01,-0.0031047045778552773,-0.018772022825781942,-0.04286771639173059,0.09937818998341119,0.1517158156889663,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-19,9.49,9.49,9.49,9.49,200,0.1475211608222491,0.31805555555555554,0.5135566188197769,,,,7.336,,,6.7078292076607955,6.102029369205613,0.6057998384551828,0.2115498655323123,0.3942499729228705,0.06383559941572,0.041543727389132826,,,,,,,,,,,,,,,500.0,,,,,,,,0.0,,,2.0,6.0,0.0,0.0,948.92,949.69,0.0060168854143494155,-0.004695180104174246,-0.034652056354062766,0.10351051983343806,0.14150427540789967,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-20,10.9,10.9,10.9,10.9,110,0.14857744994731292,0.3180169286577994,0.5138888888888888,1.0,,,8.426,,,7.352778560328366,6.457434601116308,0.8953439592120578,0.3483086842682614,0.5470352749437963,0.08214164763413374,0.05018672247190792,,,,,,,,,,,,,,,610.0,,,,,,,,0.0,,,3.0,6.0,0.0,0.0,949.48,959.18,0.009992734471248488,0.009578140788144118,-0.023943991615023807,0.11159562317446434,0.13858471547606444,0.9904218592118559,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-21,12.54,12.54,12.54,12.54,25377,0.15045871559633017,0.32139093782929384,0.5163240628778718,1.0,,,9.68,,,8.150812627970156,6.907995001033618,1.2428176269365379,0.5272104728019167,0.7156071541346212,0.09910826371104768,0.05706596125475448,,,,,,,,,,,,,,,25987.0,,,,,,,,0.0,,,4.0,6.0,0.0,0.0,962.69,959.2,2.085114368544083e-05,0.005861935172659649,-0.011164603156603281,0.1026730336820974,0.15043786445264473,0.9941380648273404,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24,14.4,14.4,14.4,14.4,5200,0.14832535885167464,0.32110091743119273,0.5173867228661748,1.0,,,11.120000000000001,,,9.1122260698209,7.462958334290387,1.6492677355305139,0.7516219253476362,0.8976458101828777,0.11453248163406346,0.06233651459603317,,,,,,,,,,,,,,,31187.0,,,,,,,,0.0,,,0.0,6.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-25,16.56,16.56,16.35,16.56,78444,0.1499999999999999,0.32057416267942584,0.5192660550458714,1.0024183796856105,,,12.778,,,10.258037443694608,8.136813272491098,2.12122417120351,1.025542374518811,1.0956817966846988,0.12809324705335204,0.0661643597031823,,,,,,,,,,,,,,,109631.0,,,,,,,,0.012681159420289693,,,1.0,6.0,-0.13262599469496017,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-26,18.85,18.85,15.9,16.35,26330,-0.01268115942028969,0.13541666666666674,0.30382775119617245,0.7228661749209695,,,14.15,,,11.195262452356976,8.745197474528794,2.4500649778281822,1.3104468951806854,1.1396180826474969,0.14985106898031694,0.06970141178272152,,,,,,,,,,,,,,,83301.0,,,,,,,,0.18042813455657497,,,2.0,6.0,-0.0024464831804282827,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
