item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,112129000000.0,147761000000.0,150142000000.0,212405000000.0,150415000000.0,258668000000.0,273659000000.0,707956000000.0,308700000000.0,360399000000.0,462237000000.0,597600000000.0,698238000000.0,858130000000.0,973967000000.0,738203000000.0,1306399000000.0,1499887000000.0,1210053000000.0,1052647000000.0,1069896000000.0,946470000000.0,1139872000000.0,1460120000000.0,1506256000000.0,1732402000000.0,1269567000000.0,1531174000000.0,4350356000000.0,1432980000000.0,956053000000.0,129000000000.0,1388323000000.0,1237066000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-200000000.0,-51895000000.0,-5776000000.0,-121115000000.0,-200000000.0,-88066000000.0,-58205000000.0,-145775000000.0,-300000000.0,-152952000000.0,-90726000000.0,-124493000000.0,-143088000000.0,-174907000000.0,-197308000000.0,-146717000000.0,-257540000000.0,-297982000000.0,-245301000000.0,-215235000000.0,-216090000000.0,-192965000000.0,-231677000000.0,-298831000000.0,-304924000000.0,-350616000000.0,-257594000000.0,-310239000000.0,-857871000000.0,-299705000000.0,-176563000000.0,-24711000000.0,-277693000000.0,-246143000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-200000000.0,-51895000000.0,-5776000000.0,-121115000000.0,-200000000.0,-88066000000.0,-58205000000.0,-145775000000.0,-300000000.0,-152952000000.0,-90726000000.0,-124493000000.0,-143088000000.0,-174907000000.0,-197308000000.0,-146717000000.0,-257540000000.0,-297982000000.0,-245301000000.0,-215235000000.0,-216090000000.0,-192965000000.0,-231677000000.0,-298831000000.0,-304924000000.0,-350616000000.0,-257594000000.0,-310239000000.0,-857871000000.0,-299705000000.0,-176563000000.0,-24711000000.0,-277693000000.0,-246143000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,111929000000.0,95866000000.0,144366000000.0,91290000000.0,150215000000.0,170602000000.0,215454000000.0,562181000000.0,308400000000.0,207447000000.0,371511000000.0,473107000000.0,555150000000.0,683223000000.0,776659000000.0,591486000000.0,1048859000000.0,1201905000000.0,964752000000.0,837412000000.0,853806000000.0,753505000000.0,908195000000.0,1161289000000.0,1201332000000.0,1381786000000.0,1011973000000.0,1220935000000.0,3492485000000.0,1133275000000.0,779490000000.0,104289000000.0,1110630000000.0,990923000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,111929000000.0,95866000000.0,144366000000.0,91290000000.0,150215000000.0,170602000000.0,215454000000.0,562181000000.0,308400000000.0,207447000000.0,371511000000.0,473107000000.0,555150000000.0,683223000000.0,776659000000.0,591486000000.0,1048859000000.0,1201905000000.0,964752000000.0,837412000000.0,853806000000.0,753505000000.0,908195000000.0,1161289000000.0,1201332000000.0,1381786000000.0,1011973000000.0,1220935000000.0,3492485000000.0,1133275000000.0,779490000000.0,104289000000.0,1110630000000.0,990923000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,0.0,0.0,0.0,396.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,1129.0,0.0,0.0,0.0,759.0,0.0,0.0,0.0,-1004.0,0.0,418.0,1194.0,385.0,0.0,36.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,2102449000000.0,2084557000000.0,1994963000000.0,2299590000000.0,2387426000000.0,2563183000000.0,2716161000000.0,2541437000000.0,2590855000000.0,2681768000000.0,2634404000000.0,2788753000000.0,2812392000000.0,3154850000000.0,2938040000000.0,2899206000000.0,3262819000000.0,3554995000000.0,3945855000000.0,4386131000000.0,4908938000000.0,4917300000000.0,4810648000000.0,5167731000000.0,4788379000000.0,5254070000000.0,5405278000000.0,5268878000000.0,5618652000000.0,5962729000000.0,6268276000000.0,6720236000000.0,6950133000000.0,7537544000000.0
