item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
DOANH THU HOẠT ĐỘNG,OPERATING SALES,operating_sales,1025206139911.0,895318406169.0,874216556126.0,878096956538.0,709258546823.0,771186839387.0,850925630584.0,903607102403.0,945078199266.0,1327443116370.0,919550693190.0,1174729059137.0,1505579682065.0,1766189915717.0,1748087453883.0,2423324859848.0,2007559768896.0,1629085921354.0,1347966825058.0,1351210542652.0,1489415466692.0,1679982105552.0,1941238920951.0,2047056100311.0,1972823366669.0,2307044473129.0,2028136747992.0,2221274987684.0,2159272711993.0,2993036323811.0,4176668051899.0,3601759602481.0,3178135157313.0,3318617765421.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần về hoạt động kinh doanh,Net sales,net_sales,1025206139911.0,895318406169.0,874216556126.0,878096956538.0,709258546823.0,771186839387.0,850925630584.0,903607102403.0,945078199266.0,1327443116370.0,919550693190.0,1174729059137.0,1505579682065.0,1766189915717.0,1748087453883.0,2423324859848.0,2007559768896.0,1629085921354.0,1347966825058.0,1351210542652.0,1489415466692.0,1679982105552.0,1941238920951.0,2047056100311.0,1972823366669.0,2307044473129.0,2028136747992.0,2221274987684.0,2159272711993.0,2993036323811.0,4176668051899.0,3601759602481.0,3178135157313.0,3318617765421.0
CHI PHÍ HOẠT ĐỘNG,OPERATING EXPENSE,operating_expense,-445831806662.0,-491258879711.0,-238055606321.0,-475883476833.0,-253101570695.0,-254811137690.0,-274702303703.0,-388392916049.0,-674993864873.0,-434088507647.0,-321191535261.0,-471521863274.0,-695599943723.0,-745571495689.0,-643377055693.0,-1070013957826.0,-816287470103.0,-695173647490.0,-552575287729.0,-640798997763.0,-392914314284.0,-462760434504.0,-652671311551.0,-926219249486.0,-596169310158.0,-850510980587.0,-635837627608.0,-1205443690595.0,-625287099412.0,-1116846846217.0,-1614782506206.0,-1750253274117.0,-897883040254.0,-892207582536.0
LỢI NHUẬN GỘP,GROSS PROFIT,gross_profit,579374333249.0,404059526458.0,636160949805.0,402213479705.0,456156976128.0,516375701697.0,576223326881.0,515214186354.0,270084334393.0,893354608723.0,598359157929.0,703207195863.0,809979738342.0,1020618420028.0,1104710398190.0,1353310902022.0,1191272298793.0,933912273864.0,795391537329.0,710411544889.0,1096501152408.0,1217221671048.0,1288567609400.0,1120836850825.0,1376654056511.0,1456533492542.0,1392299120384.0,1015831297089.0,1533985612581.0,1876189477594.0,2561885545693.0,1851506328364.0,2280252117059.0,2426410182885.0
CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,GENERAL AND ADMINISTRATIVE EXPENSES,general_and_administrative_expenses,-40405600157.0,-32952485746.0,-42781805109.0,-57543754230.0,-52280980424.0,-50423207026.0,-44920052142.0,-45614014180.0,-41845351004.0,-41628917136.0,-51190850171.0,-49491022039.0,-49827368285.0,-67089627260.0,-69474732156.0,-78617936184.0,-67175440697.0,-69115043816.0,-74564453871.0,-85534481941.0,-76603200362.0,-89690719786.0,-81045034860.0,-114368314165.0,-83235460062.0,-64617435795.0,-61147529764.0,-92749211365.0,-53254794994.0,-71933197416.0,-63565395575.0,-71830855543.0,-47637187798.0,-67057815592.0
KẾT QUẢ HOẠT ĐỘNG,OPERATING PROFIT/(LOSS),operating_profit_loss,454431300362.0,377055824926.0,468213824700.0,267328976030.0,244632174793.0,262860215214.0,329906349265.0,261217908583.0,6318384357.0,650545229394.0,419118520950.0,476475522155.0,529190678608.0,732505552990.0,736569144676.0,1254045453426.0,882987714801.0,520583529507.0,414765316260.0,281319462557.0,617229733888.0,706194640836.0,880097348010.0,643554510853.0,942176599591.0,1059508695115.0,986144556840.0,556110251388.0,1045350522440.0,1197581580299.0,1835408403000.0,998697843536.0,1595722713102.0,1528681849704.0
CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,BUSINESS INCOME TAX EXPENSES,business_income_tax_expenses,509559931229.0,376287776092.0,468936792832.0,268428963802.0,246165331774.0,264063080202.0,332330496480.0,262964653001.0,7964881112.0,651527979091.0,420873081081.0,477187343779.0,530067804459.0,733477981840.0,848414122933.0,1253078931937.0,883287604678.0,522514601185.0,415261069199.0,288640116715.0,617651693361.0,706517172343.0,880314982321.0,644083122168.0,942652063843.0,1059488841628.0,986616815390.0,554769762801.0,1047063625660.0,1197796550893.0,1834918059122.0,1003195760696.0,1593431914504.0,1528966041130.0
Chi phí thuế thu nhập hiện hành,Business income tax - current,business_income_tax_current,-106267394767.0,-82903249350.0,-84247651095.0,-46427285441.0,-48776751648.0,-47354049091.0,-52867173847.0,-29679880370.0,-369538358.0,-123062402681.0,-77866099365.0,-65950038030.0,-107999511414.0,-156946200028.0,-158807619066.0,-226914700497.0,-218208618444.0,-108460245439.0,-92938592641.0,-39311766584.0,-119387411567.0,-125379708861.0,-165305461716.0,-133282190935.0,-193324352833.0,-196702746535.0,-171668807710.0,-132825428063.0,-198113402886.0,-229198629174.0,-352165041119.0,-186886839058.0,-300862943049.0,-301667112228.0
Chi phí thuế thu nhập hoãn lại,Business income tax - deferred,business_income_tax_deferred,12103644618.0,8229146722.0,-6766020621.0,-13997411463.0,1007660634.0,3023348302.0,-10531279618.0,-13248459788.0,1383447362.0,-6072745515.0,604692629.0,-30288782150.0,1670470319.0,14275729890.0,-7034880949.0,-28214431404.0,41175679488.0,7120269812.0,14017839665.0,-15404788835.0,4532447343.0,-13917029356.0,-4885715448.0,3530921905.0,14972570297.0,-14337306599.0,-20951830264.0,16419450717.0,-4956958418.0,-998311886.0,-7154348387.0,3380268456.0,-14974173554.0,4585945424.0
