entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2024-10-11,2024-10-17,13.45,13.29,7400,4,-1184000.0,-1678098.0,-0.016826569908510117,fixed_horizon_exit
2024-10-21,2024-10-25,12.72,12.88,7700,4,1232000.0,738584.0,0.007525828845453747,fixed_horizon_exit
2024-10-28,2024-11-01,12.96,12.51,7600,4,-3420000.0,-3902220.0,-0.039538977600354845,fixed_horizon_exit
2024-11-04,2024-11-08,12.39,12.47,7600,4,608000.0,135356.0,0.001434580395303018,fixed_horizon_exit
2024-11-11,2024-11-15,12.51,12.43,7600,4,-608000.0,-1081556.0,-0.011352993453540561,fixed_horizon_exit
2024-12-17,2024-12-23,12.51,12.39,7500,4,-900000.0,-1366425.0,-0.01453448020027092,fixed_horizon_exit
2024-12-24,2024-12-30,12.39,12.43,7400,4,296000.0,-163318.0,-0.0017777197823884113,fixed_horizon_exit
2024-12-31,2025-01-07,12.43,11.77,7400,4,-4884000.0,-5329258.0,-0.05782240828078357,fixed_horizon_exit
2025-01-15,2025-01-21,11.4,11.49,7600,4,684000.0,248748.0,0.0028653219876037398,fixed_horizon_exit
2025-02-03,2025-02-07,12.43,12.39,7000,4,-280000.0,-714210.0,-0.00819198288860734,fixed_horizon_exit
2025-02-10,2025-02-14,12.43,12.68,6900,4,1725000.0,1290990.0,0.015022248343217026,fixed_horizon_exit
2025-02-20,2025-02-26,13.86,14.48,6300,4,3906000.0,3457692.0,0.03951980598687185,fixed_horizon_exit
2025-02-27,2025-03-05,14.52,14.19,6200,4,-2046000.0,-2489982.0,-0.027603883142805298,fixed_horizon_exit
2025-07-04,2025-07-10,17.52,19.57,5000,4,10250000.0,9781250.0,0.1114352345537236,fixed_horizon_exit
