item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
"Tiền mặt, vàng bạc, đá quý",Cash and precious metals,cash_and_precious_metals,1771148000000.0,2592698000000.0,1704704000000.0,1560071000000.0
Tài sản cố định,Fixed assets,fixed_assets,1574098000000.0,1627109000000.0,1212704000000.0,1253386000000.0
Tài sản cố định hữu hình,Tangible fixed assets,tangible_fixed_assets,677035000000.0,724961000000.0,748875000000.0,796929000000.0
Nguyên giá TSCĐ hữu hình,Cost,cost,2273843000000.0,2281386000000.0,2257192000000.0,2239827000000.0
Hao mòn TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-1596808000000.0,-1556425000000.0,-1508317000000.0,-1442898000000.0
Tài sản cố định thuê tài chính,Finance leased assets,finance_leased_assets,0.0,0.0,0.0,0.0
Nguyên giá TSCĐ thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Hao mòn TSCĐ thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
Tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,897063000000.0,902148000000.0,463829000000.0,456457000000.0
Nguyên giá TSCĐ vô hình,Cost,cost,1692172000000.0,1669839000000.0,1203852000000.0,1198273000000.0
Hao mòn TSCĐ vô hình,Accumulated amortization,accumulated_amortization,-795109000000.0,-767691000000.0,-740023000000.0,-741816000000.0
Bất động sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0
Nguyên giá bất động sản đầu tư,Historical cost,historical_cost,0.0,0.0,0.0,0.0
Hao mòn bất động sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments,investment_in_other_entities_and_long_term_investments,13200000000.0,13200000000.0,0.0,0.0
Đầu tư vào công ty con,Investment in subsidiaries,investment_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào công ty liên doanh,Investment in associate companies,investment_in_associate_companies,0.0,0.0,0.0,0.0
Đầu tư dài hạn khác,Other Long-term investments,other_long_term_investments,13200000000.0,13200000000.0,0.0,0.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,0.0,0.0
TỔNG TÀI SẢN,TOTAL ASSETS,total_assets,547664403000000.0,527169377000000.0,505901570000000.0,451893195000000.0
TỔNG NỢ PHẢI TRẢ,TOTAL LIABILITIES,total_liabilities,498098578000000.0,479135059000000.0,459852809000000.0,411899955000000.0
VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,owners_equity,49565825000000.0,48034318000000.0,46048761000000.0,39993240000000.0
Vốn điều lệ,Charter capital,charter_capital,27740469000000.0,27740469000000.0,27740469000000.0,26419562000000.0
Thặng dư vốn cổ phần,Capital surplus,capital_surplus,0.0,0.0,0.0,0.0
Vốn khác,Owner's other capital,owners_other_capital,0.0,0.0,0.0,0.0
Cổ phiếu Quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Difference upon assets revaluation,difference_upon_assets_revaluation,0.0,0.0,0.0,0.0
Chênh lệch tỷ giá hối đoái,Foreign currency difference reserve,foreign_currency_difference_reserve,0.0,373117000000.0,0.0,252197000000.0
Lợi nhuận chưa phân phối,Retained Earnings,retained_earnings,11755939000000.0,11305830000000.0,9629495000000.0,8385337000000.0
Lợi ích của cổ đông thiểu số (trước 2015),Minority interest (Before 2015),minority_interest_before_2015,0.0,0.0,0.0,0.0
NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND SHAREHOLDER'S EQUITY,liabilities_and_shareholders_equity,547664403000000.0,527169377000000.0,505901570000000.0,451893195000000.0
Tiền gửi tại Ngân hàng nhà nước Việt Nam,Balances with the SBV,balances_with_the_sbv,13444607000000.0,10068279000000.0,20459657000000.0,20659033000000.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Placements with and loans to other credit institutions,placements_with_and_loans_to_other_credit_institutions,97759092000000.0,109316911000000.0,103388411000000.0,65344160000000.0
Chứng khoán kinh doanh,"Trading securities, net",trading_securities_net,4714695000000.0,1482130000000.0,2119466000000.0,57321000000.0
Chứng khoán kinh doanh,Trading securities,trading_securities,4945153000000.0,1670636000000.0,2119544000000.0,58183000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Less: Provision for diminution in value of trading securities,less_provision_for_diminution_in_value_of_trading_securities,-230458000000.0,-188506000000.0,-78000000.0,-862000000.0
Các công cụ tài chính phái sinh và các tài sản tài chính khác,Derivatives and other financial assets,derivatives_and_other_financial_assets,261305000000.0,171380000000.0,333702000000.0,112651000000.0
Cho vay khách hàng,"Loans and advances to customers, net",loans_and_advances_to_customers_net,333970520000000.0,312044784000000.0,302186389000000.0,292020111000000.0
Cho vay khách hàng,Loans and advances to customers,loans_and_advances_to_customers,338148180000000.0,316042203000000.0,305816635000000.0,296054927000000.0
Dự phòng rủi ro cho vay khách hàng,Less: Provision for losses on loans and advances to customers,less_provision_for_losses_on_loans_and_advances_to_customers,-4177660000000.0,-3997419000000.0,-3630246000000.0,-4034816000000.0
Chứng khoán đầu tư,Investment securities,investment_securities,59281266000000.0,57531215000000.0,51613170000000.0,57166207000000.0
Chứng khoán đầu tư sẵn sàng để bán,Available-for-sales securities,available_for_sales_securities,59588612000000.0,57897100000000.0,52051025000000.0,57216163000000.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Held-to-maturity securities,held_to_maturity_securities,0.0,0.0,0.0,44700000000.0
Dự phòng giảm giá chứng khoán đầu tư,Provision for diminution in value of investment securities,provision_for_diminution_in_value_of_investment_securities,-307346000000.0,-365885000000.0,-437855000000.0,-94656000000.0
Tài sản Có khác,Other assets,other_assets,33938582000000.0,31231723000000.0,21786430000000.0,13092245000000.0
Các khoản nợ chính phủ và NHNN Việt Nam,Due to Gov and Loans from SBV,due_to_gov_and_loans_from_sbv,148164000000.0,8569775000000.0,1641641000000.0,262539000000.0
Tiền gửi và vay các Tổ chức tín dụng khác,Deposits and Loans from other credit institutions,deposits_and_loans_from_other_credit_institutions,143343728000000.0,134159815000000.0,112055311000000.0,99689552000000.0
Tiền gửi của khách hàng,Deposits from customers,deposits_from_customers,288477683000000.0,267038156000000.0,279050251000000.0,260245786000000.0
Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Derivatives and other financial liabilities,derivatives_and_other_financial_liabilities,0.0,0.0,0.0,0.0
"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Funds received from Gov, international and other institutions",funds_received_from_gov_international_and_other_institutions,161475000000.0,150825000000.0,140504000000.0,126590000000.0
Phát hành giấy tờ có giá,Convertible bonds/CDs and other valuable papers issued,convertible_bonds_cds_and_other_valuable_papers_issued,54157381000000.0,59646208000000.0,58825000000000.0,44305800000000.0
Các khoản nợ khác,Other liabilities,other_liabilities,11810147000000.0,9570280000000.0,8140102000000.0,7269688000000.0
Vốn của tổ chức tín dụng,Capital,capital,27740469000000.0,27740469000000.0,27740469000000.0,26419562000000.0
Vốn đầu tư XDCB,Fund for basic construction,fund_for_basic_construction,0.0,0.0,0.0,0.0
Cổ phiếu ưu đãi,Preferred shares,preferred_shares,0.0,0.0,0.0,0.0
Quỹ của tổ chức tín dụng,Reserves,reserves,6317995000000.0,4936046000000.0,4936046000000.0,4936046000000.0
Bảo lãnh khác,Other guarantee,other_guarantee,84450309000000.0,80590430000000.0,76904679000000.0,65906585000000.0
Cam kết giao dịch hối đoái,Foreign exchange transactions commitments,foreign_exchange_transactions_commitments,8976931000000.0,3408655000000.0,3409781000000.0,1876618000000.0
Cam kết mua ngoại tệ,Foreign exchange buying commitments,foreign_exchange_buying_commitments,1819645000000.0,480185000000.0,806530000000.0,1231977000000.0
Cam kết bán ngoại tệ,Foreign exchange selling commitments,foreign_exchange_selling_commitments,1730363000000.0,496567000000.0,804868000000.0,779289000000.0
Cam kết giao dịch hoán đổi,Swap commitments,swap_commitments,91096277000000.0,86244435000000.0,65334616000000.0,60440752000000.0
Cam kết giao dịch tương lai,Future commitments,future_commitments,0.0,0.0,0.0,0.0
Cam kết cho vay không hủy ngang,Irrevocable loan commitments,irrevocable_loan_commitments,0.0,0.0,0.0,0.0
Cam kết trong nghiệp vụ L/C,Letters of credit commitments,letters_of_credit_commitments,21053641000000.0,16069401000000.0,11630343000000.0,8643664000000.0
Cam kết khác,Other commitments,other_commitments,22719533000000.0,13561121000000.0,14746481000000.0,17821871000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,3751422000000.0,3678856000000.0,3742751000000.0,98000000.0
Tiền gửi tại các TCTD khác,Balances with other credit institutions,balances_with_other_credit_institutions,82399456000000.0,97230990000000.0,94871352000000.0,64423385000000.0
Cho vay các TCTD khác,Loans to other credit institutions,loans_to_other_credit_institutions,15359636000000.0,12085921000000.0,8517059000000.0,920775000000.0
Dự phòng rủi ro,Allowance for balances with and loans to other credit institutions,allowance_for_balances_with_and_loans_to_other_credit_institutions,0.0,0.0,0.0,0.0
Hoạt động mua nợ,Debt Buying,debt_buying,935890000000.0,1089948000000.0,1096937000000.0,628010000000.0
Mua nợ,Debt Buying,debt_buying,942962000000.0,1098184000000.0,1105226000000.0,632756000000.0
Dự phòng rủi ro hoạt động mua nợ,Provision for losses on debt buying,provision_for_losses_on_debt_buying,-7072000000.0,-8236000000.0,-8289000000.0,-4746000000.0
