year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698110,RATIO_TTM,VCB,2018,3597768575,203633701345000.0,0.0,19.6078466127,3.6381047689,6.3556334519,2.2035510533,0.0,0.0,0.0,0.0,0.0,0.0,16.9058696061,0.1918870737,0.0109680561,0.0,0.0,0.0,0.600965422,0.0,0.4044820087,0.3241372508,0.0,0.0249839587,0.0525883055,-0.0290008166,0.544846387,-0.4098428365,0.0628963943,0.0317303401,0.0591510536,0.0970642797,0.0558476087,0.7901847954,0.013670115,-1.2136506867,0.0165907444,-0.011541515,0.0,0.0,0.0,0.0,0.0,0.0,-0.4098428365,0.0,,0.3128317251,213462253000000.0,1054743000000.0,14158815000000.0,730986638000000.0,
2018,2,2713515,RATIO_TTM,VCB,2018,3597768575,200755486485000.0,0.0,17.7725985697,3.4314412667,5.9044665042,-5.3776806739,0.0,0.0,0.0,0.0,0.0,0.0,15.6830859395,0.2026318919,0.0115398337,0.0,0.0,0.0,0.6038312426,0.0,0.4146712762,0.3322230299,0.0,0.0254148691,0.0530143221,-0.028984548,0.3331272048,-0.4173142797,0.0492337773,0.0458421964,0.0637629612,0.0966965195,0.0599409488,0.7927473003,0.011521883,-1.4059678631,0.0161993973,-0.0113673833,0.0,0.0,0.0,0.0,0.0,0.0,-0.4173142797,0.0,,0.2990165447,216686504000000.0,1290380000000.0,10620269000000.0,764496671000000.0,
2018,3,2715197,RATIO_TTM,VCB,2018,3708877448,204730035129600.0,0.0,16.456916004,3.0280784828,5.6669183733,-3.2213476669,0.0,0.0,0.0,0.0,0.0,0.0,15.1737096153,0.209957537,0.0120500618,0.0,0.0,0.0,0.6027523287,0.0,0.417580758,0.3345486956,0.0,0.0269998742,0.054467311,-0.0288744876,0.2618294361,-0.423340939,0.036132178,0.0116539775,0.0659034623,0.0979797959,0.0618287346,0.811928787,0.0118224525,-1.5546664921,0.0183799707,-0.0113623547,0.0,0.0,0.0,0.0,0.0,0.0,-0.423340939,0.0,,0.2972090711,216711978000000.0,1208801000000.0,11942529000000.0,773406098000000.0,
2018,4,2717076,RATIO_TTM,VCB,2018,3708877448,252203666464000.0,0.0,16.7503309215,4.0605712903,6.4209197568,-4.0616079961,0.0,0.0,0.0,0.0,0.0,0.0,16.2730345216,0.2545915437,0.0138486139,0.0,0.0,0.0,0.6534715629,0.0,0.46512105,0.3718472679,0.0,0.02782131,0.0547092392,-0.0280779063,0.3222184503,-0.3465284371,0.1627285432,0.1318374009,0.0614513537,0.0984058399,0.057893707,0.7879334298,0.0098485842,-1.6541090437,0.0162906323,-0.0125893054,0.0,0.0,0.0,0.0,0.0,0.0,-0.3465284371,0.0,,0.3030384332,226803857000000.0,1351961000000.0,14948566000000.0,802222944000000.0,
2018,5,12238154,RATIO_YEAR,VCB,2018,3708877448,252203666464000.0,0.0081218274,29.5428683626,5.7056509724,9.0222592918,-5.8833586414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2548788782,0.0138642435,0.0,0.0,0.0,0.6534715629,0.0,0.46512105,0.3722669384,0.0,0.02782131,0.0547092392,-0.0280779063,0.3222184503,-0.3465284371,0.1627285432,0.1318374009,0.0614513537,0.0984058399,0.057893707,0.7879334298,0.0098485842,-1.6541090437,0.0162906323,-0.0125893054,0.0,0.0,0.0,0.0,0.0,0.0,-0.3465284371,0.1214,,0.3031972944,226842211000000.0,1351961000000.0,14948566000000.0,801929115000000.0,12238154.0
2019,1,2723117,RATIO_TTM,VCB,2019,3708877448,293001318392000.0,0.0,18.0702118135,4.0181573597,7.1234900157,-3.7660270148,0.0,0.0,0.0,0.0,0.0,0.0,13.7048136506,0.2466029362,0.0153867213,0.0,0.0,0.0,0.661427416,0.0,0.4818331764,0.3852233322,0.0,0.0307589134,0.0593228195,-0.030213463,0.3800341626,-0.3725155481,0.0638431656,0.0449428918,0.0729670629,0.1084539628,0.068004942,0.8028630621,0.0103295619,-1.6917308926,0.0174748389,-0.0116346675,0.0,0.0,0.0,0.0,0.0,0.0,-0.3725155481,0.0,,0.2975583626,234500264000000.0,1329100000000.0,13607016000000.0,838277163000000.0,
2019,2,2725686,RATIO_TTM,VCB,2019,3708877448,312287481121600.0,0.0,17.7979433773,4.0917701354,7.2329341855,11.3749293174,0.0,0.0,0.0,0.0,0.0,0.0,13.6949445564,0.2515104159,0.0162089465,0.0,0.0,0.0,0.6727459873,0.0,0.4999672617,0.4002028731,0.0,0.0314245658,0.0604524266,-0.0307838287,0.2985475178,-0.3598408326,0.0333067309,0.0393095547,0.0730196457,0.1098549982,0.068050614,0.7982259014,0.0102576431,-1.7684109492,0.0181397283,-0.0113499161,0.0,0.0,0.0,0.0,0.0,0.0,-0.3598408326,0.0947,,0.3064804506,239568495000000.0,1459312000000.0,25986992000000.0,871229465000000.0,
2019,3,2731462,RATIO_TTM,VCB,2019,3708877448,346409153643200.0,0.0,17.7275203328,4.2602536103,7.5708258078,6.1263545707,0.0,0.0,0.0,0.0,0.0,0.0,13.2213698623,0.2632481774,0.0175244171,0.0,0.0,0.0,0.6868955943,0.0,0.5295338656,0.4238322599,0.0,0.0316059477,0.0611434687,-0.0314326929,0.3500923212,-0.3486957591,0.0182014937,0.0355302676,0.0756351279,0.114943315,0.0703167142,0.784868227,0.0107683756,-1.8521290962,0.0199444218,-0.0106308025,0.0,0.0,0.0,0.0,0.0,0.0,-0.3486957591,0.0,,0.3002871815,244610466000000.0,1715574000000.0,24588395000000.0,902184481000000.0,
2019,4,2733939,RATIO_TTM,VCB,2019,3708877448,266668288511200.0,0.0,14.4060155839,3.300369589,5.831315696,10.6344740649,0.0,0.0,0.0,0.0,0.0,0.0,14.1171337625,0.2587808264,0.0161192423,0.0,0.0,0.0,0.6541123285,0.0,0.5056239746,0.4047833758,0.0,0.0310301679,0.0607765773,-0.0314722439,0.3154647479,-0.3458876715,0.1627560426,0.1577717427,0.0708359088,0.1100887755,0.0661501059,0.7913255462,0.0078996578,-1.7947810562,0.0141781561,-0.0099378896,0.0,0.0,0.0,0.0,0.0,0.0,-0.3458876715,0.0,,0.3077324283,262939931000000.0,1743958000000.0,21019106000000.0,928413676000000.0,
2019,5,12245281,RATIO_YEAR,VCB,2019,3708877448,266668288511200.0,0.0081218274,22.7700180546,4.5213685717,7.9886590908,14.5687857496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2589917833,0.0161323827,0.0,0.0,0.0,0.6541123285,0.0,0.5056239746,0.4051133534,0.0,0.0310301679,0.0607765773,-0.0314722439,0.3154647479,-0.3458876715,0.1627560426,0.1577717427,0.0708359088,0.1100887755,0.0661501059,0.7913255462,0.0078996578,-1.7947810562,0.0141781561,-0.0099378896,0.0,0.0,0.0,0.0,0.0,0.0,-0.3458876715,0.0934,,0.30776016,262977124000000.0,1743958000000.0,21019106000000.0,928450869000000.0,12245281.0
