item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,net_profit_loss_before_tax,254499623147.0,451013695906.0,428321553094.0,3509556253380.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,depreciation_and_amortization,-389346934.0,86470875863.0,81398900958.0,142195470281.0
Chi phí dự phòng,Provisions,provisions,121695716252.0,12266857247.0,137365510860.0,603630815.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,206601057.0,-203959923.0,41302182.0,-836478652.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,profit_loss_from_liquidating_fixed_assets,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,profit_loss_from_investing_activities,-277472979252.0,-226452236951.0,-290928364000.0,-3184867067169.0
Chi phí lãi vay,Interest expense,interest_expense,108270162899.0,116297100848.0,95113518434.0,84997318483.0
Thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,operating_profit_loss_before_changes_in_working_capital,206809777169.0,439392332990.0,451312421528.0,551649127138.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,increase_decrease_in_receivables,168078409234.0,-842035045257.0,730287046799.0,150986745997.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,increase_decrease_in_inventories,309737791692.0,141193170661.0,-911432914282.0,1940517279290.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,increase_decrease_in_payables,-596305867343.0,677232159.0,871655431867.0,213437909795.0
(Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses,increase_decrease_in_prepaid_expenses,15205876834.0,10638880145.0,-39895504245.0,13297603009.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-140419557384.0,-87649996741.0,-93376791413.0,-121685900501.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate Income Tax paid,corporate_income_tax_paid,-20850279829.0,-918601713024.0,-24601513266.0,-13876973710.0
