year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698852,RATIO_TTM,VCSC,2018,161999890,8747994060000.0,0.0,9.7777600649,1.8043718369,4.7827715174,-7.5397194484,8.1011452837,0.199635394,2.1075517337,2.1075517337,0.0,0.4228784869,0.9981902934,0.3254670707,0.1517153452,0.0,0.0,3.6665979101,0.7460051776,0.6824474461,0.582524886,0.4732833095,0.3193788091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248239892495.0,1254219118788.0,0.2442762695,7.815771697,79.1150376116,0.9981902934,0.0,,,,,,,0.0,
2018,2,2713040,RATIO_TTM,VCSC,2018,162999890,9453993620000.0,0.0,10.2980714368,2.6290405656,4.7872201953,-5.6712150762,7.6544368029,0.2322498635,1.8864688642,1.8864688642,0.0,0.4058914341,1.2022358255,0.283338188,0.1356813583,0.0,0.0,3.6544992211,0.7316576102,0.6771448449,0.5690164599,0.4613192397,0.2941159757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337252681567.0,1349014777672.0,0.264510962,6.3012454818,81.3995693529,1.2022358255,0.0,,,,,,,0.0,
2018,3,2715800,RATIO_TTM,VCSC,2018,162999890,6422195666000.0,0.0177664975,7.3295724137,1.7011271639,3.2948445365,-6.7462062626,5.3436723979,0.2262787075,2.1326557157,2.1326557157,0.0,0.2455884472,0.9522752012,0.2493071313,0.1207509185,0.0,0.0,5.2634454622,0.7205674879,0.6682905463,0.551126666,0.4470878355,0.2700832117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302608545766.0,1314623079471.0,0.2770081826,8.5624449693,89.1482930251,0.9522752012,0.0,,,,,,,0.0,
2018,4,2717078,RATIO_TTM,VCSC,2018,162949876,5817310573200.0,0.0196078431,7.0738427966,1.5968559248,3.1937282782,16.0078046952,5.1069017801,0.5700963577,2.335545663,2.335545663,0.0,0.2703447764,0.7869985502,0.2469455361,0.1274196312,0.0,0.0,2.7237187275,0.7418701109,0.683812357,0.5552936014,0.4516227766,0.2821373008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245550187075.0,1257128146781.0,0.2691430123,8.609483163,83.6452604522,0.7869985502,0.0,,,,,,,0.0,
2018,5,12238158,RATIO_YEAR,VCSC,2018,162949876,5817310573200.0,0.0234899329,11.6397576167,2.6667177682,5.3334629721,12.3989871357,7.5290205322,0.5700963577,0.5811695056,2.335545663,0.0,0.2703447764,0.7869985502,0.2505478563,0.1292783661,0.0,0.0,2.7237187275,0.7418701109,0.6904004081,0.5618816525,0.4582108277,0.2821373008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257550187075.0,1269128146781.0,0.2717360159,8.609483163,83.6452604522,0.7869985502,0.0,,,,,,,0.0,12238158.0
2019,1,2722614,RATIO_TTM,VCSC,2019,162949876,5524000796400.0,0.0,7.9565357538,1.5276797721,3.4146554899,3.9218669139,4.7997476285,0.6190578847,3.0173890343,3.0173890343,0.0,0.0276553141,0.5220608317,0.1894366718,0.1015077467,0.0,0.0,7.234514796,0.7235659773,0.6587081903,0.5289290135,0.4282983832,0.2370024045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065613962648.0,1077147625104.0,0.2867682233,14.5188010897,87.4586847848,0.5220608317,0.0,,,,,,,0.0,
2019,2,2726214,RATIO_TTM,VCSC,2019,164349986,5670074517000.0,0.0,8.8739296904,1.6209512443,3.6199615189,10.1654913035,6.331168573,0.585148555,2.313898913,2.313898913,0.0,0.2936513274,0.7687732178,0.1745571885,0.0992013268,0.0,0.0,7.276034126,0.6828320041,0.6127630973,0.4984264844,0.4048772872,0.2450157862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959792640021.0,971493815564.0,0.2121003389,24.711479705,91.395318149,0.7687732178,0.0,,,,,,,0.0,
2019,3,2730562,RATIO_TTM,VCSC,2019,164349986,4733279596800.0,0.0,7.5305348786,1.2479648938,3.1023570162,3.4970606788,5.3077902412,0.6640458408,2.4158386399,2.4158386399,0.0,0.2763342032,0.7309190587,0.1715437977,0.1007803646,0.0,0.0,30.8337285941,0.6751037317,0.6044587932,0.5013644644,0.408977091,0.2464205619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922225410538.0,933985775173.0,0.1905078545,59.5624935837,98.4540385343,0.7309190587,0.0,,,,,,,0.0,
2019,4,2734918,RATIO_TTM,VCSC,2019,164283986,3006396943800.0,0.0,4.3401677696,0.742026015,1.9510094175,-8.8191722329,3.1581654088,0.5145243735,2.3220722587,2.3220722587,0.0,0.358124668,0.7876764166,0.1801736429,0.1008045935,0.0,0.0,4.8200249399,0.6998183491,0.6562083763,0.5548591731,0.449841408,0.2240891828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011180591563.0,1022909668033.0,0.1837646189,55.3220505379,109.5444833036,0.7876764166,0.0,,,,,,,0.0,
2019,5,12245283,RATIO_YEAR,VCSC,2019,164283986,3006396943800.0,0.0251677852,14.135191206,2.4183596236,6.3585943147,-28.7225500045,10.220558632,0.5145243735,0.6426937873,2.3220722587,0.0,0.358124668,0.7876764166,0.1801736429,0.1008045935,0.0,0.0,4.8200249399,0.6998183491,0.6562083763,0.5548591731,0.449841408,0.2240891828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011180591563.0,1022909668033.0,0.1837646189,55.3220505379,109.5444833036,0.7876764166,0.0,,,,,,,0.0,12245283.0
2020,1,2748920,RATIO_TTM,VCSC,2020,164283986,3803174275900.0,0.0,6.2260414059,1.0526556104,2.4486124993,-3.8643501298,5.3408583229,0.4705692697,1.9752633722,1.9752633722,0.0,0.546676331,0.9818833961,0.1629403853,0.0897358652,0.0,0.0,25.1599659076,0.6113478206,0.5707299084,0.4480547057,0.392227981,0.2287849658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886455209520.0,898394329434.0,0.1586344253,99.7548772646,127.0729684211,0.9818833961,0.0,,,,,,,0.0,
2020,2,2751437,RATIO_TTM,VCSC,2020,165600000,6624000000000.0,0.0,9.744624823,1.7751565182,4.2623317955,5.561051347,6.3000032986,0.8966383699,2.2133928535,2.2133928535,0.0,0.5126032435,0.8018963618,0.1776622201,0.0974456685,0.0,0.0,40.5011414381,0.7166583926,0.6701994223,0.5375830124,0.4340968334,0.2244791048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041542795394.0,1053795093892.0,0.1845306109,109.6229618404,129.5007591238,0.8018963618,0.0,,,,,,,0.0,
2020,3,2753904,RATIO_TTM,VCSC,2020,165600000,9853200000000.0,0.0168067227,15.7875418445,2.4632334555,6.6212026554,-14.8198868428,11.5957522915,0.3624631387,2.4508416014,2.4508416014,0.0,0.4618325235,0.6869466012,0.1609863552,0.0889169206,0.0,0.0,17.769448911,0.6966412498,0.6453211458,0.514840663,0.4163904522,0.2135421697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960320752021.0,972024848075.0,0.1642279116,82.5584358188,115.4312987957,0.6869466012,0.0,,,,,,,0.0,
