item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1834324781467.0,2270968079876.0,2278941912918.0,2628617223519.0,2280451551060.0,2560602353056.0,2550969979899.0,2746170761206.0,2383513200626.0,2416512873845.0,2297689202850.0,2336069304585.0,2360990578085.0,2946338803498.0,2210772803818.0,3709393327085.0,3835292934301.0,4270932892010.0,3213011366240.0,3290219669336.0,2777694839898.0,3931164139257.0,3473821914888.0,3023010678273.0,2664243613514.0,2718725661478.0,2900837088027.0,3767676276947.0,2881154268519.0,3242696021163.0,3336090653885.0,4054002218097.0,3329315065004.0,4566387751622.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-4692821479.0,3410351936.0,-8660837673.0,-18845634729.0,-11751242435.0,6459714004.0,-4691479042.0,-12627984962.0,-9715560782.0,5968099805.0,-6218158924.0,-10800148457.0,-2600302177.0,-3985049741.0,-3399677247.0,-16918873869.0,-2519813660.0,-2352006945.0,-1355273745.0,-9061849961.0,-2990434666.0,-3331619671.0,-2732435986.0,-2818653947.0,-25049561175.0,-7055962070.0,-66476824429.0,-46544350763.0,-26450738947.0,-13966997858.0,-82113054739.0,-76654554525.0,-55139090111.0,-103935940985.0
Doanh thu thuần,Net sales,net_sales,1829631959988.0,2274378431812.0,2270281075245.0,2609771588790.0,2268700308625.0,2567062067060.0,2546278500857.0,2733542776244.0,2373797639844.0,2422480973650.0,2291471043926.0,2325269156128.0,2358390275908.0,2942353753757.0,2207373126571.0,3692474453216.0,3832773120641.0,4268580885065.0,3211656092495.0,3281157819375.0,2774704405232.0,3927832519586.0,3471089478902.0,3020192024326.0,2639194052339.0,2711669699408.0,2834360263598.0,3721131926184.0,2854703529572.0,3228729023305.0,3253977599146.0,3977347663572.0,3274175974893.0,4462451810637.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1455351564982.0,-1711816620268.0,-1757467079569.0,-2047241294391.0,-1779823791666.0,-1948069587562.0,-1875560179104.0,-2089807160481.0,-1840278673247.0,-1826005420544.0,-1650489653278.0,-1776589687640.0,-1681319541899.0,-2189322937658.0,-1650950711833.0,-2800694744094.0,-2438359996056.0,-2956933650633.0,-2392278235860.0,-2567082933786.0,-2108784406550.0,-2708920541197.0,-2401891949513.0,-2455103716035.0,-1900942891714.0,-2057581666963.0,-1961826266314.0,-2468698444767.0,-2012987215715.0,-2077744406900.0,-2562328852850.0,-2662313685362.0,-2424703309327.0,-3075223897818.0
Lợi nhuận gộp,Gross Profit,gross_profit,374280395006.0,562561811544.0,512813995676.0,562530294399.0,488876516959.0,618992479498.0,670718321753.0,643735615763.0,533518966597.0,596475553106.0,640981390648.0,548679468488.0,677070734009.0,753030816099.0,556422414738.0,891779709122.0,1394413124585.0,1311647234432.0,819377856635.0,714074885589.0,665919998682.0,1218911978389.0,1069197529389.0,565088308291.0,738251160625.0,654088032445.0,872533997284.0,1252433481417.0,841716313857.0,1150984616405.0,691648746296.0,1315033978210.0,849472665566.0,1387227912819.0
Doanh thu hoạt động tài chính,Financial income,financial_income,22506226582.0,40749115111.0,30629414427.0,45393600271.0,12113566081.0,28399704542.0,34009370608.0,24782433963.0,14669032236.0,59424968185.0,11278278756.0,11890432869.0,4894616550.0,7437876822.0,6664296053.0,157516933257.0,17377621560.0,22093038583.0,20232510498.0,23649173202.0,13140242845.0,22385908419.0,19487362435.0,5822062230.0,22714103369.0,17338921240.0,11601212053.0,24149695679.0,23766569144.0,53633547019.0,26660400554.0,38719739291.0,44059181288.0,86077748973.0
Chi phí tài chính,Financial expenses,financial_expenses,-56911002180.0,-49737348304.0,-60080519958.0,-41385108638.0,-53928532140.0,-54408842643.0,-57510905746.0,-47383952428.0,-46891196521.0,-63913189044.0,-48107010905.0,-42208610449.0,-46321382522.0,-41486671993.0,-34086714228.0,-83854167997.0,-93795461646.0,-69177652616.0,-73079649034.0,-89243050587.0,-100563471677.0,-92794995504.0,-98723317250.0,-89113168809.0,-85570416903.0,-70573523097.0,-75454090991.0,-78765874676.0,-88238633610.0,-71758280514.0,-71351879471.0,-84616812365.0,-88387522607.0,-66526100545.0
Chi phí lãi vay,Interest expenses,interest_expenses,-42927397762.0,-46140541072.0,-48767989363.0,-39931123918.0,-3766170951.0,-77120603763.0,-46905662322.0,-42733765031.0,-44717536479.0,-40360388665.0,-40364100269.0,-37597943906.0,-33666391865.0,-35921922172.0,-32886836394.0,-58323718707.0,-56699056403.0,-59552034869.0,-66348006474.0,-72158312345.0,-82788477726.0,-88112679422.0,-92509265463.0,-85046957506.0,-71050117859.0,-62292192395.0,-67668644131.0,-67885853314.0,-65268991504.0,-65052196774.0,-63853922895.0,-61697513419.0,-65063671607.0,-63399735316.0
Chi phí bán hàng,Selling expenses,selling_expenses,-104075995080.0,-132339921430.0,-162798649179.0,-235538306084.0,-123032440715.0,-154093258314.0,-213600354075.0,-270759834551.0,-158017075868.0,-205816237876.0,-204350472936.0,-191458859720.0,-149497791001.0,-169645497925.0,-139040108594.0,-218995047888.0,-197809170597.0,-239981773838.0,-253455313274.0,-245088178341.0,-161166741049.0,-225966313671.0,-215001641803.0,-210242488058.0,-158084539484.0,-191758965470.0,-214872231848.0,-297122606108.0,-173427385675.0,-241794676981.0,-247620880700.0,-257264523042.0,-199571017417.0,-203715376439.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-104032819651.0,-117477159124.0,-105268086621.0,-144437401074.0,-100159676148.0,-149712372069.0,-161722890913.0,-153933824637.0,-117996697653.0,-152146307086.0,-132564484973.0,-194022486782.0,-151456442522.0,-140954366365.0,-162789326013.0,-285881362410.0,-262646691878.0,-203430061079.0,-242604689369.0,-184891634297.0,-181535317177.0,-122295556770.0,-185580809106.0,-266631428081.0,-141357562359.0,-168457631026.0,-215663185014.0,-219014965909.0,-183051638050.0,-186808158003.0,-218417133821.0,-197003670544.0,-192733746922.0,-201434292631.0
