item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
"Tiền mặt, vàng bạc, đá quý",Cash and precious metals,cash_and_precious_metals,2382079000000.0,1876239000000.0,3552574000000.0,1934668000000.0
Tài sản cố định,Fixed assets,fixed_assets,1047993000000.0,947559000000.0,846859000000.0,835793000000.0
Tài sản cố định hữu hình,Tangible fixed assets,tangible_fixed_assets,585767000000.0,586652000000.0,548915000000.0,540076000000.0
Nguyên giá TSCĐ hữu hình,Cost,cost,1341503000000.0,1321956000000.0,1260794000000.0,1349728000000.0
Hao mòn TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-755736000000.0,-735304000000.0,-711879000000.0,-809652000000.0
Tài sản cố định thuê tài chính,Finance leased assets,finance_leased_assets,0.0,0.0,0.0,0.0
Nguyên giá TSCĐ thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Hao mòn TSCĐ thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
Tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,462226000000.0,360907000000.0,297944000000.0,295717000000.0
Nguyên giá TSCĐ vô hình,Cost,cost,1049663000000.0,927164000000.0,843503000000.0,823239000000.0
Hao mòn TSCĐ vô hình,Accumulated amortization,accumulated_amortization,-587437000000.0,-566257000000.0,-545559000000.0,-527522000000.0
Bất động sản đầu tư,Investment properties,investment_properties,2149000000.0,2184000000.0,2219000000.0,2254000000.0
Nguyên giá bất động sản đầu tư,Historical cost,historical_cost,3542000000.0,3542000000.0,3542000000.0,3542000000.0
Hao mòn bất động sản đầu tư,Accumulated depreciation,accumulated_depreciation,-1393000000.0,-1358000000.0,-1323000000.0,-1288000000.0
"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments,investment_in_other_entities_and_long_term_investments,69457000000.0,69457000000.0,69457000000.0,69457000000.0
Đầu tư vào công ty con,Investment in subsidiaries,investment_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào công ty liên doanh,Investment in associate companies,investment_in_associate_companies,0.0,0.0,0.0,0.0
Đầu tư dài hạn khác,Other Long-term investments,other_long_term_investments,69667000000.0,69667000000.0,69667000000.0,69667000000.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,-210000000.0,-210000000.0,-210000000.0,-210000000.0
TỔNG TÀI SẢN,TOTAL ASSETS,total_assets,580998048000000.0,564145938000000.0,556098441000000.0,543559670000000.0
TỔNG NỢ PHẢI TRẢ,TOTAL LIABILITIES,total_liabilities,533160214000000.0,515001867000000.0,509193702000000.0,498299905000000.0
VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,owners_equity,47837834000000.0,49144071000000.0,46904739000000.0,45259765000000.0
Vốn điều lệ,Charter capital,charter_capital,34040057000000.0,34040057000000.0,34040057000000.0,34040057000000.0
Thặng dư vốn cổ phần,Capital surplus,capital_surplus,1946000000.0,1946000000.0,1946000000.0,1946000000.0
Vốn khác,Owner's other capital,owners_other_capital,0.0,0.0,0.0,0.0
Cổ phiếu Quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Difference upon assets revaluation,difference_upon_assets_revaluation,0.0,0.0,0.0,0.0
Chênh lệch tỷ giá hối đoái,Foreign currency difference reserve,foreign_currency_difference_reserve,85000000.0,-1859000000.0,0.0,-2608000000.0
Lợi nhuận chưa phân phối,Retained Earnings,retained_earnings,6980599000000.0,9757206000000.0,7516015000000.0,5873649000000.0
Lợi ích của cổ đông thiểu số (trước 2015),Minority interest (Before 2015),minority_interest_before_2015,0.0,0.0,0.0,0.0
NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND SHAREHOLDER'S EQUITY,liabilities_and_shareholders_equity,580998048000000.0,564145938000000.0,556098441000000.0,543559670000000.0
Tiền gửi tại Ngân hàng nhà nước Việt Nam,Balances with the SBV,balances_with_the_sbv,5125275000000.0,4313061000000.0,8998068000000.0,7924709000000.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Placements with and loans to other credit institutions,placements_with_and_loans_to_other_credit_institutions,118506345000000.0,114132177000000.0,104411120000000.0,104756557000000.0
Chứng khoán kinh doanh,"Trading securities, net",trading_securities_net,0.0,0.0,0.0,0.0
Chứng khoán kinh doanh,Trading securities,trading_securities,0.0,0.0,0.0,0.0
Dự phòng giảm giá chứng khoán kinh doanh,Less: Provision for diminution in value of trading securities,less_provision_for_diminution_in_value_of_trading_securities,0.0,0.0,0.0,0.0
Các công cụ tài chính phái sinh và các tài sản tài chính khác,Derivatives and other financial assets,derivatives_and_other_financial_assets,0.0,0.0,0.0,0.0
Cho vay khách hàng,"Loans and advances to customers, net",loans_and_advances_to_customers_net,392020433000000.0,381361994000000.0,377113195000000.0,367863425000000.0
Cho vay khách hàng,Loans and advances to customers,loans_and_advances_to_customers,397083447000000.0,386257317000000.0,381972016000000.0,372736056000000.0
Dự phòng rủi ro cho vay khách hàng,Less: Provision for losses on loans and advances to customers,less_provision_for_losses_on_loans_and_advances_to_customers,-5063014000000.0,-4895323000000.0,-4858821000000.0,-4872631000000.0
Chứng khoán đầu tư,Investment securities,investment_securities,49276373000000.0,49089083000000.0,51149531000000.0,53170066000000.0
Chứng khoán đầu tư sẵn sàng để bán,Available-for-sales securities,available_for_sales_securities,49276373000000.0,49089083000000.0,51149531000000.0,53171566000000.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Held-to-maturity securities,held_to_maturity_securities,0.0,0.0,0.0,42380000000.0
Dự phòng giảm giá chứng khoán đầu tư,Provision for diminution in value of investment securities,provision_for_diminution_in_value_of_investment_securities,0.0,0.0,0.0,-43880000000.0
Tài sản Có khác,Other assets,other_assets,12564438000000.0,12350162000000.0,9951086000000.0,6996200000000.0
Các khoản nợ chính phủ và NHNN Việt Nam,Due to Gov and Loans from SBV,due_to_gov_and_loans_from_sbv,24335557000000.0,13859761000000.0,10980813000000.0,13178619000000.0
Tiền gửi và vay các Tổ chức tín dụng khác,Deposits and Loans from other credit institutions,deposits_and_loans_from_other_credit_institutions,142929085000000.0,141546471000000.0,157508961000000.0,138500856000000.0
Tiền gửi của khách hàng,Deposits from customers,deposits_from_customers,317451548000000.0,316373838000000.0,294577661000000.0,307929159000000.0
Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Derivatives and other financial liabilities,derivatives_and_other_financial_liabilities,167656000000.0,247581000000.0,105602000000.0,364228000000.0
"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Funds received from Gov, international and other institutions",funds_received_from_gov_international_and_other_institutions,2722000000.0,2997000000.0,3306000000.0,3386000000.0
Phát hành giấy tờ có giá,Convertible bonds/CDs and other valuable papers issued,convertible_bonds_cds_and_other_valuable_papers_issued,37970700000000.0,34770700000000.0,35070700000000.0,27145000000000.0
Các khoản nợ khác,Other liabilities,other_liabilities,10302946000000.0,8200519000000.0,10946659000000.0,11178657000000.0
Vốn của tổ chức tín dụng,Capital,capital,34042003000000.0,34042003000000.0,34042003000000.0,34042003000000.0
Vốn đầu tư XDCB,Fund for basic construction,fund_for_basic_construction,0.0,0.0,0.0,0.0
Cổ phiếu ưu đãi,Preferred shares,preferred_shares,0.0,0.0,0.0,0.0
Quỹ của tổ chức tín dụng,Reserves,reserves,6815147000000.0,5346721000000.0,5346721000000.0,5346721000000.0
Bảo lãnh khác,Other guarantee,other_guarantee,15873012000000.0,14998268000000.0,13836912000000.0,11454662000000.0
Cam kết giao dịch hối đoái,Foreign exchange transactions commitments,foreign_exchange_transactions_commitments,0.0,0.0,0.0,0.0
Cam kết mua ngoại tệ,Foreign exchange buying commitments,foreign_exchange_buying_commitments,14475337000000.0,15264177000000.0,8575398000000.0,7295648000000.0
Cam kết bán ngoại tệ,Foreign exchange selling commitments,foreign_exchange_selling_commitments,13572833000000.0,16150569000000.0,4764085000000.0,6697987000000.0
Cam kết giao dịch hoán đổi,Swap commitments,swap_commitments,354270136000000.0,454048021000000.0,378632429000000.0,270163022000000.0
Cam kết giao dịch tương lai,Future commitments,future_commitments,0.0,0.0,0.0,0.0
Cam kết cho vay không hủy ngang,Irrevocable loan commitments,irrevocable_loan_commitments,0.0,0.0,0.0,0.0
Cam kết trong nghiệp vụ L/C,Letters of credit commitments,letters_of_credit_commitments,3828527000000.0,3103232000000.0,3582917000000.0,3404940000000.0
Cam kết khác,Other commitments,other_commitments,84036464000000.0,72494553000000.0,73546010000000.0,68375518000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,0.0,0.0,0.0,0.0
Tiền gửi tại các TCTD khác,Balances with other credit institutions,balances_with_other_credit_institutions,61739104000000.0,65958516000000.0,59469540000000.0,39839542000000.0
Cho vay các TCTD khác,Loans to other credit institutions,loans_to_other_credit_institutions,56767241000000.0,48173661000000.0,44941580000000.0,64917015000000.0
Dự phòng rủi ro,Allowance for balances with and loans to other credit institutions,allowance_for_balances_with_and_loans_to_other_credit_institutions,0.0,0.0,0.0,0.0
Hoạt động mua nợ,Debt Buying,debt_buying,3506000000.0,4022000000.0,4332000000.0,6541000000.0
Mua nợ,Debt Buying,debt_buying,3533000000.0,4053000000.0,4366000000.0,6591000000.0
Dự phòng rủi ro hoạt động mua nợ,Provision for losses on debt buying,provision_for_losses_on_debt_buying,-27000000.0,-31000000.0,-34000000.0,-50000000.0
Các khoản phải thu,Other receivables,other_receivables,5045223000000.0,5878657000000.0,4017129000000.0,2379200000000.0
Các khoản lãi và phí phải thu,Accrued interest and fee receivables,accrued_interest_and_fee_receivables,4695670000000.0,4260811000000.0,3902271000000.0,2869401000000.0
Tài sản thuế TNDN hoãn lại,Deferred tax assets,deferred_tax_assets,965000000.0,965000000.0,965000000.0,1002000000.0
Tài sản Có khác,Other assets,other_assets,2822580000000.0,2209729000000.0,2030721000000.0,1746597000000.0
Trong đó: Lợi thế thương mại,In which: Goodwill,in_which_goodwill,0.0,0.0,0.0,0.0
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Provision for other assets,provision_for_other_assets,0.0,0.0,0.0,0.0
Tiền gửi của các tổ chức tín dụng khác,Deposits and Loans from other credit institutions,deposits_and_loans_from_other_credit_institutions,104084330000000.0,105880121000000.0,117968284000000.0,97026697000000.0
Vay các tổ chức tín dụng khác,Loans from other credit institutions,loans_from_other_credit_institutions,38844755000000.0,35666350000000.0,39540677000000.0,41474159000000.0
"Các khoản lãi, phí phải trả",Accrued interest and fee payables,accrued_interest_and_fee_payables,6886558000000.0,5465293000000.0,4298773000000.0,4542601000000.0
Thuế TNDN hoãn lại phải trả,Deferred tax liabilities,deferred_tax_liabilities,0.0,0.0,0.0,0.0
Các khoản phải trả và công nợ khác,Other liabilities,other_liabilities,3416388000000.0,2735226000000.0,6647886000000.0,6636056000000.0
Dự phòng rủi ro khác,Allowance for other liabilities,allowance_for_other_liabilities,0.0,0.0,0.0,0.0
Vốn Góp liên doanh,Investments in joint-venture,investments_in_joint_venture,0.0,0.0,0.0,0.0
Đầu tư vào công ty liên kết,Investments in associates,investments_in_associates,0.0,0.0,0.0,0.0
