item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,518110000000.0,632399000000.0,569977000000.0,1021068000000.0,809862000000.0,1010386000000.0,1095019000000.0,1166260000000.0,1075311000000.0,1281156000000.0,1668118000000.0,1776270000000.0,1806902000000.0,2147185000000.0,1384669000000.0,2672258000000.0,2278915000000.0,2744047000000.0,2791123000000.0,2767034000000.0,2693900000000.0,2948005000000.0,2682793000000.0,2378457000000.0,2501930000000.0,2103115000000.0,1998147000000.0,2401110000000.0,2420788000000.0,2595566000000.0,2029984000000.0,2058278000000.0,2802668000000.0,2383040000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-103622000000.0,-126373000000.0,-113995000000.0,-204266000000.0,-162077000000.0,-202016000000.0,-218991000000.0,-232886000000.0,-215062000000.0,-256233000000.0,-333234000000.0,-355551000000.0,-360690000000.0,-429402000000.0,-276616000000.0,-534554000000.0,-455779000000.0,-548739000000.0,-557716000000.0,-550115000000.0,-538789000000.0,-589605000000.0,-535890000000.0,-476451000000.0,-500787000000.0,-420153000000.0,-398974000000.0,-480920000000.0,-484324000000.0,-519097000000.0,-405471000000.0,-410257000000.0,-561477000000.0,-477616000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,51000000.0,0.0,0.0,0.0,35000000.0,0.0,0.0,0.0,-162000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002000000.0,0.0,0.0,0.0,-37000000.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-103622000000.0,-126373000000.0,-113995000000.0,-204215000000.0,-162077000000.0,-202016000000.0,-218991000000.0,-232851000000.0,-215062000000.0,-256233000000.0,-333234000000.0,-355713000000.0,-360690000000.0,-429402000000.0,-276616000000.0,-534554000000.0,-455779000000.0,-548739000000.0,-557716000000.0,-550115000000.0,-538789000000.0,-589605000000.0,-535890000000.0,-476451000000.0,-500787000000.0,-420153000000.0,-398974000000.0,-479918000000.0,-484324000000.0,-519097000000.0,-405471000000.0,-410294000000.0,-561477000000.0,-477616000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,414488000000.0,506026000000.0,455982000000.0,816853000000.0,647785000000.0,808370000000.0,876028000000.0,933409000000.0,860249000000.0,1024923000000.0,1334884000000.0,1420557000000.0,1446212000000.0,1717783000000.0,1108053000000.0,2137704000000.0,1823136000000.0,2195308000000.0,2233407000000.0,2216919000000.0,2155111000000.0,2358400000000.0,2146903000000.0,1902006000000.0,2001143000000.0,1682962000000.0,1599173000000.0,1921192000000.0,1936464000000.0,2076469000000.0,1624513000000.0,1647984000000.0,2241191000000.0,1905424000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,414488000000.0,506026000000.0,455982000000.0,816853000000.0,647785000000.0,808370000000.0,876028000000.0,933409000000.0,860249000000.0,1024923000000.0,1334884000000.0,1420557000000.0,1446212000000.0,1717783000000.0,1108053000000.0,2137704000000.0,1823136000000.0,2195308000000.0,2233407000000.0,2216919000000.0,2155111000000.0,2358400000000.0,2146903000000.0,1902006000000.0,2001143000000.0,1682962000000.0,1599173000000.0,1921192000000.0,1936464000000.0,2076469000000.0,1624513000000.0,1647984000000.0,2241191000000.0,1905424000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,0.0,0.0,773.0,1072.0,1034.0,0.0,931.0,1002.0,0.0,0.0,1220.0,757.0,714.0,1376.0,1109.0,1042.0,1099.0,0.0,970.0,930.0,721.0,750.0,621.0,565.0,322.0,877.0,650.0,697.0,309.0,484.0,658.0,560.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,2279423000000.0,2451177000000.0,2615441000000.0,2743248000000.0,2999549000000.0,3274806000000.0,3684902000000.0,3899057000000.0,4096663000000.0,4135049000000.0,4406027000000.0,4799367000000.0,4990211000000.0,5261388000000.0,5049258000000.0,5674154000000.0,6052866000000.0,6568790000000.0,7107264000000.0,7780419000000.0,9088709000000.0,9396200000000.0,9043221000000.0,8391430000000.0,7987745000000.0,8042549000000.0,8144422000000.0,8268222000000.0,8394558000000.0,8700028000000.0,9286721000000.0,9942702000000.0,10384874000000.0,11598484000000.0
