date,raw_signal,executed_position,asset_return,executed_shares,liquidity_cap_shares,capital_utilization,turnover,transaction_cost,gross_strategy_return,net_strategy_return,transaction_cost_value,gross_pnl,net_pnl,equity_curve,drawdown
2023-08-11,0,0.0,-0.021361815754339264,0,77300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-14,0,0.0,-0.03150684931506842,0,81300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-15,0,0.0,0.0,0,87700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-08-16,0,0.0,-0.04894179894179884,0,96500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-17,0,0.0,-0.0318379160636757,0,106700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-18,0,0.0,-0.00303030303030305,0,118800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-21,0,0.0,-0.03731343283582089,0,128700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-22,0,0.0,-0.05797101449275366,0,133400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-23,0,0.0,-0.022831050228310557,0,141500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-24,0,0.0,-0.026073619631901912,0,147800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-25,0,0.0,-0.004615384615384577,0,155000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-28,0,0.0,-0.03500761035007616,0,158100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-29,0,0.0,-0.015873015873015928,0,162300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-30,0,0.0,-0.006399999999999961,0,168400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-31,0,0.0,-0.0032000000000000917,0,172100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-05,0,0.0,-0.012820512820512775,0,168000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-06,0,0.0,-0.01935483870967747,0,173700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-07,0,0.0,-0.023140495867768562,0,176200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-08,0,0.0,-0.016638935108153063,0,185500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-11,0,0.0,0.008361204013378032,0,189700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-12,0,0.0,-0.02631578947368407,0,185700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-13,0,0.0,-0.06091370558375642,0,187500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-14,0,0.0,-0.042857142857142816,0,193500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-15,0,0.0,-0.011194029850746245,0,193300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-18,0,0.0,-0.03364485981308407,0,187900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-19,0,0.0,0.028846153846153744,0,181000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-20,0,0.0,-0.029739776951672736,0,175700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-21,0,0.0,-0.029126213592232997,0,173400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-22,0,0.0,-0.07185628742514971,0,172000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-25,1,1.0,-0.021739130434782594,4300,172100,0.989,1.9565,0.0048805,-0.021499999999999984,-0.026380499999999987,488050.0,-2149999.9999999986,-2638049.9999999986,0.9736195,-0.02638050000000003
2023-09-26,1,1.0,0.013452914798206317,4300,170700,0.984881670919697,1.9830128710445918,0.004964156942214078,0.013249529205197756,0.008285372262983677,483320.0,1290000.0000000037,806680.0000000037,0.9816863,-0.01831369999999999
2023-09-27,1,1.0,-0.004424778761062065,4300,166800,0.9899292676285694,1.9754783172587822,0.0049365056841477765,-0.004380217998356618,-0.009316723682504394,484609.99999999994,-430000.00000001147,-914610.0000000114,0.9725402,-0.027459800000000034
2023-09-28,1,1.0,0.036283185840708,4200,159900,0.9760007863942284,1.9874139907018757,0.004986241185711398,0.03541241791341894,0.03042617672770754,484932.0,3444000.0000000033,2959068.0000000033,1.0021308800000002,0.0
2023-09-29,1,1.0,-0.0021276595744681437,4200,154400,0.9849012935316395,1.9677070523961904,0.004918219863656931,-0.0020955346670886526,-0.007013754530745584,492870.0,-210000.0000000058,-702870.0000000058,0.9951021800000001,-0.007013754530745597
2023-10-02,1,1.0,-0.030501089324618702,4300,149500,0.9917072033748334,1.9531662567556634,0.004867791566892156,-0.030248149994003604,-0.03511594156089576,484395.0,-3009999.9999999967,-3494394.9999999967,0.9601582300000001,-0.041883401497417205
2023-10-03,1,1.0,0.035955056179775235,4300,149400,0.9964503454810778,2.0287281191142843,0.005089734011861775,0.035827428152128596,0.030737694140266822,488695.0,3439999.999999996,2951304.999999996,0.98967128,-0.012433106541932082
2023-10-04,1,1.0,-0.012987012987012991,4200,143000,0.9803255076776606,1.9479195152556112,0.004863433038089173,-0.012731500099709882,-0.017594933137799054,481320.0,-1260000.0000000005,-1741320.0000000005,0.97225808,-0.029809280001430682
2023-10-05,1,1.0,0.0013071895424836555,4200,137600,0.9914034347752606,1.9841028217528418,0.004960905030483265,0.0012959522023205975,-0.0036649528281626678,482328.0,125999.99999999955,-356328.00000000047,0.9686948,-0.03336498322454662
