item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,28452382009388.0,32250728350440.0,23460387988882.0,37808253000000.0,21914710588602.0,39241957407663.0,31581789394113.0,38464244000000.0,15470516000000.0,23352469000000.0,35989817000000.0,35923421000000.0,23305458000000.0,37480741000000.0,30116315000000.0,34478172000000.0,18239222000000.0,13384639000000.0,28791594000000.0,41172043000000.0,38974698000000.0,47284619000000.0,47955856000000.0,27451788000000.0,21739452000000.0,42332284000000.0,62862398000000.0,62156465000000.0,83821339000000.0,46435488000000.0,39143023000000.0,162238595000000.0,104371179000000.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1538163355.0,-9724997793.0,-4080336643.0,-62007000000.0,-92030956552.0,-21503540891.0,-10871219860.0,-288536000000.0,-102030000000.0,6304000000.0,-76099000000.0,-102026000000.0,-11037000000.0,-38303000000.0,-4736000000.0,-20346000000.0,-10312000000.0,-292000000.0,-49238000000.0,-4189000000.0,-11323000000.0,10608000000.0,-7950000000.0,-24016000000.0,-950000000.0,-5170000000.0,-12381000000.0,-4058000000.0,-4249000000.0,-12999000000.0,-7920000000.0,-11975000000.0,-19161000000.0
Doanh thu thuần,Net sales,net_sales,28450843846033.0,32241003352647.0,23456307652239.0,37746246000000.0,21822679632050.0,39220453866772.0,31570918174253.0,38175708000000.0,15368486000000.0,23358773000000.0,35913718000000.0,35821395000000.0,23294421000000.0,37442438000000.0,30111579000000.0,34457826000000.0,18228910000000.0,13384347000000.0,28742356000000.0,41167854000000.0,38963375000000.0,47295227000000.0,47947906000000.0,27427772000000.0,21738502000000.0,42327114000000.0,62850017000000.0,62152407000000.0,83817090000000.0,46422489000000.0,39135103000000.0,162226620000000.0,104352018000000.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-21664492289743.0,-24148034714063.0,-16901955391836.0,-30048278000000.0,-17043520693937.0,-26443132177439.0,-20290596055885.0,-29315897000000.0,-13382536000000.0,-19944575000000.0,-29612674000000.0,-30241372000000.0,-20008967000000.0,-26986417000000.0,-18413296000000.0,-26217840000000.0,-18023838000000.0,-18103498000000.0,-22984053000000.0,-28363383000000.0,-34528471000000.0,-36644667000000.0,-36208361000000.0,-30246755000000.0,-23693642000000.0,-35190202000000.0,-49776513000000.0,-52964454000000.0,-64568268000000.0,-43007211000000.0,-46425078000000.0,-124874331000000.0,-78414392000000.0
Lợi nhuận gộp,Gross Profit,gross_profit,6786351556290.0,8092968638584.0,6554352260403.0,7697968000000.0,4779158938113.0,12777321689333.0,11280322118368.0,8859811000000.0,1985950000000.0,3414198000000.0,6301044000000.0,5580023000000.0,3285454000000.0,10456021000000.0,11698283000000.0,8239986000000.0,205072000000.0,-4719151000000.0,5758303000000.0,12804471000000.0,4434904000000.0,10650560000000.0,11739545000000.0,-2818983000000.0,-1955140000000.0,7136912000000.0,13073504000000.0,9187953000000.0,19248822000000.0,3415278000000.0,-7289975000000.0,37352289000000.0,25937626000000.0
Doanh thu hoạt động tài chính,Financial income,financial_income,533313182083.0,637112275325.0,2427767463047.0,3880357000000.0,3439230133986.0,887264230744.0,1013408932129.0,8611984000000.0,8934083000000.0,6744100000000.0,4693043000000.0,11780480000000.0,7128520000000.0,3917045000000.0,1536362000000.0,3212402000000.0,10737739000000.0,10352827000000.0,9998675000000.0,2529341000000.0,10066516000000.0,4189228000000.0,1311631000000.0,5630560000000.0,18940713000000.0,10300290000000.0,8572435000000.0,10112054000000.0,3881715000000.0,2506905000000.0,33505199000000.0,10569431000000.0,2237600000000.0
Chi phí tài chính,Financial expenses,financial_expenses,-1051930736246.0,-1511720720115.0,-1305351136316.0,-789893000000.0,-1453292111984.0,-2092659301749.0,-2495665239699.0,-2091552000000.0,-3605637000000.0,-2596569000000.0,-3100654000000.0,-3519563000000.0,-2769540000000.0,-2925425000000.0,-2814957000000.0,-2788287000000.0,-2787411000000.0,-4163347000000.0,-5064995000000.0,-2269396000000.0,-3794874000000.0,-4472301000000.0,-8209852000000.0,-6040548000000.0,-7276953000000.0,-8613126000000.0,-7603299000000.0,-7714717000000.0,-7903431000000.0,-11617305000000.0,-11787443000000.0,-15984778000000.0,-12068007000000.0
Chi phí lãi vay,Interest expenses,interest_expenses,-994221722021.0,-1043553207438.0,-1054699289624.0,-846808000000.0,-1400152788234.0,-1437136788243.0,-2215048140070.0,-2087958000000.0,-2617903000000.0,-3073404000000.0,-3003737000000.0,-2725497000000.0,-2705898000000.0,-2623808000000.0,-2686664000000.0,-2560860000000.0,-1372279000000.0,-3689078000000.0,-3036936000000.0,-2953960000000.0,-3331489000000.0,-3194591000000.0,-5504380000000.0,-5379584000000.0,-4829728000000.0,-5622417000000.0,-5608268000000.0,-6919631000000.0,-6102357000000.0,-7614201000000.0,-9027158000000.0,-6416020000000.0,-7522882000000.0
Chi phí bán hàng,Selling expenses,selling_expenses,-2213655608065.0,-2062568210923.0,-2534130251858.0,-3301935000000.0,-2599121115786.0,-3105334079466.0,-3995585914453.0,-4701774000000.0,-1368152000000.0,-1438472000000.0,-2025864000000.0,-3465357000000.0,-1693896000000.0,-2057833000000.0,-1280340000000.0,-2019498000000.0,-1734578000000.0,-1912816000000.0,-1914861000000.0,-3683344000000.0,-2581036000000.0,-3120746000000.0,-3225379000000.0,-3116062000000.0,-3320582000000.0,-3637934000000.0,-5158086000000.0,-5937317000000.0,-4724049000000.0,-5435610000000.0,-5780237000000.0,-15164880000000.0,-7215472000000.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-1385429722158.0,-1511438013411.0,-2496421270815.0,-2001359000000.0,-2209635800173.0,-3336122775652.0,-2832418678163.0,-4232800000000.0,-2512722000000.0,-2319240000000.0,-2309420000000.0,-6312236000000.0,-3135593000000.0,-5756755000000.0,-5769054000000.0,-9515758000000.0,-4589518000000.0,-2832070000000.0,-3756101000000.0,-5170071000000.0,-3213035000000.0,-3051254000000.0,-3778148000000.0,-5046501000000.0,-3436064000000.0,-3447487000000.0,-3511074000000.0,-4861211000000.0,-4546585000000.0,-3118332000000.0,-4036012000000.0,-5268157000000.0,-4178386000000.0
