item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,net_profit_loss_before_tax,22168856000000.0,11536718000000.0,11254075000000.0,4024377000000.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,depreciation_and_amortization,8873348000000.0,7913123000000.0,9663294000000.0,9008611000000.0
Chi phí dự phòng,Provisions,provisions,296560000000.0,4477515000000.0,9161600000000.0,787212000000.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,134261000000.0,165105000000.0,-1140708000000.0,877376000000.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,profit_loss_from_liquidating_fixed_assets,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,profit_loss_from_investing_activities,-21377138000000.0,-3694095000000.0,-7964745000000.0,-34836687000000.0
Chi phí lãi vay,Interest expense,interest_expense,9109371000000.0,7522882000000.0,6416020000000.0,9027158000000.0
Thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,operating_profit_loss_before_changes_in_working_capital,19205258000000.0,27921248000000.0,27389536000000.0,-11111953000000.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,increase_decrease_in_receivables,-48388706000000.0,-11836014000000.0,-41316254000000.0,18933777000000.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,increase_decrease_in_inventories,-67592814000000.0,-11314593000000.0,-1779271000000.0,-52100255000000.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,increase_decrease_in_payables,159801924000000.0,22063554000000.0,15295403000000.0,59767396000000.0
(Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses,increase_decrease_in_prepaid_expenses,-2619247000000.0,167496000000.0,1263049000000.0,-1844021000000.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-1526511000000.0,-1182924000000.0,-10182170000000.0,-7101369000000.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate Income Tax paid,corporate_income_tax_paid,-8752932000000.0,-892445000000.0,-114715000000.0,-602411000000.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,other_receipts_from_operating_activities,0.0,0.0,0.0,0.0
Tiền chi khác cho hoạt động kinh doanh,Other payments on operating activities,other_payments_on_operating_activities,0.0,0.0,0.0,0.0
Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh,Net cash inflows/(outflows) from operating activities,net_cash_inflows_outflows_from_operating_activities,50126972000000.0,26509936000000.0,-9444422000000.0,7940584000000.0
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",Purchases of fixed assets and other long term assets,purchases_of_fixed_assets_and_other_long_term_assets,-50523009000000.0,-20163846000000.0,-7330365000000.0,-26016418000000.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",Proceeds from disposal of fixed assets,proceeds_from_disposal_of_fixed_assets,328980000000.0,2310009000000.0,663081000000.0,383591000000.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Loans granted, purchases of debt instruments",loans_granted_purchases_of_debt_instruments,-3606832000000.0,-16644061000000.0,-1748838000000.0,-4061682000000.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Collection of loans, proceeds from sales of debts instruments",collection_of_loans_proceeds_from_sales_of_debts_instruments,7698778000000.0,1266063000000.0,29387184000000.0,11284465000000.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Investments in other entities,investments_in_other_entities,-91381513000000.0,-46692308000000.0,-39328117000000.0,-65173100000000.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Proceeds from divestment in other entities,proceeds_from_divestment_in_other_entities,31049081000000.0,9263567000000.0,18517232000000.0,31734152000000.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Dividends and interest received,dividends_and_interest_received,350940000000.0,2201216000000.0,4447128000000.0,347157000000.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash inflows/(outflows) from investing activities,net_cash_inflows_outflows_from_investing_activities,-106083575000000.0,-68459360000000.0,4607305000000.0,-51501835000000.0
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Proceeds from issue of shares,proceeds_from_issue_of_shares,6965076000000.0,340000000000.0,318000000000.0,246100000000.0
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",Payments for share returns and repurchases,payments_for_share_returns_and_repurchases,0.0,-3000000000.0,0.0,0.0
Tiền thu được các khoản đi vay,Proceeds from loans,proceeds_from_loans,129503096000000.0,57727404000000.0,67062921000000.0,90020118000000.0
Tiền trả nợ gốc vay,Repayment of loans,repayment_of_loans,-58500492000000.0,-33555181000000.0,-59227351000000.0,-47970031000000.0
Tiền trả nợ gốc thuê tài chính,Finance lease principal payments,finance_lease_principal_payments,0.0,0.0,-265382000000.0,85334000000.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Dividends paid,dividends_paid,-366157000000.0,-36000000000.0,-1683815000000.0,-870482000000.0
Tiền lãi đã nhận,"Interests, dividends, profits received",interests_dividends_profits_received,0.0,0.0,0.0,0.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash inflows/(outflows) from financing activities,net_cash_inflows_outflows_from_financing_activities,77601523000000.0,24473223000000.0,6204373000000.0,41511039000000.0
Lưu chuyển tiền thuần trong kỳ,Net increase in cash and cash equivalents,net_increase_in_cash_and_cash_equivalents,21644920000000.0,-17476201000000.0,1367256000000.0,-2050212000000.0
Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at the beginning of period,cash_and_cash_equivalents_at_the_beginning_of_period,54750360000000.0,72226561000000.0,72150719000000.0,74759825000000.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Effect of foreign exchange differences,effect_of_foreign_exchange_differences,0.0,0.0,24267000000.0,-558894000000.0
Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at the end of period,cash_and_cash_equivalents_at_the_end_of_period,76395280000000.0,54750360000000.0,73542242000000.0,72150719000000.0
Phân bổ lợi thế thương mại,Amortization of goodwill,amortization_of_goodwill,0.0,0.0,0.0,0.0
Các khoản điều chỉnh khác,Other adjustments,other_adjustments,0.0,0.0,0.0,0.0
(Tăng)/giảm chứng khoán kinh doanh,(Increase)/decrease in trading securities,increase_decrease_in_trading_securities,0.0,1583614000000.0,0.0,1999420000000.0
