item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
DOANH THU HOẠT ĐỘNG,OPERATING SALES,operating_sales,115192576704.0,95458844776.0,152369609660.0,89335451509.0,135903025719.0,66636329543.0,104253801626.0,130182076635.0,94296331014.0,167289856686.0,230800741288.0,226065980841.0,510943936638.0,356223496247.0,389138787181.0,313242246833.0,446209483673.0,321681720817.0,182330603419.0,237226885654.0,272028447637.0,687812647635.0,323023165823.0,341091837969.0,360594815882.0,378836549181.0,553757747081.0,544617506222.0,979684153559.0,1976150333018.0,3221825111028.0,2101485787083.0,1653403555824.0,1349303071717.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần về hoạt động kinh doanh,Net sales,net_sales,115192576704.0,95458844776.0,152369609660.0,89335451509.0,135903025719.0,66636329543.0,104253801626.0,130182076635.0,94296331014.0,167289856686.0,230800741288.0,226065980841.0,510943936638.0,356223496247.0,389138787181.0,313242246833.0,446209483673.0,321681720817.0,182330603419.0,237226885654.0,272028447637.0,687812647635.0,323023165823.0,341091837969.0,360594815882.0,378836549181.0,553757747081.0,544617506222.0,979684153559.0,1976150333018.0,3221825111028.0,2101485787083.0,1653403555824.0,1349303071717.0
CHI PHÍ HOẠT ĐỘNG,OPERATING EXPENSE,operating_expense,-26077786571.0,-45203840477.0,-14440018002.0,-63557880440.0,-60585598686.0,-41121828217.0,-39123225612.0,-96069578710.0,-115365258108.0,-83249947346.0,-36091920905.0,-50017710271.0,-104674621528.0,-206400687571.0,-194153877704.0,-92172233630.0,-85485750596.0,-235781438714.0,-72568979929.0,-360987197431.0,-253638643445.0,20058766547.0,-67846753863.0,-92162162944.0,-135029407308.0,-190605517201.0,-197382244369.0,-376453766488.0,-467829446160.0,-288624680113.0,-50461306513.0,-314710715590.0,-1339702995095.0,-1155182438563.0
LỢI NHUẬN GỘP,GROSS PROFIT,gross_profit,89114790133.0,50255004299.0,137929591658.0,25777571069.0,75317427033.0,25514501326.0,65130576014.0,34112497925.0,-21068927094.0,84039909340.0,194708820383.0,176048270570.0,406269315110.0,149822808676.0,194984909477.0,221070013203.0,360723733077.0,85900282103.0,109761623490.0,-123760311777.0,18389804192.0,707871414182.0,255176411960.0,248929675025.0,225565408574.0,188231031980.0,356375502712.0,168163739734.0,511854707399.0,1687525652905.0,3171363804515.0,1786775071493.0,313700560729.0,194120633154.0
CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,GENERAL AND ADMINISTRATIVE EXPENSES,general_and_administrative_expenses,-4017851817.0,-4455449084.0,-5131842937.0,-7355740348.0,-4549953688.0,-4398645767.0,-4860453641.0,-5315961792.0,-5772102887.0,-3342430593.0,-3257778569.0,-5034699624.0,-3113446649.0,-6597811560.0,-4112023150.0,-4900932354.0,-7527810775.0,-5161017864.0,-4617093128.0,-8663934545.0,-7728708578.0,-6686591518.0,-8056162711.0,-16155743257.0,-12184345434.0,-15949223719.0,-9127937622.0,-15085023065.0,-7477237163.0,-18306239219.0,-12719102626.0,-18503503028.0,-10120517065.0,-10666641161.0
KẾT QUẢ HOẠT ĐỘNG,OPERATING PROFIT/(LOSS),operating_profit_loss,78311819660.0,38388215495.0,126749169077.0,13997139085.0,62047592466.0,9801812556.0,49090626820.0,18558293380.0,-31484053033.0,75842743121.0,186847132294.0,165838067987.0,398225246245.0,132247090791.0,178405191309.0,199116271686.0,334738566476.0,69627229107.0,102337099727.0,-130375970782.0,11885499420.0,702142849829.0,248423415163.0,235745930794.0,201835806892.0,154881311776.0,324464136779.0,133666484785.0,465134861310.0,1602475526579.0,3048322232830.0,1609202890016.0,156803423319.0,75231476238.0
CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,BUSINESS INCOME TAX EXPENSES,business_income_tax_expenses,78544833356.0,40869129403.0,134652617221.0,14248774748.0,62949345889.0,11549511076.0,49090626820.0,18586859092.0,-30839042078.0,88497205309.0,186308611783.0,165834373623.0,398225246245.0,131438144071.0,178413902431.0,199104000842.0,334742279727.0,69627263425.0,102340059208.0,-130375874964.0,11885499417.0,703197220910.0,248423415163.0,235355048766.0,201835806888.0,154886693696.0,324736864051.0,133666677665.0,465204861310.0,1602507328938.0,3047932095844.0,1601368040701.0,156353886858.0,75253077305.0
Chi phí thuế thu nhập hiện hành,Business income tax - current,business_income_tax_current,-9881865259.0,-9163549230.0,-15176348327.0,-7040595948.0,-7696854194.0,-4439367325.0,-3861471247.0,-19493914195.0,-1413536321.0,-9865497859.0,-24805063137.0,-15665347633.0,-64847701265.0,-61652559543.0,-20610425214.0,-44521769941.0,-44583773418.0,-15565623020.0,-26226171264.0,-2188100365.0,-25939204347.0,-28048608630.0,-79570938667.0,-22602741750.0,-47451890855.0,-27184175240.0,-14430169696.0,-44383792607.0,-58937066264.0,-99692108928.0,-291351383674.0,-109214293933.0,-44096616869.0,-86871508829.0
Chi phí thuế thu nhập hoãn lại,Business income tax - deferred,business_income_tax_deferred,-5825278012.0,1122504468.0,-10551047650.0,4756675712.0,-4005565184.0,3003219110.0,-5052142527.0,15741792294.0,7673244796.0,-7854233302.0,-11995155323.0,-17451990657.0,-14678454124.0,38060438159.0,-10170146970.0,6986316100.0,-22083161668.0,4336057430.0,11977350002.0,29985078778.0,24492461700.0,-109586379848.0,30349275495.0,-21531586730.0,7563587078.0,-3915573150.0,-44921547803.0,22917478704.0,-33990855275.0,-201204252368.0,-307157364601.0,-205442823548.0,26112999066.0,87500456651.0
LỢI NHUẬN KẾ TOÁN SAU THUẾ,NET PROFIT/(LOSS) AFTER TAX,net_profit_loss_after_tax,62837690085.0,32828084641.0,108925221244.0,11964854512.0,51246926511.0,10113362861.0,40177013046.0,14834737191.0,-24579333603.0,70777474148.0,149508393323.0,132717035333.0,318699090856.0,107846022687.0,147633330247.0,161568547001.0,268075344641.0,58397697835.0,88091237946.0,-102578896551.0,10438756770.0,565562232432.0,199201751991.0,191220720286.0,161947503111.0,123786945306.0,265385146552.0,112200363762.0,372276939771.0,1301610967642.0,2449423347569.0,1286710923220.0,138370269055.0,75882025127.0
Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận sau thuế phân bổ cho chủ sở hữu,Attributable to parent company,attributable_to_parent_company,62837690085.0,32828084641.0,108925221244.0,11964854512.0,51246926511.0,10113362861.0,40177013046.0,14834737191.0,-24579333603.0,70777474148.0,149508393323.0,132717035333.0,318699090856.0,107846022687.0,147633330247.0,161568547001.0,268075344641.0,58397697835.0,88091237946.0,-102578896551.0,10438756770.0,565562232432.0,199201751991.0,191220720286.0,161947503111.0,123786945306.0,265385146552.0,112200363762.0,372276939771.0,1301610967642.0,2449423347569.0,1286710923220.0,138370269055.0,75882025127.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,854.0,328.0,1345.0,148.0,533.0,35.0,349.0,134.0,-212.0,610.0,1134.0,1039.0,2495.0,845.0,1156.0,130.0,461.0,27.0,139.0,-335.0,18.0,742.0,298.0,0.0,0.0,427.0,0.0,3.0,0.0,1093.0,0.0,841.0,0.0,114.0
