item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,54485175967747.0,50569480123328.0,49719146269227.0,39859762454987.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,4012519795108.0,6950828780635.0,10986580442252.0,5470360413800.0
Tiền,Cash,cash,2232461098706.0,6832216901056.0,10899474784599.0,5392255096780.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1780058696402.0,118611879579.0,87105657653.0,78105317020.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,6371592359726.0,7572463834560.0,2697566655855.0,2741766655855.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,990000000000.0,990000000000.0,990000000000.0,990000000000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-330000000000.0,-58409090909.0,-450000000000.0,-405500000000.0
Các khoản phải thu,Accounts receivable,accounts_receivable,40637000261352.0,33364235206654.0,33547327983359.0,29322352263460.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,21849190237241.0,14826175310447.0,13684613276910.0,9251556874178.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,2157910225784.0,2400051998903.0,1874089197800.0,1701443187914.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,16784318526947.0,16292224007503.0,16417802025396.0,17063525647723.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-154418728620.0,-154216110199.0,-153343970040.0,-232885899648.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,3085052181633.0,2302034441653.0,2194104588398.0,2009708021115.0
Hàng tồn kho,Inventories,inventories,3085052181633.0,2302034441653.0,2194104588398.0,2009708021115.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,379011369928.0,379917859826.0,293566599363.0,315575100757.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,368887079521.0,371532446966.0,276048444208.0,307585923335.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,5056568343.0,5707652818.0,6217436758.0,5621047839.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,5067722064.0,2677760042.0,11300718397.0,2368129583.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,94607666868548.0,92964104205226.0,89671864843931.0,75368603886802.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,26409640783667.0,26086058598867.0,28355820604332.0,37892488065602.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,4998698191103.0,4992139217704.0,4941233765415.0,5113198948090.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
