date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,0.013222221285104752,0.005,BUY,700,False,0,178766.0,0.00178766,0.99282234,0.99461,-0.007177659999999975,
2026-02-04,0.013222221285104752,0.005,HOLD,700,False,1,0.0,0.0,1.00087234,1.00266,0.00810819788765027,
2026-02-05,0.011713526211678982,0.005,HOLD,700,True,2,0.0,0.0,0.99821234,1.0,-0.002657681598034811,
2026-02-06,0.009979604743421078,0.005,HOLD,700,True,3,0.0,0.0,0.99282234,0.99461,-0.00539965274322296,
2026-02-09,0.003843174083158374,0.005,SELL,0,True,0,263298.0,0.00263298,0.97940936,0.98383,-0.013509949826471468,-0.02299043544987713
2026-02-10,0.005912128370255232,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-02-11,0.006146724801510572,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-02-12,0.005308592226356268,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-02-13,-0.0001727851777104661,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-02-23,0.004650994669646025,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-02-24,-0.005145727191120386,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-02-25,-0.004608281422406435,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-02-26,-0.00527625298127532,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-02-27,-0.005025699734687805,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-03-02,9.524721826892346e-05,0.005,HOLD,0,False,0,0.0,0.0,0.97940936,0.98383,0.0,
2026-03-03,0.02098233997821808,0.005,BUY,700,False,0,176176.0,0.00176176,0.9754776,0.98166,-0.0040144194660340915,
2026-03-04,0.0008187344064936042,0.005,HOLD,700,False,1,0.0,0.0,0.9388676,0.94505,-0.03753033385902449,
2026-03-05,0.024258971214294434,0.005,HOLD,700,True,2,0.0,0.0,0.9388676,0.94505,0.0,
2026-03-06,-0.0013053340371698141,0.005,HOLD,700,True,3,0.0,0.0,0.9205976,0.92678,-0.019459612835718287,
2026-03-09,-0.001086335047148168,0.005,SELL,0,True,0,250383.0,0.00250383,0.92887377,0.93756,0.008989997366927849,-0.05725492752574952
2026-03-10,-0.002672905335202813,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-11,-0.0021346413996070623,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-12,0.0009568507084622979,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-13,-0.007034153677523136,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-16,-0.006754962727427483,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-17,-0.007883956655859947,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-18,-0.007772462908178568,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-19,-0.007772462908178568,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-20,-0.007772462908178568,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-23,-0.0021346413996070623,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-24,-0.01934775337576866,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-25,-0.020317304879426956,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-26,-0.02096109837293625,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-27,-0.009649017825722694,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-30,-0.005931985564529896,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-03-31,-0.00838456954807043,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-01,-0.0020768227986991405,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-02,-0.0010211353655904531,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-03,-0.004327532835304737,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-06,-0.0029826201498508453,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-07,-0.0029826201498508453,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-08,-0.0006885414477437735,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-09,-0.0033181416802108288,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-10,0.0025610248558223248,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-13,0.00261724554002285,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-14,-0.00197160174138844,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-15,-0.00022342591546475887,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-16,0.004763069562613964,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-17,0.008740676566958427,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-20,0.005143723450601101,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-21,0.006974103860557079,0.005,HOLD,0,False,0,0.0,0.0,0.92887377,0.93756,0.0,
2026-04-22,0.011753088794648647,0.005,BUY,600,False,0,162084.0,0.00162084,0.92401293,0.93432,-0.005233046897211824,
2026-04-23,0.015363241545855999,0.005,HOLD,600,False,1,0.0,0.0,0.94987293,0.96018,0.02798662135604535,
2026-04-24,0.0036618150770664215,0.005,HOLD,600,True,2,0.0,0.0,0.94159293,0.9519,-0.008716955435291718,
2026-04-28,0.0032673340756446123,0.005,HOLD,600,True,3,0.0,0.0,0.94759293,0.9579,0.006372180385848969,
2026-04-29,0.006881898734718561,0.005,SELL,0,True,0,249084.0,0.00249084,0.94462209,0.95742,-0.0031351436950886047,0.019393507351181994
2026-05-04,0.0011616545962169766,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-05,0.0044602444395422935,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-06,0.007139802910387516,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-07,0.002537910360842943,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-08,0.008916609920561314,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-11,0.002241449663415551,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-12,0.0069037871435284615,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-13,0.0009715326596051455,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-14,0.0069037871435284615,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-15,0.0009715326596051455,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-18,-0.00017259396554436535,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-19,-0.00028369209030643106,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-20,-0.00028369209030643106,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-21,-0.0006119060562923551,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-22,-0.0008182157180272043,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-25,-0.004261328373104334,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-26,-0.004261328373104334,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-27,-0.003907565493136644,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-28,-0.003907565493136644,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-05-29,-0.003907565493136644,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-01,-0.004816352389752865,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-02,-0.005207037553191185,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-03,-0.005207037553191185,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-04,-0.004816352389752865,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-05,0.0012475084513425827,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-08,-0.0019096580799669027,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-09,-0.0008453335030935705,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-10,-0.0025924777146428823,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-11,-0.0010008716490119696,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-12,-0.003441555192694068,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-15,-0.0036938751582056284,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-16,-0.0022642638068646193,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-17,-0.0036938751582056284,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-18,-0.0012531914981082082,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-19,-0.0025165837723761797,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-22,0.0007583188125863671,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-23,0.0007583188125863671,0.005,HOLD,0,False,0,0.0,0.0,0.94462209,0.95742,0.0,
2026-06-24,0.028045762330293655,0.005,BUY,600,False,0,163800.0,0.001638,0.96038409,0.97482,0.016686037905380813,
2026-06-25,-0.000624104926828295,0.005,HOLD,600,False,1,0.0,0.0,0.96098409,0.97542,0.0006247500414131579,
2026-06-26,0.00038635137025266886,0.005,HOLD,600,True,2,0.0,0.0,0.95678409,0.97122,-0.004370519807461171,
2026-06-29,-0.0006653497694060206,0.005,HOLD,600,True,3,0.0,0.0,0.96098409,0.97542,0.004389705100551922,
2026-06-30,-0.0006653497694060206,0.005,SELL,0,True,0,250740.0,0.0025074,0.95727669,0.97422,-0.003857920270043169,0.015420441168944162
2026-07-01,-0.00044501153752207756,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-02,-0.0003228121786378324,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-03,-0.004372300114482641,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-06,-0.004132151138037443,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-07,-0.004132151138037443,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-08,-0.00028897300944663584,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-09,0.0001306958292843774,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-10,0.0001306958292843774,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-13,0.0001306958292843774,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-14,0.0001306958292843774,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-15,0.0030354433692991734,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-16,0.002606728347018361,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-17,0.0029430787544697523,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-20,0.0005042841657996178,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-21,0.0008461507968604565,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-22,-0.001755556440912187,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-23,0.001633811159990728,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-24,0.001633811159990728,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-27,0.00025578192435204983,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-28,0.0008533027721568942,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-29,-0.0029371988493949175,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-30,-0.0010927009861916304,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-07-31,-0.0010837509762495756,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-08-03,-0.00032137756352312863,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-08-04,0.0021766461431980133,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-08-05,-0.0025196110364049673,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-08-06,-0.0033806373830884695,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
2026-08-07,-0.0018812107155099511,0.005,HOLD,0,False,0,0.0,0.0,0.95727669,0.97422,0.0,
