item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,12131963698383.0,13738445876697.0,13743498637314.0,13015322214890.0,13230084714897.0,14610401622240.0,14304042994942.0,14255700394638.0,14206192026063.0,15509586167075.0,15577229685157.0,14429900514941.0,13240715083738.0,15728786449961.0,16208270405981.0,15834302208084.0,13940472652935.0,14959410994547.0,16094113384043.0,15080733191774.0,13954019633882.0,15212939408874.0,15681494654705.0,15630458869279.0,14124890259766.0,16665240843085.0,15548707382507.0,15485051436522.0,12965404856436.0,16744609675338.0,16968084097983.0,17045421378817.0,16177992148783.0,18855657057945.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-11461677471.0,-35965264736.0,-8238352165.0,-11615162320.0,-40784427090.0,-11441072483.0,-13142547924.0,-16738916476.0,-53092072488.0,-14352408276.0,-14071686928.0,-5105999997.0,-50444960886.0,-12980283496.0,-14218402422.0,-15265654814.0,-62646829737.0,-29135701910.0,-14621959913.0,-12078534321.0,-35627707242.0,-18114453181.0,-44506970023.0,-11747924789.0,-12478942708.0,-9453070612.0,-11370069034.0,-7978311081.0,-30899523580.0,-20012195784.0,-14852560120.0,-11868972863.0,-29334277160.0,-8309592957.0
Doanh thu thuần,Net sales,net_sales,12120502020912.0,13702480611961.0,13735260285149.0,13003707052570.0,13189300287807.0,14598960549757.0,14290900447018.0,14238961478162.0,14153099953575.0,15495233758799.0,15563157998229.0,14424794514944.0,13190270122852.0,15715806166465.0,16194052003559.0,15819036553270.0,13877825823198.0,14930275292637.0,16079491424130.0,15068654657453.0,13918391926640.0,15194824955693.0,15636987684682.0,15618710944490.0,14112411317058.0,16655787772473.0,15537337313473.0,15477073125441.0,12934505332856.0,16724597479554.0,16953231537863.0,17033552405954.0,16148657871623.0,18847347464988.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-6633808703800.0,-7233869770150.0,-7241743387120.0,-6841121640431.0,-7034297778254.0,-7585015000599.0,-7567934476550.0,-7558658856714.0,-7547288345650.0,-8357339161700.0,-8296414517093.0,-7766620813396.0,-7435389686438.0,-8861448981220.0,-9250304913128.0,-9093719773053.0,-8253022172432.0,-8853615491038.0,-9729311781833.0,-9223066245408.0,-8520365614981.0,-9044632886807.0,-9082087041307.0,-9177098353000.0,-8200889872493.0,-9588268993189.0,-9135891859183.0,-9267382480456.0,-7724022892977.0,-9702919554414.0,-9865934701695.0,-10143535412610.0,-9252731827546.0,-10643261509232.0
Lợi nhuận gộp,Gross Profit,gross_profit,5486693317112.0,6468610841811.0,6493516898029.0,6162585412139.0,6155002509553.0,7013945549158.0,6722965970468.0,6680302621448.0,6605811607925.0,7137894597099.0,7266743481136.0,6658173701548.0,5754880436414.0,6854357185245.0,6943747090431.0,6725316780217.0,5624803650766.0,6076659801599.0,6350179642297.0,5845588412045.0,5398026311659.0,6150192068886.0,6554900643375.0,6441612591490.0,5911521444565.0,7067518779284.0,6401445454290.0,6209690644985.0,5210482439879.0,7021677925140.0,7087296836168.0,6890016993344.0,6895926044077.0,8204085955756.0
Doanh thu hoạt động tài chính,Financial income,financial_income,190257216242.0,204682217710.0,185624961638.0,179352995411.0,176287359587.0,190720049829.0,206732692690.0,233576605377.0,284879682275.0,335351494778.0,358591147428.0,602270330836.0,284839944505.0,292767071141.0,314242042431.0,322834761317.0,320283365813.0,341814888660.0,338615402043.0,379190751224.0,419705072231.0,383963944773.0,483829853834.0,428868705495.0,387368759884.0,373183676511.0,430476492135.0,394631907537.0,366337215645.0,376333100451.0,395840396288.0,358341189804.0,386473829446.0,426283158190.0
Chi phí tài chính,Financial expenses,financial_expenses,-19314174913.0,-43269224405.0,-30214111816.0,-25209490540.0,-28768197631.0,-42152766378.0,-44895193422.0,-71153524397.0,-122428728401.0,-674383923.0,-120470092893.0,-64996123618.0,-6424291388.0,-42133666112.0,-63549064354.0,-90231210378.0,-132476618856.0,-135024600156.0,-142793205373.0,-207242758610.0,-158240818929.0,-115957689789.0,-110138422955.0,-118785839541.0,-102489879376.0,-87679063003.0,-97962433824.0,-140107172656.0,-41765368480.0,-109547632124.0,-91354486972.0,-107566612631.0,-154556282718.0,-147341998794.0
Chi phí lãi vay,Interest expenses,interest_expenses,-8555583980.0,-17272008785.0,-11981786169.0,-13558039918.0,-19835521940.0,-25355145802.0,-27795829812.0,-35838396433.0,-42061538321.0,-37641854799.0,-38257217439.0,-25857854618.0,-12905990201.0,-28072255034.0,-24374567105.0,-23446278323.0,-26168600367.0,-36701642341.0,-49942302240.0,-53226546796.0,-82291916805.0,-95970637757.0,-79600679532.0,-96231603161.0,-86395425954.0,-64294446778.0,-62624826693.0,-66109861870.0,-75155207673.0,-85204331624.0,-75464626344.0,-89980184766.0,-118301437284.0,-116087966581.0
Chi phí bán hàng,Selling expenses,selling_expenses,-2318536685442.0,-3176108660455.0,-3410558802715.0,-3360732757821.0,-2670436444735.0,-3330199098788.0,-3291660881785.0,-3701158127544.0,-3004141744869.0,-3383322662142.0,-3284487795534.0,-3775540419620.0,-2585931287811.0,-3185812099703.0,-3307900301066.0,-3871026713824.0,-2636293957415.0,-3316046469903.0,-3260867271142.0,-3335004548411.0,-2942150310906.0,-3199738372776.0,-3382491600883.0,-3493712827314.0,-3095275281176.0,-3574887401068.0,-3336422575566.0,-3351121538996.0,-3169757183300.0,-3711347500232.0,-3573752079537.0,-3186832400615.0,-3724703172095.0,-4104010852782.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-240213522091.0,-275630198859.0,-286976405586.0,-330480105254.0,-278242221928.0,-318012114359.0,-318235893109.0,-481812187559.0,-389344385755.0,-374051101779.0,-458795669277.0,-735964299474.0,-367294589472.0,-389330729464.0,-394043756702.0,-416643351347.0,-368929371148.0,-377093511787.0,-400896379672.0,-448926418471.0,-388784710409.0,-430514547776.0,-432197136598.0,-504122733414.0,-395914155553.0,-455702658579.0,-421729399873.0,-554570624982.0,-430929441463.0,-462277916899.0,-465785970174.0,-545076497173.0,-459769658861.0,-520564179761.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,3112948005119.0,3172703017968.0,2953826796158.0,2637035621507.0,3341235304930.0,3516775668232.0,3265127046928.0,2673952095282.0,3362986720268.0,3721525146405.0,3755879519012.0,2698989438731.0,3071224780055.0,3510265400228.0,3507044711060.0,2639084928848.0,2772150770559.0,2600935725205.0,2888929476609.0,2229048854727.0,2314795307642.0,2776744398740.0,3086270738943.0,2725822436482.0,2715537085273.0,3325773210703.0,2970748116715.0,2581919225696.0,1950556716681.0,3118598303706.0,3157752824075.0,3432867145001.0,2991830566118.0,3908962379225.0
Thu nhập khác,Other incomes,other_incomes,146116534447.0,61246215455.0,140125403777.0,102759176301.0,42944840145.0,66987285143.0,74087108721.0,65427025170.0,36671885321.0,40150489277.0,84975939469.0,50587881068.0,120489176600.0,37278305250.0,142312452646.0,122743257794.0,49186371697.0,50244850545.0,41224997384.0,148365579501.0,41111331702.0,33520380483.0,37955648630.0,240821530736.0,37007652440.0,34843947651.0,37227938682.0,121552139821.0,48165047774.0,32160581071.0,37389682775.0,128002667372.0,41379503759.0,12458764063.0
Chi phí khác,Other expenses,other_expenses,-82601647493.0,-73183528240.0,-59984156079.0,-59295172797.0,-41397280968.0,-33931187119.0,-85458005938.0,-90040261969.0,-41399602611.0,-50295058214.0,-63835668510.0,-77700603192.0,-37803733850.0,-53858755239.0,-62753873794.0,-73791162679.0,-56985518420.0,-75122932001.0,-70271306667.0,-82172192394.0,-43860213391.0,-82266235220.0,-48436566422.0,-114579366839.0,-46704335991.0,-51974230124.0,-66174414919.0,-60102594612.0,-47425568932.0,-54670351500.0,-69541892798.0,-83869930287.0,-18813601301.0,-22248441789.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,63514886954.0,-11937312785.0,80141247698.0,43464003504.0,1547559177.0,33056098024.0,-11370897217.0,-24613236799.0,-4727717290.0,-10144568937.0,21140270959.0,-27112722124.0,82685442750.0,-16580449989.0,79558578852.0,48952095115.0,-7799146723.0,-24878081456.0,-29046309283.0,66193387107.0,-2748881689.0,-48745854737.0,-10480917792.0,126242163897.0,-9696683551.0,-17130282473.0,-28946476237.0,61449545209.0,739478842.0,-22509770429.0,-32152210023.0,44132737085.0,22565902458.0,-9789677726.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,3176462892073.0,3160765705183.0,3033968043856.0,2680499625011.0,3342782864107.0,3549831766256.0,3253756149711.0,2649338858483.0,3358259002978.0,3711380577468.0,3777019789971.0,2671876716607.0,3153910222805.0,3493684950239.0,3586603289912.0,2688037023963.0,2764351623836.0,2576057643749.0,2859883167326.0,2295242241834.0,2312046425953.0,2727998544003.0,3075789821151.0,2852064600379.0,2705840401722.0,3308642928230.0,2941801640478.0,2643368770905.0,1951296195523.0,3096088533277.0,3125600614052.0,3476999882086.0,3014396468576.0,3899172701499.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-504757180169.0,-481277512341.0,-459229929862.0,-429640603111.0,-522861656123.0,-650596496904.0,-579559045028.0,-485348598058.0,-564338684243.0,-637060519942.0,-645013546575.0,-464261259130.0,-559443305864.0,-633974149435.0,-623139563848.0,-504424655028.0,-462232548984.0,-490431693598.0,-534337235466.0,-469246818237.0,-377888254570.0,-494907485041.0,-548401617475.0,-527166047542.0,-497675570285.0,-614203629137.0,-573837659232.0,-555142311297.0,-326819068821.0,-613806796858.0,-644325193049.0,-688334808992.0,-508834009350.0,-740564247640.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,11339489858.0,-1649660072.0,-14269248815.0,33418089628.0,-22540309094.0,4543499607.0,2539547647.0,12445300287.0,-17113759408.0,10245770048.0,6169419341.0,28568727010.0,2466811360.0,2558664410.0,-2737563151.0,28994247115.0,-18804420394.0,16640960424.0,-2673735355.0,43126134573.0,-27931772305.0,-3933169203.0,5876182583.0,25806937118.0,-1181461848.0,1525922021.0,35189074022.0,58564884369.0,-37203858648.0,6302943861.0,29257322200.0,38533967838.0,-47341456694.0,25793187889.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-493417690311.0,-482927172413.0,-473499178677.0,-396222513483.0,-545401965217.0,-646052997297.0,-577019497381.0,-472903297771.0,-581452443651.0,-626814749894.0,-638844127234.0,-435692532120.0,-556976494504.0,-631415485025.0,-625877126999.0,-475430407913.0,-481036969378.0,-473790733174.0,-537010970821.0,-426120683664.0,-405820026875.0,-498840654244.0,-542525434892.0,-501359110424.0,-498857032133.0,-612677707116.0,-538648585210.0,-496577426928.0,-364022927469.0,-607503852997.0,-615067870849.0,-649800841154.0,-556175466044.0,-714771059751.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,2683045201762.0,2677838532770.0,2560468865179.0,2284277111528.0,2797380898890.0,2903778768959.0,2676736652330.0,2176435560712.0,2776806559327.0,3084565827574.0,3138175662737.0,2236184184487.0,2596933728301.0,2862269465214.0,2960726162913.0,2212606616050.0,2283314654458.0,2102266910575.0,2322872196505.0,1869121558170.0,1906226399078.0,2229157889759.0,2533264386259.0,2350705489955.0,2206983369589.0,2695965221114.0,2403153055268.0,2146791343977.0,1587273268054.0,2488584680280.0,2510532743203.0,2827199040932.0,2458221002532.0,3184401641748.0
