date,open,high,low,close,volume,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,macd_pct,macd_hist_pct,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,return_skew_20d,return_kurtosis_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,day_of_week,month_of_year,next_return,target_next_up,market_open,market_close,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,excess_return_1d,excess_return_5d,excess_return_20d,relative_strength_20d,beta_60d,corr_60d,target_entry_open_5d,target_exit_close_5d,target_return_5d,target_market_return_5d,target_excess_return_5d,swing_execution_open,swing_execution_close,target_entry_open_10d,target_exit_close_10d,target_return_10d,target_market_return_10d,target_excess_return_10d,target_entry_open_20d,target_exit_close_20d,target_return_20d,target_market_return_20d,target_excess_return_20d,predicted_excess_return_5d,entry_margin,fold
2023-06-21,16.88,17.01,16.79,17.01,8113440,0.007701421800948127,0.01009501187648465,0.005319148936170137,-0.0052631578947368585,-0.012768427161926832,0.013103037522334882,16.939999999999998,16.9195,17.236666666666668,16.950557476119403,16.957358546828377,-0.006801070708974066,-0.011818379133374302,0.005017308424400235,-0.00039982779006314317,0.000294962282445634,51.59237490631404,16.9195,0.18328795291569477,17.28607590583139,16.55292409416861,0.04333176581239275,0.6234396458691814,0.324881351770395,0.019099432790734568,16.898003103020027,25.540525962733152,16.055154869115615,42.168674698795435,32.44702949729957,1367410737.0,1364220292.7,0.15015065758557736,0.17806199585543708,1.1070616361765153,13233648.15,-0.712318828585141,0.6130917119781517,0.012933568489124185,0.005348857826767972,-0.013150261071359526,2.0,6.0,-0.007602339181286721,0.0,1112.73,1118.46,0.006062677652646453,0.0009307153979702942,0.05337213573305455,0.09078727701326438,0.001638744148301674,-0.006193873292707153,-0.04026909821071967,-0.03822874826919165,0.9619118551848428,0.5291936403456043,17.1,17.53,0.02514619883040936,0.010779517141563222,0.014366681688846139,17.1,16.97,17.1,17.27,0.00994152046783614,0.007467523818825761,0.0024739966490103793,17.1,17.88,0.04561403508771922,0.041528666944885995,0.004085368142833223,0.0030466316,0.005,1
2023-06-22,17.1,17.18,16.97,16.97,12411972,-0.0023515579071136106,0.005331753554502328,0.0077197149643704055,-0.004692082111437013,0.005331753554502328,0.02105896510228633,16.924,16.937,17.212833333333332,16.953548633639496,16.958294950767016,-0.004746317127519717,-0.010403966732203385,0.005657649604683668,-0.0002796886934307435,0.0003333912554321549,50.3459175469199,16.937,0.16936724346139295,17.275734486922786,16.598265513077216,0.03999934899011457,0.5487107177952035,0.31667554092965255,0.0186609040029259,17.806344941593714,28.16522448666918,15.294668845061631,39.743589743589524,37.2657739712164,1354998765.0,1365005003.7,0.14517499641073273,0.14990272987898656,1.5905889770168657,13489205.5,-0.1526757895793681,0.9201410713180995,0.012374779021803234,0.0019483970006493045,-0.014107690967011033,3.0,6.0,0.02580645161290307,1.0,1126.21,1125.3,0.0061155517407862625,0.007457675676159514,0.05698693442792324,0.09163304878276354,-0.008467109647899873,-0.012149757787596527,-0.03592796932563691,-0.03399093040358381,0.9416081378121411,0.5206667220860115,17.05,17.23,0.010557184750733084,-0.0008966619318181435,0.011453846682551228,17.05,17.49,17.05,16.92,-0.007624633431084993,-0.00015980113636371307,-0.00746483229472128,17.05,18.18,0.06627565982404682,0.04120205965909074,0.025073600164956078,0.0030466316,0.005,1
2023-06-23,17.05,17.66,17.01,17.49,42330144,0.030642309958750724,0.02821869488536133,0.036137440758293726,0.03368794326241109,0.036137440758293726,0.05488540410132692,17.038,16.9825,17.20133333333333,17.036079613079572,16.99768050996946,0.03839910311011252,-0.0006433527637402045,0.03904245587385272,0.002195489028594198,0.0022322730631133634,62.895872471193556,16.9825,0.1894555912409269,17.361411182481856,16.603588817518148,0.04462372235911721,1.1696820039407265,0.34334157372039176,0.019630736061771972,19.713290762538048,34.10807667208532,13.099162281075861,82.99999999999983,54.97075481412827,1397328909.0,1368255689.25,0.17826760970921876,0.6550988242835901,1.5292446944532292,15256245.35,2.885245097918937,2.7746108579723385,0.03716409376786727,0.029883703812748186,0.0167816448337339,4.0,6.0,-0.012394366197183038,0.0,1126.4,1129.38,0.003625699813383232,0.012697046322698746,0.06168684665714075,0.09066487857600265,0.027016610145367492,0.020990896939712345,-0.00680144255581383,-0.00640626054399096,0.9845076128643715,0.5103757190482874,17.75,17.18,-0.03211267605633805,-0.00876044173863788,-0.02335223431770017,17.75,17.53,17.75,17.18,-0.03211267605633805,0.007070295908254254,-0.039182971964592306,17.75,18.53,0.04394366197183097,0.04939473311623965,-0.005451071144408681,0.0030466316,0.005,1
2023-06-26,17.75,17.75,17.27,17.53,16580570,0.002287021154945945,0.03299941072480861,0.03057025279247494,0.040973871733966716,0.03299941072480861,0.04656716417910456,17.176,17.0215,17.192,17.112067364913486,17.037111583305055,0.07495578160843053,0.014476474110693943,0.060479307497736584,0.00427585747908902,0.0034500460637613565,63.656814422377714,17.0215,0.21731071618362552,17.45612143236725,16.58687856763275,0.05106734804420894,1.0849918597322228,0.35310288988322097,0.020142777517582484,21.646407496168496,32.61683249413095,11.827255003568999,79.81651376146799,67.52003450168579,1413909479.0,1371983145.5,0.1760401809915512,0.7818334758222169,1.9035456771811163,15733016.05,0.09228043842860705,1.0538710408294536,0.027381631488876235,0.029873982903974472,0.01966030711959066,0.0,6.0,-0.016949152542372947,0.0,1130.08,1132.03,0.002346420159733631,0.02409082685000885,0.05307075480474044,0.08618852510413944,-5.939900478768578e-05,0.016883044883957865,-0.00650359062563588,-0.00617583443084202,0.987618417094486,0.5125182033236912,17.7,17.18,-0.029378531073446346,-0.007976730862456427,-0.02140180021098992,17.7,17.4,17.7,17.36,-0.019209039548022555,0.012753955312678977,-0.03196299486070153,17.7,18.91,0.06836158192090402,0.04950861575073828,0.01885296617016574,0.0030466316,0.005,1
2023-06-27,17.7,17.7,17.4,17.4,14431981,-0.007415858528237451,-0.005145797598627766,0.02533883323512076,0.0308056872037914,0.0308056872037914,0.03325415676959609,17.279999999999998,17.049500000000002,17.1805,17.156364693388333,17.06399220676394,0.09237248662439512,0.030055676613434182,0.06231681001096094,0.005308763599103168,0.003581425862698905,59.39360163598923,17.049500000000002,0.22848413511624885,17.5064682702325,16.592531729767504,0.05360488814715945,0.8835058392803382,0.3493098263201338,0.020075277374720334,23.441444463111058,30.6159379523505,11.101706623445173,67.8899082568806,76.9021406727828,1399477498.0,1374540142.65,0.1789434752061899,0.8946857027797825,1.8231741200675884,16005755.05,-0.1738318849083709,0.9016744886396346,0.01724137931034487,0.0205577876184051,0.012776112453071864,1.0,6.0,0.002287021154945945,1.0,1134.55,1134.33,0.002031748275222345,0.020337854855539073,0.05220537080840404,0.08620608152067916,-0.009447606803459796,0.010467832348252326,-0.01895121403880795,-0.018010945928025324,0.9852340976281935,0.5092616125416194,17.49,17.18,-0.01772441395082902,-0.004555127596334807,-0.013169286354494214,17.49,17.53,17.49,17.23,-0.014865637507146867,0.012829982940255613,-0.02769562044740248,17.49,18.91,0.08118925100057184,0.05163650433528555,0.02955274666528629,0.0030466316,0.005,1
2023-06-28,17.49,17.62,17.36,17.53,16757295,0.00747126436781631,0.0,0.002287021154945945,0.03057025279247494,0.02514619883040936,0.049072411729503385,17.383999999999997,17.0905,17.169,17.213847048251665,17.098511302559203,0.11533574569246241,0.04711169042923983,0.06822405526322259,0.006579335179261974,0.0038918457081130965,62.12526040331069,17.0905,0.2377410134442652,17.56598202688853,16.615017973111467,0.05564284566145307,0.962162579389184,0.34293055301155295,0.019562495893414314,24.891473501227516,28.95792964764801,11.333647853054224,79.81651376146799,75.8409785932722,1416234793.0,1378330792.3,0.1764479825059471,0.7487883035436234,1.8097625829843564,16447832.05,0.03496279142138507,1.018814816995897,0.014831717056474703,0.025716041075451335,0.021026268274215276,2.0,6.0,-0.019351166761525374,0.0,1137.18,1138.35,0.003543942239030873,0.017783380719918362,0.05876280030134762,0.08399669552237327,0.003927322128785438,0.012786872072556577,-0.009690388571844233,-0.009152558598664484,0.9843723503820456,0.5075300548668037,17.57,17.27,-0.01707455890722831,-0.0042126696038337075,-0.012861889303394602,17.57,17.23,17.57,17.01,-0.031872509960159334,0.012971511821804116,-0.04484402178196345,17.57,18.91,0.07626636311895285,0.05390461813905301,0.022361744979899845,0.0030466316,0.005,1
2023-06-29,17.57,17.7,17.23,17.23,18448831,-0.01711351968054764,-0.009770114942528663,-0.01711351968054764,0.015321154979375473,0.010557184750733084,0.02620607504466954,17.436,17.1125,17.150333333333332,17.21633211775141,17.108251206073337,0.10808091167807277,0.05930553467900642,0.048775376999066346,0.006272832947073289,0.0028308402204913724,53.22662362528261,17.1125,0.22865453141511322,17.569809062830227,16.655190937169774,0.05344737038191109,0.6284689169210942,0.3520069420821562,0.020429886365766467,25.545000136763207,26.19616858409612,12.890675893401703,52.29357798165141,66.66666666666667,1397785962.0,1380711399.45,0.18927045069752965,0.6546996566728294,1.2527859819056146,16882672.65,0.17965552093043413,1.092767204723359,0.02727800348229825,0.006866325785244598,0.004645196400458795,3.0,6.0,-0.0029019152640743506,0.0,1139.42,1125.39,-0.01138489919620489,7.997867235420841e-05,0.043583490202987685,0.09805171762770425,-0.00572862048434275,0.015241176307021265,-0.017377415158318144,-0.01665167695872427,1.044005725095385,0.5289046939574862,17.23,16.92,-0.017991874637260485,0.0017077292537579503,-0.019699603891018436,17.23,17.18,17.23,17.27,0.002321532211259303,0.03657386818464836,-0.03425233597338906,17.23,18.83,0.09286128845037722,0.06495597260517649,0.02790531584520073,0.0030466316,0.005,1
2023-06-30,17.23,17.31,17.1,17.18,12377966,-0.0029019152640743506,-0.01996577296063895,-0.012643678160919491,-0.01772441395082902,0.015366430260047137,0.0,17.374000000000002,17.1125,17.127833333333335,17.21074256117427,17.113565931549385,0.0971766296248866,0.06687975366818245,0.030296875956704147,0.005656381235441595,0.0017634968542901133,51.89250835537652,17.1125,0.22865453141511322,17.569809062830227,16.655190937169774,0.05344737038191109,0.5738012926993511,0.3418635890762877,0.019898928351355514,25.50312690155027,25.046755363977645,15.041274300669738,47.70642201834859,59.938837920489334,1385407996.0,1381246030.9,0.17108407540369538,0.8005628952078797,2.7746097013552564,16274493.55,-0.4542305398382741,0.7605745740702327,0.01222351571594862,0.003944485025566102,0.003045724794924265,4.0,6.0,0.0,0.0,1124.3,1120.18,-0.00462950621562308,-0.00814606244133953,0.02689670345788575,0.09423925221845536,0.0017275909515487298,-0.009578351509489491,-0.02689670345788575,-0.026192219107643466,1.043043340258628,0.5363133517606005,17.18,17.18,0.0,0.011123450757407394,-0.011123450757407394,17.18,17.18,17.18,17.23,0.0029103608847498297,0.03807027675358721,-0.03515991586883738,17.18,19.13,0.1135040745052387,0.0729598862778198,0.0405441882274189,0.0030466316,0.005,1
2023-07-03,17.18,17.31,17.1,17.18,9810552,0.0,-0.0029019152640743506,-0.01996577296063895,-0.01996577296063895,0.020190023752969077,0.004678362573099282,17.304,17.116500000000002,17.108333333333334,17.20601293637823,17.118486973656836,0.08752596272139357,0.07100899547882468,0.01651696724256889,0.005094642766088101,0.000961406707949295,51.892508355376535,17.116500000000002,0.22912361637066228,17.574747232741327,16.658252767258677,0.053544501824710065,0.5692857430039765,0.3324447612851241,0.019350684591683594,25.464244611709688,23.916638802635784,14.362607824958486,47.70642201834859,49.2354740061162,1385407996.0,1382451872.05,0.17017933427591062,0.7459564234300566,2.8233191557595787,16093811.45,-0.7239641949973143,0.6095853695365618,0.01222351571594862,0.0037098705927027797,0.004188991719434876,0.0,7.0,0.0,0.0,1125.55,1125.5,0.0047492367298112015,-0.005768398364000893,0.025213605144741358,0.09324258418207826,-0.0047492367298112015,-0.014197374596638057,-0.020535242571642076,-0.020030208796090743,1.044713878399492,0.5418998479132678,17.18,17.36,0.010477299185098987,0.019439096450213356,-0.008961797265114368,17.18,17.18,17.18,17.7,0.030267753201396852,0.04083008756909279,-0.010562334367695936,17.18,19.17,0.11583236321303847,0.08498726832341141,0.030845094889627056,0.0030466316,0.005,1
2023-07-04,17.18,17.27,17.1,17.18,7341577,0.0,0.0,-0.0029019152640743506,-0.012643678160919491,0.017772511848341166,0.0,17.26,17.1165,17.093166666666665,17.202010946166194,17.1230434941267,0.07896745203949251,0.07260068679095825,0.006366765248534259,0.004596475671681753,0.00037059169083435736,51.89250835537652,17.1165,0.22912361637066228,17.574747232741323,16.658252767258674,0.05354450182471007,0.5692857430039804,0.32084156405047226,0.018675294764288256,25.42813962828629,23.011468273445775,13.819027707670708,47.70642201834859,47.70642201834859,1385407996.0,1382910172.95,0.16938685309993723,0.8254863890438937,3.0266155382220683,15713350.05,-0.9410945654798345,0.46721908292242237,0.009895227008148903,0.003709870592703002,0.0050800027301358686,1.0,7.0,0.002321532211259303,1.0,1127.11,1132.0,0.005775211017325699,-0.0020540759743636894,0.02137488608782756,0.08968088505477119,-0.005775211017325699,-0.010589602186555802,-0.02137488608782756,-0.02092756183745592,1.0181807751102396,0.5240620735061728,17.23,17.23,0.0,0.013311162725225145,-0.013311162725225145,17.23,17.27,17.23,18.14,0.05281485780615203,0.03294798704954949,0.01986687075660254,17.23,19.0,0.1027278003482297,0.07119228603603589,0.03153551431219381,0.0030466316,0.005,1
