entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2024-04-11,2024-04-17,47.66,46.91,2000,4,-1500000.0,-1972100.0,-0.02064796131614237,fixed_horizon_exit
2024-04-19,2024-04-25,46.91,49.16,2000,4,4500000.0,4017400.0,0.04273482453128278,fixed_horizon_exit
2024-05-14,2024-05-20,47.83,49.16,2100,4,2793000.0,2282406.0,0.022678039280001568,fixed_horizon_exit
2024-06-11,2024-06-17,47.91,47.91,2100,4,0.0,-503055.0,-0.00499001996007984,fixed_horizon_exit
2024-08-01,2024-08-07,57.6,55.6,1700,4,-3400000.0,-3879400.0,-0.039538977600354845,fixed_horizon_exit
2024-08-08,2024-08-14,55.0,57.6,1800,4,4680000.0,4170960.0,0.04204681545998911,fixed_horizon_exit
2024-08-15,2024-08-21,57.8,57.0,1700,4,-1360000.0,-1847220.0,-0.018761784389698114,fixed_horizon_exit
2024-11-14,2024-11-20,56.7,59.0,1800,4,4140000.0,3617280.0,0.03537193690220969,fixed_horizon_exit
2025-06-17,2025-06-23,52.4,52.3,2000,4,-200000.0,-723400.0,-0.006888893967789612,fixed_horizon_exit
2025-07-11,2025-07-17,52.7,51.1,1900,4,-3040000.0,-3531530.0,-0.035199051612145725,fixed_horizon_exit
2025-07-21,2025-07-25,51.2,54.2,1900,4,5700000.0,5196500.0,0.053311346057884235,fixed_horizon_exit
2025-07-30,2025-08-05,52.1,53.6,2000,4,3000000.0,2470000.0,0.023657100386558935,fixed_horizon_exit
2025-08-22,2025-08-28,55.1,57.0,1900,4,3610000.0,3075720.0,0.02932066900681396,fixed_horizon_exit
2025-09-08,2025-09-12,58.0,59.9,1900,4,3610000.0,3048170.0,0.027605134558469267,fixed_horizon_exit
2025-09-17,2025-09-23,56.6,54.4,2000,4,-4400000.0,-4952800.0,-0.04366531953760324,fixed_horizon_exit
2025-10-02,2025-10-08,56.4,57.9,1900,4,2850000.0,2305650.0,0.02147301142396059,fixed_horizon_exit
2025-10-17,2025-10-23,59.5,56.0,1800,4,-6300000.0,-6816600.0,-0.06352001878595749,fixed_horizon_exit
2025-10-24,2025-10-30,55.9,56.0,1800,4,180000.0,-323640.0,-0.0032100378848742587,fixed_horizon_exit
2025-10-31,2025-11-06,56.1,53.0,1800,4,-5580000.0,-6068160.0,-0.0599727461298437,fixed_horizon_exit
