date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,0.0002965099411085248,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,-0.0038234961684793234,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,-0.01080949604511261,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,-0.010132452473044395,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-09,-0.008705358020961285,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-10,-0.0053805760107934475,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-11,-0.0010508167324587703,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-12,-0.0022652370389550924,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-13,0.003366428194567561,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-23,0.0015360909746959805,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-24,0.001474573859013617,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-25,0.006177087780088186,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-26,0.004463952966034412,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-27,0.0015145160723477602,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-02,0.004710603505373001,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-03,0.01041511818766594,0.0025,BUY,1700,False,0,193460.0,0.0019346,1.0031654,1.0051,0.003165400000000096,
2026-03-04,0.004232293460518122,0.0025,HOLD,1700,False,1,0.0,0.0,1.0133654,1.0153,0.010167814799035169,
2026-03-05,0.002910225186496973,0.0025,HOLD,1700,True,2,0.0,0.0,1.0031654,1.0051,-0.010065470954504718,
2026-03-06,0.005146499257534742,0.0025,HOLD,1700,True,3,0.0,0.0,0.9742654,0.9762,-0.0288088085972662,
2026-03-09,-0.00013739497808273882,0.0025,SELL,0,True,0,288150.0,0.0028815,0.9883839,0.9932,0.01449143118497287,-0.011984817710799841
2026-03-10,0.0010908350814133883,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-11,-0.0017862031236290932,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-12,-0.0004259725974407047,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-13,-0.0011095624649897218,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-16,0.0026480567175894976,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-17,0.003108670935034752,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-18,0.006668818183243275,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-19,-0.002823034767061472,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-20,0.0056819305755198,0.0025,HOLD,0,False,0,0.0,0.0,0.9883839,0.9932,0.0,
2026-03-23,0.010009109042584896,0.0025,BUY,1700,False,0,192780.0,0.0019278,1.0068561,1.0136,0.018689296739859973,
2026-03-24,0.008726145140826702,0.0025,HOLD,1700,False,1,0.0,0.0,1.0068561,1.0136,0.0,
2026-03-25,0.0002307091053808108,0.0025,HOLD,1700,True,2,0.0,0.0,0.9898561,0.9966,-0.016884239962393854,
2026-03-26,-0.0028432304970920086,0.0025,HOLD,1700,True,3,0.0,0.0,1.0000561,1.0068,0.01030452810262017,
2026-03-27,-0.0026094948407262564,0.0025,SELL,0,True,0,293250.0,0.0029325,0.9971236,1.0068,-0.0029323354959787107,0.009048921557238257
2026-03-30,-0.0012861405266448855,0.0025,HOLD,0,False,0,0.0,0.0,0.9971236,1.0068,0.0,
2026-03-31,-0.004313546698540449,0.0025,HOLD,0,False,0,0.0,0.0,0.9971236,1.0068,0.0,
2026-04-01,-0.005080929026007652,0.0025,HOLD,0,False,0,0.0,0.0,0.9971236,1.0068,0.0,
2026-04-02,-0.005684251431375742,0.0025,HOLD,0,False,0,0.0,0.0,0.9971236,1.0068,0.0,
2026-04-03,-0.002949209650978446,0.0025,HOLD,0,False,0,0.0,0.0,0.9971236,1.0068,0.0,
2026-04-06,0.0008019098895601928,0.0025,HOLD,0,False,0,0.0,0.0,0.9971236,1.0068,0.0,
2026-04-07,0.0025817810092121363,0.0025,HOLD,0,False,0,0.0,0.0,0.9971236,1.0068,0.0,
