item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,366572847438.0,429526934016.0,447835197169.0,450525166456.0,423497832797.0,473819657356.0,458006839177.0,437426294729.0,408556989276.0,392772704527.0,428963773612.0,458571592590.0,435363723104.0,476612394327.0,473629781744.0,506525162197.0,469279040165.0,511587638353.0,507324597115.0,519882591930.0,467008945838.0,530868346507.0,557205922439.0,625862196910.0,586417332197.0,717535383679.0,709174378067.0,774785606897.0,682128364609.0,806901150183.0,844172858002.0,872309472933.0,860568918306.0,861250391277.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3734788790.0,3734788790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,366572847438.0,429526934016.0,447835197169.0,450525166456.0,423497832797.0,473819657356.0,458006839177.0,437426294729.0,408556989276.0,392772704527.0,428963773612.0,458571592590.0,435363723104.0,476612394327.0,473629781744.0,506525162197.0,469279040165.0,511587638353.0,507324597115.0,519882591930.0,463274157048.0,534603135297.0,557205922439.0,625862196910.0,586417332197.0,717535383679.0,709174378067.0,774785606897.0,682128364609.0,806901150183.0,844172858002.0,872309472933.0,860568918306.0,861250391277.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-257605561814.0,-285431558542.0,-326533625028.0,-328901688326.0,-323520918661.0,-369508230132.0,-341272310522.0,-321552914131.0,-306866936110.0,-297909193211.0,-319184396028.0,-324216719101.0,-316583790490.0,-323747433275.0,-307114046566.0,-342296919042.0,-307013131022.0,-333865018594.0,-341863055799.0,-367471564707.0,-326632891173.0,-385821795137.0,-378463284197.0,-435588071889.0,-382621964939.0,-496377015227.0,-488723675753.0,-576729203353.0,-454623597936.0,-553232386423.0,-525727466078.0,-531243056034.0,-529054165886.0,-485563788722.0
Lợi nhuận gộp,Gross Profit,gross_profit,108967285624.0,144095375474.0,121301572141.0,121623478130.0,99976914136.0,104311427224.0,116734528655.0,115873380598.0,101690053166.0,94863511316.0,109779377584.0,134354873489.0,118779932614.0,152864961052.0,166515735178.0,164228243155.0,162265909143.0,177722619759.0,165461541316.0,152411027223.0,136641265875.0,148781340160.0,178742638242.0,190274125021.0,203795367258.0,221158368452.0,220450702314.0,198056403544.0,227504766673.0,253668763760.0,318445391924.0,341066416899.0,331514752420.0,375686602555.0
Doanh thu hoạt động tài chính,Financial income,financial_income,1552652459.0,1898851449.0,2666087769.0,2533402095.0,2108786328.0,2926111098.0,2115805626.0,2307780572.0,2164357207.0,3598848776.0,3355937580.0,2940866518.0,2584894625.0,3332378811.0,3529526132.0,3568526397.0,8025975338.0,7546426581.0,7244869703.0,11783602740.0,8129604614.0,6076702865.0,8935843087.0,7982664244.0,6453702851.0,22808968087.0,14886795109.0,219889597252.0,19474734949.0,81356878029.0,63368075147.0,26842593932.0,41733485963.0,30692744397.0
Chi phí tài chính,Financial expenses,financial_expenses,-10571479495.0,-9061209783.0,-8249679521.0,-7015525410.0,-5925534506.0,-5012960077.0,-4615927045.0,-739762576.0,-1132801092.0,-1113910588.0,-235373740.0,-519994313.0,-249577672.0,-429315721.0,-277483000.0,-1021583318.0,-83737472.0,-493235227.0,-18158102.0,-4424689078.0,-28389251753.0,-44512725564.0,-57078000373.0,-45089653455.0,-57276271983.0,-39822902468.0,-31694153135.0,-90590544299.0,-23613859992.0,-58115476756.0,-102505792249.0,-161685049830.0,-215777317188.0,-106946216355.0
Chi phí lãi vay,Interest expenses,interest_expenses,-10560579866.0,-9046412910.0,-8237320957.0,-6864013205.0,-5685511563.0,-4946027184.0,-4224790236.0,-552164588.0,-1074608310.0,-639136942.0,-88941975.0,-43379185.0,-159205941.0,159205941.0,0.0,0.0,0.0,0.0,0.0,-1104887671.0,-27772477419.0,-43673350960.0,-57392118296.0,-44058909232.0,-57616803827.0,-38634801259.0,-30478326852.0,-40419470532.0,-35774835950.0,-49972460286.0,-87562399901.0,-101203729245.0,-120860853000.0,-144072897122.0
Chi phí bán hàng,Selling expenses,selling_expenses,-4402955750.0,-8351124659.0,-7478065516.0,-6402990806.0,-6387221925.0,-6854476444.0,-13114221971.0,-4617943898.0,-7133110548.0,-12187399650.0,-12231784988.0,-15696317595.0,-15631864303.0,-18253599654.0,-13114977029.0,-1234652954.0,-18963163340.0,-14223580346.0,-25999157553.0,-20008077367.0,-25883753552.0,-17495878423.0,-34907391988.0,-15779443843.0,-24827756215.0,-36597431212.0,-46892563154.0,-44512045031.0,-43493733821.0,-52805435054.0,-80785936243.0,-66665988284.0,-81366527806.0,-77916118298.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-14231853978.0,-16589241504.0,-16570813827.0,-15795367132.0,-15623297332.0,-15577341500.0,-17803019591.0,-16607592504.0,-14284268578.0,-13161924615.0,-16980806030.0,-29030871209.0,-17095836248.0,-18265888576.0,-17581251591.0,-28261331798.0,-22127100618.0,-21271733082.0,-28949199945.0,-33073522920.0,-30490256655.0,-33327618951.0,-31971593735.0,-34643594112.0,-35324119870.0,-41363620898.0,-49262875362.0,-56620159732.0,-56261007691.0,-55244235093.0,-53395909743.0,-51210965749.0,-54809150128.0,-47156520521.0
