symbol,articles,news_rows,latest_xgb_prob,auc,balanced_acc,backtest_return,report_dir
POW,6,7,0.5219,0.5815,0.5336,-0.3549,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/POW/2026-08-12_21-33-08_news_model
FPT,8,7,0.4962,0.5753,0.5087,-0.2243,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/FPT/2026-08-12_21-31-00_news_model
HPG,5,5,0.4824,0.5745,0.5136,-0.397,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/HPG/2026-08-12_21-31-42_news_model
BID,2,5,0.4223,0.5552,0.5061,-0.2012,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/BID/2026-08-12_21-30-28_news_model
HCM,12,13,0.4967,0.5454,0.524,-0.1913,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/HCM/2026-08-12_21-31-28_news_model
KDH,6,6,0.4954,0.5414,0.4951,-0.1263,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/KDH/2026-08-12_21-31-55_news_model
SSI,3,4,0.4891,0.5394,0.5024,-0.2,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/SSI/2026-08-12_21-33-28_news_model
VHM,9,5,0.5028,0.5326,0.5201,0.3139,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/VHM/2026-08-12_21-34-17_news_model
MWG,7,6,0.4586,0.5279,0.525,0.1051,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/MWG/2026-08-12_21-32-21_news_model
NVL,5,5,0.5277,0.5257,0.5061,-0.2939,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/NVL/2026-08-12_21-32-33_news_model
GMD,6,7,0.4799,0.5177,0.5025,-0.2464,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/GMD/2026-08-12_21-31-19_news_model
SAB,4,3,0.6364,0.5143,0.5065,-0.4429,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/SAB/2026-08-12_21-33-19_news_model
STB,0,0,0.4999,0.512,0.4971,-0.0973,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/STB/2026-08-12_21-33-40_news_model
ACB,5,6,0.4933,0.5093,0.5138,-0.1972,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/ACB/2026-08-12_21-30-10_news_model
VNM,3,4,0.543,0.5087,0.504,-0.2453,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/VNM/2026-08-12_21-34-43_news_model
VIC,6,5,0.4985,0.5028,0.4873,-0.3041,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/VIC/2026-08-12_21-34-35_news_model
MSN,8,8,0.4769,0.4932,0.5097,-0.0247,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/MSN/2026-08-12_21-32-12_news_model
TCB,13,9,0.4972,0.4898,0.4911,-0.1504,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/TCB/2026-08-12_21-33-51_news_model
PLX,4,3,0.5122,0.4897,0.5083,-0.4852,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/PLX/2026-08-12_21-32-44_news_model
CTG,2,3,0.5005,0.4886,0.5034,-0.0108,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/CTG/2026-08-12_21-30-50_news_model
PNJ,8,13,0.4981,0.4884,0.5057,0.025,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/PNJ/2026-08-12_21-32-56_news_model
MBB,9,8,0.5199,0.4815,0.5139,-0.1047,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/MBB/2026-08-12_21-32-03_news_model
VCB,4,5,0.495,0.456,0.4985,-0.1912,/Users/tranlekhoa/Documents/DATA_SCI/vn_stock_analysis/reports/VCB/2026-08-12_21-34-03_news_model
